,class_name,wl
0,Land lot,wl1
1,Land plant,wl1
2,Land rover defender,wl1
3,Land rover series,wl1
4,Land rover,wl1
5,Land vehicle,wl1
6,Landform,wl1
7,Landing,wl1
8,Landmark,wl1
9,Landscape lighting,wl1
10,Landscape,wl1
11,Landscaping,wl1
12,Landslide,wl1
13,Self-portrait,wl2
15,Beach moonflower,wl3
16,Blanket flowers,wl3
17,Broccoflower,wl3
18,Cauliflower,wl3
19,Common sunflower,wl3
20,Coneflower,wl3
21,Cut flowers,wl3
22,Elderflower cordial,wl3
23,Large-flowered cactus,wl3
24,Moonflower,wl3
25,Passion flower family,wl3
26,Passion flower,wl3
27,Pincushion flower,wl3
28,Pink moccasin flower,wl3
29,Purple coneflower,wl3
30,Purple passionflower,wl3
31,Sunflower seed,wl3
32,Sunflower,wl3
33,Wildflower,wl3
34,Woodland sunflower,wl3
35,Woolflowers,wl3
36,Woolly sunflower,wl3
37,Portrait,wl2
38,Portrait photography,wl2
39,Flower,wl3
