,class_name,wl
0,hamburger,wl1
1,nachos,wl1
2,toast,wl1
3,fruit snack,wl1
4,custard,wl1
5,trousers,wl1
6,waste,wl1
7,shrimp,wl1
8,highway,wl1
9,ingredient,wl1
10,meatball,wl1
11,cheeseburger,wl1
12,memorial,wl1
13,stringozzi,wl1
14,tin can,wl1
15,coupe utility,wl1
16,penne,wl1
17,building,wl1
18,macaroni,wl1
19,junk food,wl1
20,bucatini,wl1
21,mansion,wl1
22,rust,wl1
23,cake,wl1
24,pizza,wl1
25,fortification,wl1
26,seafood,wl1
27,sweater,wl1
28,tartan,wl1
29,shirt,wl1
30,spoon,wl1
31,book,wl1
32,pie,wl1
33,waffle,wl1
34,hot dog,wl1
35,dumbbell,wl1
36,denim,wl1
37,fountain,wl1
38,gym,wl1
39,gun,wl1
40,juice,wl1
41,paper towel,wl1
42,text,wl1
43,soup,wl1
44,glass,wl1
45,jacket,wl1
46,alcohol,wl1
47,shorts,wl1
48,top,wl1
49,polo shirt,wl1
50,landmark,wl1
51,estate,wl1
52,car,wl1
53,french fries,wl1
54,spaghetti,wl1
55,truck,wl1
56,snack,wl1
57,van,wl1
58,hardware,wl1
59,glasses,wl1
60,sausage,wl1
61,living room,wl1
62,drawing,wl1
63,snack cake,wl1
64,sleeve,wl1
65,butter,wl1
66,coin,wl1
67,sandwich,wl1
68,dress,wl1
69,candy,wl1
70,room,wl1
71,classroom,wl1
72,white bread,wl1
73,paper,wl1
74,house,wl1
75,menu,wl1
76,cigarette,wl1
77,cheese,wl1
78,sprinkles,wl1
79,barbell,wl1
80,flatbread,wl1
81,salad,wl1
82,oyster,wl1
83,road,wl1
84,taco,wl1
85,tobacco products,wl1
86,superfood,wl1
87,handgun,wl1
88,clothing,wl1
89,raincoat,wl1
90,t-shirt,wl1
91,font,wl1
92,coca-cola,wl1
93,garbage truck,wl1
94,product,wl1
95,liquid,wl1
96,magnifying glass,wl1
97,whole wheat bread,wl1
98,lane,wl1
99,plastic,wl1
100,dessert,wl1
101,vehicle,wl1
102,soft drink,wl1
103,pasta,wl1
104,carton,wl1
105,tableware,wl1
106,box,wl1
107,biscuit,wl1
108,paper bag,wl1
109,loaf,wl1
110,stained glass,wl1
111,weapon,wl1
112,aviator sunglass,wl1
113,coat,wl1
114,kitchen appliance,wl1
115,logo,wl1
116,tower,wl1
117,food,wl1
118,statue,wl1
119,castle,wl1
120,paint,wl1
121,noodle,wl1
122,home appliance,wl1
123,sketch,wl1
124,cardboard,wl1
125,sunglasses,wl1
126,metal,wl1
127,envelope,wl1
128,mini suv,wl1
129,pretzel,wl1
130,jeans,wl1
131,cupcake,wl1
132,naporitan,wl1
133,ventricina,wl1
134,container,wl1
135,fried food,wl1
136,furniture,wl1
137,letter,wl1
138,electronics,wl1
139,ice cream,wl1
140,outerwear,wl1
141,vermicelli,wl1
142,fudge,wl1
143,pastry,wl1
144,tin,wl1
145,fattoush,wl1
146,steak,wl1
147,footwear,wl1
148,boat,wl1
149,self-portrait,wl1
150,bicycle,wl1
151,rotisserie,wl1
152,clam,wl1
153,pub,wl1
154,paper product,wl1
155,sedan,wl1
156,monument,wl1
157,burrito,wl1
158,cracker,wl1
159,sushi,wl1
160,pancake,wl1
161,chair,wl1
162,shoe,wl1
163,chip,wl1
164,bread,wl1
165,patty,wl1
166,portrait,wl1
167,skirt,wl1
168,table,wl1
