image_id,class_list,split,class_list_neg
test/14492239237_ba5a55cec8_o.jpg,"['/m/04_xn', '/m/05s2s', '/m/090j23', '/m/016br2', '/m/05_5t0l', '/m/07bxq', '/m/02nvjx', '/m/07j7r', '/m/01fdzj']",test,"['/m/0g2vc', '/m/0cfkj']"
test/15897509050_f66a1984dc_o.jpg,"['/m/0dpvm', '/m/05_5t0l', '/m/018lrm', '/m/0dvg9', '/m/0djmp', '/m/01x314', '/m/02l341', '/m/07bxq', '/m/0f48p', '/m/03nfmq', '/m/0cgh4']",test,"['/m/01492b', '/m/05zp8', '/m/01_hct']"
test/4851104220_bfeaf70d5a_o.jpg,"['/m/05_5t0l', '/m/01fdzj', '/m/0cgh4', '/m/02gx17', '/m/06gzh2', '/m/04lhjs', '/m/07j7r']",test,"['/m/01prls', '/m/03psdn', '/m/012w5l', '/m/07bsy', '/m/07yv9']"
test/1248934393_bdf487e704_o.jpg,"['/m/0bysjw', '/m/0djmp', '/m/03d1rd', '/m/02wtjj', '/m/07yr8h', '/m/01cbzq', '/m/012ww9', '/m/09qqq', '/m/06msq']",test,"['/m/01jnvt', '/m/04rky', '/m/01v4jb', '/m/08g_yr', '/m/03931h', '/m/056wv', '/m/04hgtk', '/m/0cgh4']"
test/3526413823_827124dc2a_o.jpg,"['/m/0g2d3', '/m/04rky', '/m/01g317', '/m/0cgh4', '/m/013_1c']",test,"['/m/0283dt1', '/m/02p0tk3', '/m/04hgtk', '/m/0jwzhtg', '/m/0fx80y', '/m/08g_yr', '/m/01lynh', '/m/03m5k', '/m/09j2d']"
test/3558525351_577c840e67_o.jpg,"['/m/05_5t0l', '/m/0dvh9', '/m/0djmp', '/m/02l341', '/m/03nfmq', '/m/0dpvm', '/m/02ljgl', '/m/0cgh4', '/m/0f48p', '/m/0dvg9', '/m/01x314']",test,"['/m/05zp8', '/m/0bmgjqz', '/m/019cfy', '/m/01_hct', '/m/03f0h4']"
test/5506456670_a351472fc6_o.jpg,"['/m/0djmp', '/m/05xh2', '/m/012ww9', '/m/01cbzq', '/m/05_5t0l']",test,"['/m/04rky', '/m/08g_yr', '/m/0cx45', '/m/03d1rd', '/m/07j7r', '/m/0cgh4']"
test/5340615858_9de382bf7f_o.jpg,"['/m/07yr8h', '/m/012ww9', '/m/05_5t0l', '/m/03d1rd', '/m/03g3w', '/m/02ljgl', '/m/0djmp', '/m/01_m7']",test,"['/m/08g_yr', '/m/0cgh4', '/m/0cx45', '/m/03f0h4', '/m/03f34_']"
test/2337019043_d0be551265_o.jpg,"['/m/07yr8h', '/m/0djmp', '/m/06jlgc', '/m/05_5t0l', '/m/03k5cs', '/m/03g3w', '/m/0g9wjzr', '/m/02wtjj', '/m/03nfmq', '/m/03d1rd', '/m/012ww9', '/m/01cbzq']",test,"['/m/04rky', '/m/0cgh4', '/m/09j2d', '/m/03f34_', '/m/035r7c', '/m/08g_yr', '/m/0cfkj', '/m/09j5n', '/m/0dpvm']"
test/15042431152_7c00a0a839_o.jpg,"['/m/09g5pq', '/m/06bvp', '/m/0jwzhtg', '/m/06msq', '/m/04hgtk', '/m/02nvjx', '/m/08g_yr', '/m/0cx45', '/m/04rky', '/m/0djmp', '/m/01g317', '/m/0cgh4']",test,"['/m/02jd5z', '/m/05s2s', '/m/09j2d', '/m/05fc9mj', '/m/0170gz']"
test/20314261909_1b0f207ec7_o.jpg,"['/m/05_5t0l', '/m/01fdzj', '/m/06gzh2', '/m/07j7r', '/m/05s2s', '/m/0cgh4']",test,['/m/04z7qr']
test/6887194128_8b6835d78e_o.jpg,"['/m/049_3v', '/m/0hrcj2p', '/m/0220r2', '/m/0lf0n', '/m/0bl0l', '/m/025sv9y', '/m/090j23']",test,"['/m/0184rb', '/m/02yq2x', '/m/0b_rs', '/m/038t8_', '/m/05s2s', '/m/07j7r']"
test/2379255017_7ac8669fd4_o.jpg,"['/m/07glzq', '/m/0djmp', '/m/08g_yr', '/m/04hgtk', '/m/015r61', '/m/09j2d', '/m/04zhd', '/m/05s2s', '/m/0dzct', '/m/01g317', '/m/0c9ph5', '/m/05qdh', '/m/014sv8', '/m/0jjw']",test,"['/m/012ww9', '/m/0jwzhtg', '/m/02nnps', '/m/015k7', '/m/04rky']"
test/17342766712_34a5177ca2_o.jpg,"['/m/01v4lt', '/m/07j7r', '/m/015kr', '/m/0157l1', '/m/05_5t0l', '/m/03y3sg', '/m/01jm2n']",test,"['/m/07yv9', '/m/03ms9p', '/m/01j6f0', '/m/04rky', '/m/0csy8']"
test/4030143676_c96e8dc74a_o.jpg,"['/m/09qqq', '/m/0djmp']",test,['/m/0cgh4']
test/2528144935_a0ca417354_o.jpg,"['/m/0jjw', '/m/01yx86', '/m/0dbs2', '/m/013_1c', '/m/04rky', '/m/0jwzhtg', '/m/08g_yr', '/m/02ljgl']",test,"['/m/09j2d', '/m/01g317', '/m/0k65p', '/m/0k0pj', '/m/03q69', '/m/01brf', '/m/02p0tk3', '/m/04hgtk', '/m/014sv8']"
test/15829535577_f5bb452af6_o.jpg,"['/m/01x314', '/m/03nfmq', '/m/05_5t0l', '/m/0dvh9', '/m/01_m7', '/m/0dvg9', '/m/0d4v4', '/m/0cgh4']",test,"['/m/03f34_', '/m/0f85g', '/m/03f0h4']"
test/6090779133_c2173398ca_o.jpg,"['/m/05qdh', '/m/04rky', '/m/01g317', '/m/02wbm', '/m/04yx4', '/m/0jjw', '/m/04zhd', '/m/0djmp', '/m/01kr8f', '/m/04rjz', '/m/09j2d']",test,"['/m/05fc9mj', '/m/0f4s2w', '/m/0170gz']"
