image_id,class_list,split,class_list_neg
test/4926999057_3b499df698_o.jpg,"['/m/01spzs', '/m/036qh8', '/m/0c9ph5', '/m/05s2s', '/m/01ww8y', '/m/0388q', '/m/05qdh']",test,"['/m/09j2d', '/m/0jjw', '/m/02hcw1', '/m/07j7r']"
test/4842624971_a486fd6395_o.jpg,"['/m/03c866', '/m/0dzct', '/m/01g317', '/m/04yx4', '/m/09j2d', '/m/039xj_', '/m/014sv8', '/m/0dzf4', '/m/04rky', '/m/0k65p', '/m/02p0tk3', '/m/0k0pj', '/m/0jjw', '/m/05qdh', '/m/03q69', '/m/04hgtk', '/m/0283dt1']",test,"['/m/01bl7v', '/m/01k2n4', '/m/01dv4h', '/m/03bt1vf']"
test/2812130342_5365d76521_o.jpg,"['/m/0dzct', '/m/01dv4h', '/m/04yx4', '/m/0jjw', '/m/02csf', '/m/09j2d', '/m/04hgtk', '/m/0266180', '/m/0k0pj', '/m/04rky', '/m/05qdh', '/m/02p0tk3', '/m/014sv8', '/m/03q69', '/m/0283dt1']",test,"['/m/03bt1vf', '/m/04sk75', '/m/0ds5b', '/m/0dzf4', '/m/03c866', '/m/0k65p', '/m/07glzq']"
test/6210622703_4d6764394c_o.jpg,"['/m/0gjbg72', '/m/03jm5', '/m/02rfdq', '/m/0cgh4', '/m/0c_jw', '/m/0jjw', '/m/0138tl', '/m/06z37_', '/m/06ht1']",test,"['/m/01g317', '/m/09j2d', '/m/04hgtk', '/m/0k0pj', '/m/04bcr3', '/m/04rd7']"
test/5448434298_29c0159cc2_o.jpg,"['/m/0jjw', '/m/07glzq', '/m/03bt1vf', '/m/0k0pj', '/m/05qdh', '/m/0283dt1', '/m/04hgtk', '/m/02csf', '/m/04rky', '/m/0266180', '/m/014sv8', '/m/015r61', '/m/03q69', '/m/01dv4h', '/m/0dzct', '/m/02p0tk3']",test,"['/m/04yx4', '/m/04sk75', '/m/01bl7v', '/m/09j2d']"
test/15732912673_23a284470c_o.jpg,"['/m/014sv8', '/m/04yx4', '/m/04hgtk', '/m/0dzct', '/m/01kr8f', '/m/03q69', '/m/02p0tk3', '/m/09j2d', '/m/06z37_', '/m/0dzf4']",test,"['/m/067408', '/m/03bt1vf', '/m/0lv9s', '/m/01bl7v', '/m/01n5jq']"
test/4618335923_c1eca4d58f_o.jpg,"['/m/0jjw', '/m/05y4t', '/m/01kr8f', '/m/011lx', '/m/05qdh', '/m/015r61', '/m/018ktp']",test,"['/m/01g317', '/m/06h5_j', '/m/0b48hv']"
test/9547769887_4811d698b8_o.jpg,"['/m/04rd7', '/m/0jjw', '/m/04hgtk', '/m/03q69', '/m/0dzct', '/m/04rky', '/m/01kr8f', '/m/01n5jq', '/m/01g317', '/m/0k65p', '/m/05qdh', '/m/09j2d', '/m/01bsxb', '/m/0k0pj', '/m/0dzf4']",test,"['/m/06h5_j', '/m/012h24', '/m/0b0fq', '/m/01vnb', '/m/05r655', '/m/0283dt1']"
test/6758003323_9cc0a6c963_o.jpg,"['/m/018ktp', '/m/05qdh', '/m/05y4t']",test,"['/m/04rky', '/m/0283dt1', '/m/014sv8', '/m/03q69', '/m/04hgtk', '/m/0dzct', '/m/0k0pj']"
test/3536186724_9cd178cd10_o.jpg,"['/m/0jjw', '/m/01g317', '/m/05qdh', '/m/03q69', '/m/0k0pj', '/m/0jbk', '/m/04rky', '/m/0ds5b', '/m/04hgtk', '/m/01dv4h', '/m/09j2d', '/m/015h_t', '/m/04yx4', '/m/0266180', '/m/0283dt1', '/m/02p0tk3', '/m/0dzct', '/m/014sv8']",test,"['/m/07j7r', '/m/08pbxl', '/m/05s2s']"
