image_id,class_list,split,class_list_neg
test/19044805003_21e62f9916_o.jpg,"['/m/07_4p', '/m/01280g', '/m/01y2w', '/m/015p6', '/m/083s2', '/m/0jbk', '/m/01c4rd', '/m/0hkvx']",test,"['/m/04rky', '/m/0jtjg', '/m/01jhl9', '/m/01c43w']"
test/6107604324_40c3aaf78f_o.jpg,"['/m/0dftk', '/m/0163q8', '/m/015p6', '/m/01c4rd', '/m/01280g', '/m/01d0z1']",test,"['/m/04rky', '/m/04hgtk', '/m/01fmbp', '/m/01g7bc']"
test/18717437829_455ccdd881_o.jpg,"['/m/0f115', '/m/083s2', '/m/01c4rd', '/m/015p6', '/m/01280g', '/m/01rr0k', '/m/012shk', '/m/01pqfw']",test,"['/m/07j7r', '/m/031n1', '/m/02p0tk3', '/m/0f1gc', '/m/035r7c', '/m/04rky', '/m/04hgtk']"
test/2553323715_71d0a3c84a_o.jpg,"['/m/01553z', '/m/029r6z', '/m/03qqnt', '/m/015p6', '/m/01c4rd', '/m/0g3wm', '/m/01280g']",test,"['/m/05n4y', '/m/0k64b', '/m/07j7r', '/m/04rky']"
test/8042153917_cbb99533c7_o.jpg,"['/m/0jbk', '/m/01280g', '/m/083s2', '/m/01n_1n', '/m/015p6', '/m/01jgnh', '/m/02cqfm', '/m/01c4rd']",test,"['/m/01d3bp', '/m/04rky']"
test/16711795420_f3952d651e_o.jpg,"['/m/01c4rd', '/m/01280g', '/m/05h0n', '/m/015p6', '/m/083s2']",test,"['/m/02t0jc', '/m/01n_1n', '/m/07j7r', '/m/04rky']"
test/16786920336_71d0aebf99_o.jpg,"['/m/07j7r', '/m/0b5gs', '/m/015p6', '/m/0jbk', '/m/01280g', '/m/0197mw', '/m/05s2s']",test,"['/m/04rky', '/m/0c9ph5']"
test/4353810488_b6a46147ec_o.jpg,"['/m/01y2w', '/m/01280g', '/m/0gg8brk', '/m/05s2s', '/m/015p6', '/m/01c4rd']",test,"['/m/07j7r', '/m/01jhl9', '/m/01943w', '/m/0163q8', '/m/0283dt1', '/m/04rky', '/m/0jtjg', '/m/014sv8']"
test/2500163571_d66920084c_o.jpg,"['/m/01280g', '/m/06npx', '/m/01c4rd', '/m/015p6', '/m/0j4rl', '/m/012shk']",test,"['/m/04rky', '/m/0czsqd', '/m/01dl9r']"
test/5500763462_19e16e846c_o.jpg,"['/m/02cqfm', '/m/01280g', '/m/0jbk', '/m/0336h', '/m/01c4rd', '/m/015p6', '/m/01d_tk']",test,"['/m/04rky', '/m/0dzct', '/m/0hscv', '/m/0fq15', '/m/014sv8', '/m/04hgtk', '/m/035r7c', '/m/0h23m']"
test/14881746858_f866192457_o.jpg,"['/m/015p6', '/m/01c4rd', '/m/01280g', '/m/05s2s', '/m/01y2w']",test,"['/m/012shk', '/m/0j4rl', '/m/0jtjg', '/m/07j7r', '/m/04rky']"
test/14283944536_9eddca9a98_o.jpg,"['/m/01280g', '/m/083s2', '/m/0jbk', '/m/01c4rd', '/m/015p6', '/m/01g5v']",test,"['/m/01f8m5', '/m/01f849', '/m/031n1', '/m/04rky', '/m/035r7c', '/m/0k65p', '/m/04hgtk', '/m/014sv8']"
test/2483241875_e15bfa1171_o.jpg,"['/m/088fh', '/m/015p6', '/m/02cqfm', '/m/01c4rd', '/m/03rbf6', '/m/07h17']",test,"['/m/04rky', '/m/014sv8', '/m/083s2', '/m/04hgtk', '/m/0283dt1', '/m/01dq4q', '/m/05s2s']"
test/90534004_c6e4fffba9_o.jpg,"['/m/01jl55', '/m/01d7ng', '/m/01c4rd', '/m/015p6', '/m/01280g', '/m/01jgnh', '/m/083s2']",test,"['/m/04rky', '/m/05s2s', '/m/04hgtk', '/m/019600']"
test/3810455777_5f1177bf5b_o.jpg,"['/m/01280g', '/m/0123gb', '/m/0jbk', '/m/083s2', '/m/01c4rd', '/m/015p6']",test,"['/m/01jl55', '/m/01943w', '/m/04rky', '/m/019600']"
test/16020395779_2088e9127f_o.jpg,"['/m/0dfgf', '/m/015p6', '/m/0h29c', '/m/02cqfm', '/m/05nnm']",test,"['/m/0463sg', '/m/014sv8', '/m/04hgtk', '/m/04rky', '/m/05s2s']"
test/6853603760_93665af588_o.jpg,"['/m/015p6', '/m/083s2', '/m/02csf']",test,"['/m/04rky', '/m/01cppc', '/m/0sxvh', '/m/07glzq']"
test/2254365558_d1039b038c_o.jpg,"['/m/0hkvx', '/m/0sxvh', '/m/05sm1', '/m/01cppc', '/m/027khl8', '/m/0dbvp', '/m/015p6', '/m/0jbk', '/m/02_ktj', '/m/07j7r']",test,"['/m/04rky', '/m/01c43w']"
test/14399649139_d2254fd965_o.jpg,"['/m/01280g', '/m/07j7r', '/m/0j4rl', '/m/01c4rd', '/m/083s2', '/m/05h0n', '/m/015p6', '/m/012shk']",test,"['/m/0jtjg', '/m/04rky', '/m/01y2w', '/m/01jhl9', '/m/0f6wt']"
test/21672312322_153dbfbd5f_o.jpg,"['/m/0hkvx', '/m/05h0n', '/m/015p6', '/m/05s2s', '/m/08t9c_', '/m/01280g']",test,"['/m/04rky', '/m/07j7r', '/m/01jgnh', '/m/01cct5', '/m/0fp7c']"
test/4616087475_77f0da89aa_o.jpg,"['/m/0jbk', '/m/01c4rd', '/m/015p6', '/m/01y2w', '/m/01280g', '/m/0j4rl']",test,"['/m/0gyxd6t', '/m/0jtjg', '/m/0czsqd', '/m/04rky', '/m/07j7r', '/m/01gjs6']"
test/18673689134_82137ecffa_o.jpg,"['/m/015p6', '/m/01c4rd', '/m/083s2', '/m/01y2w', '/m/01jhl9', '/m/01280g']",test,"['/m/0j4rl', '/m/05s2s', '/m/04rky']"
test/3031501544_34516bc643_o.jpg,"['/m/015p6', '/m/05s2s', '/m/0b5gs', '/m/0jbk', '/m/07j7r', '/m/01c4rd', '/m/01280g']",test,"['/m/014sv8', '/m/03q69', '/m/0c9ph5', '/m/04rky']"
test/474300954_b57c9868e6_o.jpg,"['/m/0j5wx', '/m/01280g', '/m/07h17', '/m/01c4rd', '/m/05s2s', '/m/01y3fy', '/m/015p6', '/m/0jbk']",test,"['/m/07j7r', '/m/04rky', '/m/01dq4q', '/m/014sv8']"
test/14240704399_2deab79251_o.jpg,"['/m/084rsc', '/m/015p6', '/m/0jbk', '/m/01295w', '/m/0h29c', '/m/0dfgf', '/m/083s2']",test,"['/m/09j2d', '/m/0463sg']"
test/17984290691_d9a9fbb03e_o.jpg,"['/m/07j7r', '/m/05h0n', '/m/01c4rd', '/m/02cqfm', '/m/0jbk', '/m/01n_1n', '/m/05s2s', '/m/015p6', '/m/038hg', '/m/01280g']",test,"['/m/01jgnh', '/m/01cct5', '/m/04rky', '/m/0197mw']"
test/5583527342_b73c89bae4_o.jpg,"['/m/0jbk', '/m/01c4rd', '/m/0cjvf', '/m/05h0n', '/m/083s2', '/m/01280g', '/m/015p6']",test,"['/m/0b5gs', '/m/04hgtk', '/m/04rky', '/m/01f849', '/m/015lbc', '/m/07j7r', '/m/05s2s', '/m/01f8m5', '/m/014sv8']"
test/8428355921_59d4592177_o.jpg,"['/m/05s2s', '/m/015p6', '/m/01jl55', '/m/01jgnh', '/m/04rky', '/m/083s2', '/m/01c4rd', '/m/01280g', '/m/02t0jc', '/m/01d7ng']",test,[]
test/9000678462_8c3fde3895_o.jpg,"['/m/05s2s', '/m/0b5gs', '/m/01y3fy', '/m/01280g', '/m/0d8cn', '/m/015p6', '/m/07j7r', '/m/0jbk']",test,"['/m/01dq4q', '/m/04rky', '/m/0j5wx']"
test/7018856553_f6beac34f7_o.jpg,"['/m/02wbm', '/m/01c4rd', '/m/01280g', '/m/01g5v', '/m/015p6', '/m/02cqfm', '/m/05h0n']",test,"['/m/01f849', '/m/05s2s', '/m/035r7c', '/m/07j7r', '/m/04rky']"
test/16439893885_056b525428_o.jpg,"['/m/05h0n', '/m/0123gb', '/m/01c4rd', '/m/0gg8brk', '/m/01jgnh', '/m/01280g', '/m/02l215', '/m/0838f', '/m/06npx', '/m/083s2', '/m/015p6']",test,"['/m/0dftk', '/m/09j2d', '/m/0dzf4', '/m/03q69', '/m/0k65p', '/m/0283dt1', '/m/04rky', '/m/035r7c', '/m/014sv8', '/m/01jl55', '/m/02p0tk3', '/m/05r655']"
test/6156007330_db1601f88a_o.jpg,"['/m/0h0rv', '/m/04s8yn', '/m/06npx', '/m/06j2d', '/m/015p6', '/m/01280g', '/m/01f6pd']",test,"['/m/04rky', '/m/09j2d', '/m/035r7c', '/m/01g317', '/m/09j5n']"
test/13554949004_ed770e3e53_o.jpg,"['/m/0jbk', '/m/01m0p1', '/m/0336h', '/m/0b5gs', '/m/015p6', '/m/0cjvf', '/m/06fvc', '/m/01c4rd']",test,"['/m/0206yg', '/m/014sv8', '/m/04rky', '/m/05s2s', '/m/07j7r', '/m/035r7c']"
test/4256792856_f04cc2cbc8_o.jpg,"['/m/05h0n', '/m/0b5gs', '/m/01280g', '/m/01c4rd', '/m/015p6']",test,"['/m/014sv8', '/m/05s2s', '/m/07j7r', '/m/04rky']"
test/438201665_c8438d7c82_o.jpg,"['/m/03thgk', '/m/019jd', '/m/01rzcn', '/m/015p6', '/m/07yv9', '/m/01b2q6', '/m/04mx32', '/m/0jbk', '/m/01b3l7', '/m/01b2w5', '/m/02_ktj']",test,"['/m/03m9d0z', '/m/01g317', '/m/06npx']"
test/7800905492_db973a5580_o.jpg,"['/m/01280g', '/m/083s2', '/m/015p6', '/m/0jbk', '/m/05s2s', '/m/01c4rd']",test,"['/m/03bt1vf', '/m/0123gb', '/m/014sv8', '/m/01c4kr', '/m/04hgtk', '/m/01jl55', '/m/04rky', '/m/0dftk', '/m/01c43w', '/m/0jtjg', '/m/0gg8brk', '/m/01y2w', '/m/09j2d', '/m/07j7r']"
test/13012896383_5e3524d4aa_o.jpg,"['/m/01280g', '/m/02gs3z', '/m/015p6', '/m/01c4rd', '/m/05z6w', '/m/03qqnt']",test,['/m/04rky']
test/8624517770_d89539288f_o.jpg,"['/m/025rv6n', '/m/0jbk', '/m/0jly1', '/m/01rd7k', '/m/01rcl8', '/m/01295w', '/m/01280g', '/m/015p6']",test,"['/m/06mfp', '/m/04rky', '/m/09b5t', '/m/04hgtk']"
test/3863101050_842a766f5a_o.jpg,"['/m/02cqfm', '/m/01jl55', '/m/01jgnh', '/m/015p6', '/m/083jv', '/m/0jbk', '/m/083s2', '/m/01c4rd']",test,"['/m/035r7c', '/m/05s2s', '/m/0dzct', '/m/014sv8', '/m/04rky', '/m/0283dt1', '/m/019600', '/m/0463sg', '/m/0k0pj', '/m/04hgtk']"
test/12137300493_0ab2090078_o.jpg,"['/m/0b5gs', '/m/02ywpp', '/m/01d_tk', '/m/01c4rd', '/m/015p6']",test,"['/m/01kpg0', '/m/04rky', '/m/0336h', '/m/01280g', '/m/07j7r', '/m/01f849']"
test/3953399908_58985e6b09_o.jpg,"['/m/083s2', '/m/015p6', '/m/01c4rd', '/m/01n_1n', '/m/01280g', '/m/05h0n']",test,"['/m/035r7c', '/m/04rky', '/m/02cqfm', '/m/01jgnh', '/m/01d7ng']"
