image_id,class_list,split,class_list_neg
test/3344900997_7ab7df07a2_o.jpg,"['/m/04dr76w', '/m/01mtb', '/m/02wbm', '/m/04yx4', '/m/0krfg', '/m/04rky', '/m/09j2d', '/m/02p0tk3', '/m/0jfd5', '/m/0dzf4']",test,"['/m/024g6', '/m/04y7xr', '/m/01f5gx', '/m/03q69', '/m/0271t', '/m/01pn0r', '/m/0h99cwc', '/m/0f4s2w']"
test/18535142871_e52cf11a22_o.jpg,"['/m/0gg8brk', '/m/01280g', '/m/01c_0l', '/m/01c4rd', '/m/0838f', '/m/09ddx']",test,"['/m/01fmbp', '/m/04hgtk', '/m/02p0_xl', '/m/04rky', '/m/0dbvp', '/m/03q69', '/m/01dl9r']"
test/12140848366_3f2ce4d212_o.jpg,"['/m/03ns2k', '/m/01fnck', '/m/036hv', '/m/09dv7']",test,"['/m/07j7r', '/m/01g317', '/m/04rky', '/m/08qrwn', '/m/0jbk']"
test/9818499645_8385e654f4_o.jpg,"['/m/04shl0', '/m/04hgtk', '/m/012mj', '/m/0dzct', '/m/08127', '/m/04dr76w', '/m/03q69', '/m/04qgp', '/m/0271t']",test,"['/m/082bv', '/m/09j2d']"
test/4558959066_d17d6f064f_o.jpg,"['/m/0g91zf', '/m/02cqfm', '/m/0838f', '/m/0b7z1', '/m/03rbf6']",test,"['/m/055_l', '/m/05s2s', '/m/02l215', '/m/03vtj', '/m/09t49', '/m/01c791', '/m/07j7r']"
test/4622183565_e816f0c227_o.jpg,"['/m/03ktm1', '/m/017m8l', '/m/05t0z3q', '/m/0pvlz', '/m/03kj4q', '/m/0hnc1', '/m/02yybg', '/m/0j6jq', '/m/0838f', '/m/0184rb', '/m/05mk1s', '/m/06cnp', '/m/07j7r', '/m/05s2s', '/m/0swq_', '/m/0j6m2', '/m/04h4w']",test,"['/m/0mw_6', '/m/093shy', '/m/05qb9l1']"
test/3025937551_a74e753fd7_o.jpg,"['/m/0838f', '/m/06cnp', '/m/017m8l', '/m/05s2s', '/m/07j7r', '/m/03ms9p', '/m/03lzkv', '/m/015kr', '/m/0d0h0h', '/m/07bsy']",test,"['/m/04rky', '/m/025s53m', '/m/01jnfv', '/m/0157l1', '/m/01prls', '/m/01j6f0', '/m/01v4lt', '/m/0csy8', '/m/02gr4y']"
test/5669661820_20e75dec53_o.jpg,"['/m/01yvs', '/m/059r7w6', '/m/04dr76w', '/m/04brg2', '/m/089mxq', '/m/06qrr', '/m/023ls', '/m/0271t']",test,"['/m/04hgtk', '/m/0k0pj', '/m/0dzct', '/m/02x8cch', '/m/05s2s', '/m/09j2d', '/m/044gvx']"
test/6972595593_53b024aaca_o.jpg,"['/m/02267z', '/m/01g5v', '/m/03jn2m', '/m/0271t', '/m/04dr76w', '/m/01c6xf', '/m/024247', '/m/0838f']",test,"['/m/04rky', '/m/03vtj', '/m/01c791']"
test/6543447639_3850a40e57_o.jpg,"['/m/01dwxx', '/m/01c4rd', '/m/015p6', '/m/01280g', '/m/012shk', '/m/06npx', '/m/0838f', '/m/05h0n', '/m/0jbk']",test,"['/m/07j7r', '/m/09ddx', '/m/031n1', '/m/035r7c', '/m/0f1gc', '/m/04rky', '/m/014sv8']"
test/4787343608_6545a1d704_o.jpg,"['/m/02rfdq', '/m/06ht1', '/m/039jq', '/m/01y9k5', '/m/04dr76w', '/m/0c_jw', '/m/0cgh4', '/m/04bcr3']",test,"['/m/01mzpv', '/m/017clw', '/m/01g317', '/m/021sj1', '/m/078n6m', '/m/02cwm']"
test/7139985747_66fe84d233_o.jpg,"['/m/03ybsm', '/m/0pvlz', '/m/02zr8', '/m/01280g', '/m/0bt9lr', '/m/01y3fy', '/m/07j7r', '/m/0d8cn', '/m/05s2s', '/m/02py09', '/m/03kj4q', '/m/06gl1', '/m/023bbt', '/m/0j6m2', '/m/0838f', '/m/06cnp', '/m/0hnc1']",test,"['/m/01f_rk', '/m/03qc82_']"
test/699568762_a128d40a43_o.jpg,"['/m/04dr76w', '/m/081qc', '/m/039jq', '/m/012mj', '/m/09tvcd', '/m/02wsb20', '/m/050h0q']",test,"['/m/0f2b9', '/m/02wsb25']"
test/429259307_34c323aa56_o.jpg,"['/m/04h4w', '/m/05t0z3q', '/m/06cnp', '/m/017m8l', '/m/03kj4q', '/m/03ktm1', '/m/05s2s', '/m/03h5wy', '/m/0j6jq', '/m/07j7r', '/m/093shy', '/m/02l215', '/m/01pvk', '/m/0j6m2', '/m/0838f']",test,"['/m/02yybg', '/m/05qb9l1', '/m/0184rb']"
test/174306769_250fd366cb_o.jpg,"['/m/01mppm', '/m/09ddx', '/m/0dbvp', '/m/01fmbp', '/m/01hjj1', '/m/0838f', '/m/015p6', '/m/083s2', '/m/01c4rd', '/m/0gg8brk', '/m/01280g', '/m/0jbk']",test,"['/m/04rky', '/m/05s0c']"
test/21446168849_ab66dce7da_o.jpg,"['/m/015p6', '/m/05s2s', '/m/07j7r', '/m/023bbt', '/m/06cnp', '/m/0838f']",test,"['/m/05b0n7k', '/m/01f_rk', '/m/01g317', '/m/094jc', '/m/03qc82_', '/m/04rky', '/m/06bm2']"
test/6644483891_25ee7ce8c5_o.jpg,"['/m/09ddx', '/m/0gg8brk', '/m/01c4rd', '/m/01280g', '/m/0dftk', '/m/0jbk', '/m/0838f', '/m/05h0n']",test,"['/m/083s2', '/m/05s2s', '/m/02p0tk3', '/m/0gnx_', '/m/07j7r', '/m/04rky', '/m/0dbvp']"
test/3518403564_a0a2171bd2_o.jpg,"['/m/047vmg8', '/m/01bqgn', '/m/01bqk0', '/m/03hs7k', '/m/04dr76w', '/m/0_mjp', '/m/0h9mv', '/m/016xt7', '/m/09rgp', '/m/062zrt', '/m/083wq', '/m/0199g']",test,"['/m/016g8_', '/m/03p2h9', '/m/04rky', '/m/05s2s', '/m/07j7r', '/m/0bpm4bq']"
test/4935174320_9ba3e23e42_o.jpg,"['/m/03h5wy', '/m/07yv9', '/m/0838f', '/m/01cs_p', '/m/03htg', '/m/03psdn', '/m/019jd', '/m/02l215', '/m/01pvk', '/m/0jp31', '/m/02068x', '/m/017m8l']",test,"['/m/06npx', '/m/07j7r', '/m/03218s', '/m/0cgh4', '/m/034z7h']"
test/15762959922_1065fb1274_o.jpg,"['/m/0grl_', '/m/07yv9', '/m/01pvk', '/m/0cgh4', '/m/02l215', '/m/07j7r', '/m/0142t_', '/m/03ktm1', '/m/03h5wy', '/m/0838f', '/m/017m8l', '/m/015kr', '/m/026gg32', '/m/06cnp']",test,"['/m/034z7h', '/m/01hsr7', '/m/0d5gx']"
test/5799004254_ed012d2830_o.jpg,"['/m/0271t', '/m/012mj', '/m/04dr76w', '/m/0lqk', '/m/04qgp', '/m/04shl0']",test,"['/m/01g317', '/m/08127']"
test/9429491135_e5d3cc3818_o.jpg,"['/m/01c778', '/m/01fnck', '/m/01g317', '/m/043520']",test,"['/m/05s2s', '/m/07j7r', '/m/083wq', '/m/04rky', '/m/0cgh4', '/m/09y4pm']"
test/8105761235_c8a07eb63d_o.jpg,"['/m/09j2d', '/m/04yx4', '/m/012mj', '/m/081qc', '/m/0k0pj', '/m/04hgtk', '/m/02fbcn', '/m/04dr76w', '/m/0283dt1']",test,"['/m/01_bhs', '/m/01599', '/m/0cp_p', '/m/03bt1vf', '/m/024g6', '/m/02wbm']"
test/2282346314_a2ff5052c0_o.jpg,"['/m/0gg8brk', '/m/0838f', '/m/01hjj1', '/m/02l215', '/m/0jbk', '/m/01fmbp', '/m/09ddx', '/m/083s2', '/m/01280g', '/m/01c4rd']",test,"['/m/035r7c', '/m/04rky', '/m/04hgtk', '/m/01mppm']"
test/4428883847_e19b3d4a76_o.jpg,"['/m/0gg8brk', '/m/01fmbp', '/m/0jbk', '/m/01hjj1', '/m/09ddx', '/m/01c4rd', '/m/083s2', '/m/01mppm', '/m/02l215', '/m/0838f', '/m/01280g']",test,['/m/04rky']
test/7531493994_61ef9f2bfe_o.jpg,"['/m/04yx4', '/m/03ktm1', '/m/01ty0n', '/m/0838f', '/m/03q69', '/m/09j2d', '/m/03dtr']",test,"['/m/0j2kx', '/m/090j23', '/m/06npx', '/m/0dzf4']"
test/6829265635_1ca77d1802_o.jpg,"['/m/02cqfm', '/m/0838f', '/m/02t59k', '/m/03rbf6', '/m/0f9kh', '/m/0b7z1', '/m/01g5v', '/m/03jn2m', '/m/0g91zf']",test,"['/m/016q19', '/m/05s2s', '/m/01c791']"
test/7432640394_92c623d92c_o.jpg,"['/m/04rky', '/m/035r7c', '/m/0dzf4', '/m/06bm2', '/m/06ntj', '/m/0h_m', '/m/06cnp', '/m/01g317', '/m/05b0n7k', '/m/0838f', '/m/06gl1', '/m/05r655', '/m/02fhdf', '/m/02pyg', '/m/09j2d']",test,"['/m/05y5lj', '/m/03m4wn', '/m/07yv9', '/m/01rzcn', '/m/01zkt1', '/m/0162j4', '/m/07j7r', '/m/019jd']"
