image_id,class_list,split,class_list_neg
test/4973680096_5a3b1c74d4_o.jpg,"['/m/0k4j', '/m/01l8p', '/m/01lcwm', '/m/068mqj', '/m/0h8ls87', '/m/06j11d', '/m/01d1dj', '/m/019qw9', '/m/02tt7k']",test,"['/m/09j2d', '/m/0lyw6', '/m/083wq', '/m/0369ss', '/m/022hnr', '/m/03q69']"
test/16137048740_cac2a3e848_o.jpg,"['/m/01g317', '/m/040fp9d', '/m/0h9mv', '/m/08dz3q', '/m/02swz_', '/m/083wq', '/m/0h8ls87', '/m/09j2d', '/m/04yx4', '/m/0k4j', '/m/03vnt4', '/m/068mqj', '/m/03q69', '/m/021mp2', '/m/02mnkq', '/m/05sxvp']",test,[]
test/3895927844_5ebd4e076f_o.jpg,"['/m/01xsb3', '/m/019qw9', '/m/025qfg', '/m/0k4j', '/m/012mq4']",test,['/m/0crtnw']
test/3266415264_1edf75075c_o.jpg,"['/m/083wq', '/m/0283dt1', '/m/02swz_', '/m/07yv9', '/m/0dzct', '/m/03vnt4', '/m/0k4j', '/m/0h9mv', '/m/03q69', '/m/0h8ls87', '/m/01g317', '/m/01j_h3', '/m/0k0pj', '/m/021mp2', '/m/09j2d', '/m/03vntj', '/m/04hgtk']",test,"['/m/0h5wwjv', '/m/05s2s', '/m/02lvs2', '/m/019jd']"
test/3935892884_676e844176_o.jpg,"['/m/012mq4', '/m/0k4j', '/m/01prls', '/m/01xsb3', '/m/083wq', '/m/019qw9', '/m/0h9mv', '/m/025qfg']",test,[]
test/7006628462_576aa3ebe4_o.jpg,"['/m/02swz_', '/m/07yv9', '/m/021mp2', '/m/01prls', '/m/0k4j', '/m/027jl3_', '/m/083wq', '/m/0xm0m9r']",test,"['/m/0cgh4', '/m/04rky']"
test/4939274960_fa96672ca9_o.jpg,"['/m/01xq49', '/m/068mqj', '/m/01lcwm', '/m/083wq', '/m/012f08', '/m/025qfg', '/m/0h9mv', '/m/019qw9', '/m/0k4j', '/m/012mq4', '/m/01xsb3']",test,"['/m/03vnt4', '/m/037n8x', '/m/03y_qy']"
test/7362503598_08bc432d03_o.jpg,"['/m/0h9mv', '/m/0h8ls87', '/m/0crtnw', '/m/01lcwm', '/m/0bbzk4v', '/m/01d1dj', '/m/08dz3q', '/m/083wq', '/m/05sxvp', '/m/0k4j', '/m/01w71f', '/m/068mqj', '/m/021mp2', '/m/02mnkq']",test,['/m/012mq4']
test/2223482798_2b9f6bd5ea_o.jpg,"['/m/021mp2', '/m/0h8ls87', '/m/01lcwm', '/m/014f__', '/m/012mq4', '/m/083wq', '/m/06j11d', '/m/0h4c9', '/m/0k4j', '/m/03y_qy', '/m/068mqj']",test,"['/m/0d4v4', '/m/0dzf4', '/m/09j5n', '/m/03q69']"
test/2502569437_acf8ee372a_o.jpg,"['/m/01w71f', '/m/021mp2', '/m/083wq', '/m/068mqj', '/m/01lcwm', '/m/0crtnw', '/m/0k4j', '/m/07j7r', '/m/03vntj', '/m/04rky', '/m/0d4v4', '/m/02mnkq', '/m/08dz3q', '/m/026tz2n', '/m/047vmg8', '/m/05sxvp', '/m/0h8ls87', '/m/0h9mv', '/m/07yv9']",test,"['/m/012mq4', '/m/02dgv']"
