image_id,class_list,split,class_list_neg
test/14573124373_e3b7b4ef0f_o.jpg,"['/m/04rky', '/m/05r655', '/m/09j2d', '/m/02p0tk3', '/m/0k65p', '/m/03bt1vf', '/m/035r7c', '/m/01g317', '/m/014ht3', '/m/0hr5k', '/m/03q69', '/m/04yx4', '/m/0250x']",test,"['/m/0k4j', '/m/012h24']"
test/21452591023_83e6ee2915_o.jpg,"['/m/05y5lj', '/m/06h7j', '/m/0bpxlzj', '/m/04yx4', '/m/09j2d', '/m/04rky', '/m/06ntj', '/m/05r655', '/m/02p0tk3', '/m/0c02pp7', '/m/03bt1vf', '/m/01g317', '/m/09j5n', '/m/01yjkq']",test,"['/m/06gxk', '/m/019w6h', '/m/07yv9', '/m/05s2s']"
test/4840762267_616f0ac6b2_o.jpg,"['/m/09g5pq', '/m/0fx80y', '/m/02p0tk3', '/m/0342h', '/m/05s2s', '/m/01g317', '/m/03q69', '/m/07j7r', '/m/09j2d']",test,"['/m/0463sg', '/m/03bt1vf', '/m/04rky', '/m/0cbtm', '/m/01w1x1']"
test/14426509607_6d81c88fb4_o.jpg,"['/m/0k2n5', '/m/0cgh4', '/m/017kvv', '/m/02rfdq', '/m/01g317']",test,"['/m/05zdp', '/m/0b_hy9', '/m/0195fx', '/m/01p3xl', '/m/02r1p', '/m/07bsy']"
test/13849413363_7011deae3f_o.jpg,"['/m/09j2d', '/m/01g317', '/m/0hf58v5', '/m/0fly7', '/m/035r7c', '/m/09j5n', '/m/02p0tk3', '/m/0dzf4', '/m/01_p8q', '/m/02lbcq']",test,"['/m/054xkw', '/m/04rky', '/m/01940j', '/m/06wtgq', '/m/07yv9', '/m/0ytgt']"
test/16986966347_5ee142deb5_o.jpg,"['/m/09j2d', '/m/04rky', '/m/07vwy6', '/m/04rd7', '/m/0jjw', '/m/017kvv', '/m/034wh', '/m/04yx4', '/m/06gfj', '/m/01bl7v', '/m/01g317', '/m/01c8br', '/m/0cgh4', '/m/039jbq', '/m/01n5jq', '/m/09j5n']",test,"['/m/0d4v4', '/m/07yv9', '/m/02dgv', '/m/0hnnb', '/m/03bt1vf', '/m/02ldsk']"
test/14025033872_06c9fe2782_o.jpg,"['/m/0ltv', '/m/0410tth', '/m/032nb1', '/m/083wq', '/m/0h9mv', '/m/01g317', '/m/01r_pn', '/m/0dfbw', '/m/06ntj', '/m/04ttsh', '/m/0k4j', '/m/01prls']",test,[]
test/34580831_b45860f238_o.jpg,"['/m/05r5c', '/m/04rky', '/m/01g317', '/m/05148p4', '/m/03q5t', '/m/01zs85']",test,"['/m/0h8lprf', '/m/011_f4', '/m/0bs7_0t', '/m/0d8lm', '/m/057cc', '/m/05vyk', '/m/01s0ps', '/m/09jwl']"
test/6282897734_b55eb375c1_o.jpg,"['/m/07bsy', '/m/09j2d', '/m/07yv9', '/m/01g317', '/m/03q69', '/m/0k4j', '/m/01bl7v']",test,"['/m/04hgtk', '/m/0jzbb', '/m/08dz3q', '/m/0kw6d', '/m/083wq']"
test/5937480613_2b17079416_o.jpg,"['/m/0k65p', '/m/0dzf4', '/m/0283dt1', '/m/03q69', '/m/0k0pj', '/m/04rky', '/m/02p0tk3', '/m/01599', '/m/01g317', '/m/0dzct', '/m/04hgtk', '/m/0lqk', '/m/09j2d', '/m/04yx4', '/m/014sv8', '/m/09tvcd']",test,"['/m/02wbm', '/m/0hjbz', '/m/03bt1vf']"
