image_id,class_list,split,class_list_neg
test/2189164888_11b947d134_o.jpg,"['/m/036qh8', '/m/02xwb', '/m/014j1m', '/m/0134l']",test,"['/m/0c9ph5', '/m/0hsgr', '/m/0jwn_', '/m/07j7r', '/m/01h5wg', '/m/05s2s']"
test/3471180754_d8622668e3_o.jpg,"['/m/036qh8', '/m/014j1m', '/m/061_f', '/m/02xwb']",test,"['/m/0dj6p', '/m/0p719', '/m/07j7r', '/m/02p4s13', '/m/05s2s']"
test/1283883526_c1e6ead71c_o.jpg,"['/m/02xwb', '/m/07j87', '/m/0jfd5', '/m/0284d', '/m/06gs1f', '/m/01ykh', '/m/0grw1', '/m/02q08p0']",test,"['/m/01nkt', '/m/05s2s', '/m/01g317', '/m/0pqdc', '/m/04059x', '/m/0krfg', '/m/036qh8']"
test/67453099_78e56d4a8e_o.jpg,"['/m/088fh', '/m/02xwb', '/m/0jc_p', '/m/07j87', '/m/0f4s2w']",test,"['/m/05s2s', '/m/03lnzv', '/m/0c3flmk', '/m/036qh8']"
test/3924512416_a1e6d81d0d_o.jpg,"['/m/09t49', '/m/02xwb', '/m/06fvc', '/m/07j7r', '/m/0hlzc', '/m/021tjx', '/m/016x87']",test,"['/m/0dxb5', '/m/0c9ph5', '/m/0b5gs', '/m/0gqbt', '/m/036qh8']"
test/8535768084_d42b5f6a9c_o.jpg,"['/m/02wbm', '/m/04rky', '/m/02xwb', '/m/05s2s', '/m/06mf6', '/m/0jbk', '/m/0138tl', '/m/01g317', '/m/0c9ph5']",test,"['/m/0f4s2w', '/m/01ww8y', '/m/02j_4', '/m/05_4_', '/m/04bcr3', '/m/03jcqy', '/m/0krfg']"
test/8378885832_f8a0f0844b_o.jpg,"['/m/01ww8y', '/m/0270h', '/m/02xwb', '/m/036qh8']",test,"['/m/05s2s', '/m/0f4s2w', '/m/0263lr1', '/m/07j7r', '/m/0cyhj_', '/m/0hkf']"
test/169986691_dd02121e9a_o.jpg,"['/m/036qh8', '/m/0b6w2z', '/m/026pc7x', '/m/047vl80', '/m/02r_57s', '/m/025t_kv', '/m/0hgq063', '/m/052lwg6', '/m/02xwb', '/m/02qm2x', '/m/0fszt', '/m/022p83', '/m/0284d', '/m/02czv8']",test,"['/m/02z04ty', '/m/0c9ph5', '/m/0hnyx', '/m/05s2s', '/m/01g317', '/m/09j2d']"
test/14985513656_89b17f24b1_o.jpg,"['/m/02wbm', '/m/016rvq', '/m/016gq4', '/m/0jhv_', '/m/05s2s', '/m/03lkyr', '/m/02xwb', '/m/0c9ph5', '/m/06z3rh', '/m/0dxb5', '/m/017z5n', '/m/016b2k', '/m/0hlzc']",test,"['/m/07j7r', '/m/034p_k', '/m/036qh8', '/m/016x87']"
test/15567640341_6056f20bea_o.jpg,"['/m/024g6', '/m/09k_b', '/m/0dqb5', '/m/0207sy', '/m/02wbm', '/m/06qrr', '/m/04qgp', '/m/012mj', '/m/0gc319', '/m/04shl0', '/m/02xwb', '/m/01z1kdw', '/m/028ygt']",test,"['/m/04hgtk', '/m/03q69', '/m/04rky', '/m/036qh8', '/m/05s2s']"
test/7027150843_47d89e4c32_o.jpg,"['/m/01ykh', '/m/0gtdm', '/m/02q08p0', '/m/02xwb', '/m/07lrp', '/m/07j87']",test,"['/m/05s2s', '/m/036qh8', '/m/01g317']"
