image_id,class_list,split,class_list_neg
test/8628729901_9448b676de_o.jpg,"['/m/04y5c8', '/m/01ykh', '/m/04scj', '/m/02wbm', '/m/036qh8', '/m/02q08p0']",test,['/m/05s2s']
test/4663168741_99f71ca661_o.jpg,"['/m/02q08p0', '/m/02wbm', '/m/01ykh', '/m/04scj']",test,"['/m/0f4s2w', '/m/018bp6', '/m/05s2s', '/m/036qh8', '/m/02xwb']"
test/7031451481_10fae63981_o.jpg,"['/m/03r9h4', '/m/04scj', '/m/03dzf4', '/m/02wbm', '/m/0191_7']",test,"['/m/0cgh4', '/m/01xxtm', '/m/02hccx', '/m/02q08p0', '/m/05s2s', '/m/01g317', '/m/01ykh']"
test/14985513656_89b17f24b1_o.jpg,"['/m/02wbm', '/m/016rvq', '/m/016gq4', '/m/0jhv_', '/m/05s2s', '/m/03lkyr', '/m/02xwb', '/m/0c9ph5', '/m/06z3rh', '/m/0dxb5', '/m/017z5n', '/m/016b2k', '/m/0hlzc']",test,"['/m/07j7r', '/m/034p_k', '/m/036qh8', '/m/016x87']"
test/2523344373_0044873617_o.jpg,"['/m/0f4s2w', '/m/01599', '/m/02s819', '/m/02q08p0', '/m/04dr76w', '/m/09759', '/m/02wbm', '/m/0g9vs81', '/m/0krfg', '/m/01ykh', '/m/07_lq']",test,"['/m/036qh8', '/m/034xzm', '/m/05s2s']"
test/3639622552_6d56625769_o.jpg,"['/m/01prls', '/m/02wbm', '/m/0199g', '/m/083wq', '/m/0h9mv', '/m/07pbfj', '/m/0ch_cf', '/m/01bqk0']",test,"['/m/0cjdwc', '/m/01g317', '/m/02q08p0', '/m/01ykh']"
test/9052650069_f1b9297b78_o.jpg,"['/m/02wbm', '/m/0krfg', '/m/01ykh', '/m/02q08p0', '/m/034xzm']",test,"['/m/01g317', '/m/05s2s', '/m/036qh8', '/m/0f4s2w']"
test/6793038244_3609d9e447_o.jpg,"['/m/01ww8y', '/m/0grw1', '/m/02wbm', '/m/02q08p0', '/m/0hkxq', '/m/01ykh', '/m/0hyyb', '/m/03vc65', '/m/0jffp', '/m/06l8d', '/m/099ssp', '/m/0krfg', '/m/0jfd5']",test,"['/m/05s2s', '/m/04y0_x', '/m/01g317', '/m/0pqdc', '/m/07pbfj']"
test/8700911402_0d208376e9_o.jpg,"['/m/02wbm', '/m/0bp3f6m', '/m/0c1vsn', '/m/0f25w9', '/m/01ykh', '/m/04scj', '/m/02q08p0']",test,"['/m/0f99t', '/m/01px4b', '/m/01crps', '/m/07pbfj', '/m/02r_4gm', '/m/0b4rl8', '/m/01_bhs', '/m/050lqd']"
test/10172606976_a7ae998c5e_o.jpg,"['/m/02q08p0', '/m/02wbm', '/m/01ykh', '/m/0352wl']",test,"['/m/05f725', '/m/0f4s2w', '/m/036qh8', '/m/05s2s', '/m/07_lq', '/m/0hkxq']"
test/14304199810_3b173c807a_o.jpg,"['/m/01ww8y', '/m/0270h', '/m/039jq', '/m/02wbm', '/m/0gm28', '/m/018xm']",test,"['/m/05s2s', '/m/02p0tk3', '/m/06h2ct', '/m/0138tl', '/m/01g317']"
test/20333334928_3d26908a03_o.jpg,"['/m/0f8sw', '/m/03ct2_8', '/m/036qh8', '/m/02wbm', '/m/06fvc', '/m/02xwb', '/m/020dp', '/m/0dxb5']",test,"['/m/0fbdb', '/m/05s2s', '/m/07fbm7', '/m/0jwn_']"
test/12042459696_2e44b04000_o.jpg,"['/m/07j87', '/m/0hfcz', '/m/02xwb', '/m/0f4s2w', '/m/02wbm']",test,"['/m/05s2s', '/m/0c3flmk', '/m/036qh8']"
