image_id,class_list,split,class_list_neg
test/9404650360_c914655905_o.jpg,"['/m/04scj', '/m/019t6d', '/m/02wbm', '/m/01ykh', '/m/01mtb']",test,"['/m/0983v', '/m/0h99cwc', '/m/01r24t', '/m/01g317', '/m/03dzf4', '/m/0dv34', '/m/0h8lynm', '/m/0dxn2', '/m/0dxlf', '/m/02q08p0']"
test/4110416268_ee9ccf8d10_o.jpg,"['/m/0mjqn', '/m/02q08p0', '/m/01ykh', '/m/025tqsx', '/m/0hz4q', '/m/052lwg6', '/m/0dv34', '/m/036qh8', '/m/0270h', '/m/02wbm', '/m/0krfg', '/m/06rk9l']",test,"['/m/05s2s', '/m/01ww8y']"
test/2938273976_51c8ca643c_o.jpg,"['/m/02q08p0', '/m/01g317', '/m/01ykh', '/m/0hr1s_w', '/m/01x_c', '/m/02wbm', '/m/0krfg']",test,"['/m/039v41', '/m/05s2s', '/m/06nwz', '/m/036qh8']"
test/4876534604_bd0743e574_o.jpg,"['/m/02wbm', '/m/0h55b', '/m/01ww8y', '/m/0bp3f6m', '/m/01ykh', '/m/02q08p0', '/m/01_bhs', '/m/07_lq']",test,"['/m/052lwg6', '/m/02y6n', '/m/045dxv', '/m/01g317', '/m/0f4s2w', '/m/05s2s', '/m/036qh8']"
test/5436651305_13f0970a49_o.jpg,"['/m/01ykh', '/m/02wbm', '/m/04scj', '/m/022n8y', '/m/02q08p0']",test,"['/m/01g317', '/m/027pcv', '/m/05s2s', '/m/0f4s2w', '/m/012c4n', '/m/036qh8', '/m/07_lq']"
test/14665300436_f9a94b352e_o.jpg,"['/m/06z3rh', '/m/07j7r', '/m/0dxb5', '/m/016rvq', '/m/034p_k', '/m/02wbm', '/m/0463nlw', '/m/0jhv_', '/m/03lkyr', '/m/016gq4', '/m/036qh8', '/m/017z5n', '/m/025z29', '/m/0gzn_w']",test,"['/m/0fbdb', '/m/0gqbt', '/m/0hlzc', '/m/01pd2g', '/m/07fbm7', '/m/02xwb', '/m/0c9ph5']"
test/15285579811_b0903d93f2_o.jpg,"['/m/0rh1hgy', '/m/04scj', '/m/05v1q7', '/m/01ykh', '/m/02p16m6', '/m/02q08p0', '/m/0553tg', '/m/0273qgx', '/m/06sr5g', '/m/0cjyd', '/m/03dzf4', '/m/02wbm']",test,"['/m/01g317', '/m/04y0_x', '/m/03qt4l', '/m/01hcps']"
test/9386773482_2434f3c2d8_o.jpg,"['/m/01ykh', '/m/02wbm', '/m/036qh8', '/m/07crc', '/m/02q08p0']",test,"['/m/04scj', '/m/05s2s', '/m/07_lq']"
test/7308577088_36ab7f90bb_o.jpg,"['/m/02wbm', '/m/07_lq', '/m/0bp3f6m', '/m/01ykh', '/m/02q08p0']",test,"['/m/03m283', '/m/0270h', '/m/04scj', '/m/05s2s', '/m/020t4k', '/m/036qh8', '/m/04574_', '/m/052lwg6', '/m/0f4s2w']"
test/740968556_9856fc1a59_o.jpg,"['/m/02wbm', '/m/01ww8y', '/m/04brg2', '/m/07030', '/m/036qh8', '/m/0krfg', '/m/01ykh', '/m/048wsd', '/m/09wzfj', '/m/02q08p0']",test,"['/m/07pbfj', '/m/05s2s']"
test/592457108_c4f31c4f97_o.jpg,"['/m/036qh8', '/m/02wbm', '/m/02g387', '/m/01ww8y', '/m/033cnk']",test,"['/m/0463sg', '/m/03q69', '/m/04hgtk', '/m/05s2s']"
test/343111178_47815ba325_o.jpg,"['/m/088fh', '/m/0jc_p', '/m/02xwb', '/m/02wbm', '/m/036qh8']",test,"['/m/033cnk', '/m/07j87', '/m/0f4s2w', '/m/05s2s']"
test/5465657837_9e83615538_o.jpg,"['/m/036qh8', '/m/015x4r', '/m/01c4r0', '/m/01mtb', '/m/02q08p0', '/m/06zytg', '/m/01ykh', '/m/02wbm', '/m/03hftql', '/m/0dwn8', '/m/02xtq']",test,"['/m/0krfg', '/m/05s2s', '/m/04brg2', '/m/01g317']"
test/4980273742_5099e258a1_o.jpg,"['/m/052lwg6', '/m/01ww8y', '/m/01ykh', '/m/01mtb', '/m/02q08p0', '/m/03qtd73', '/m/02wbm', '/m/0dv34']",test,"['/m/0cfk35', '/m/0krfg', '/m/0270h', '/m/021mn', '/m/020vl', '/m/01g317', '/m/01tcjp', '/m/0hz4q']"
test/8314751981_8a09d4a670_o.jpg,"['/m/02p1q8p', '/m/05s2s', '/m/0jqb', '/m/088fh', '/m/02wbm', '/m/0hkxq', '/m/09t49', '/m/036qh8']",test,"['/m/07j7r', '/m/0qmh4', '/m/0c9ph5']"
test/8571211435_61f9984c7b_o.jpg,"['/m/02wbm', '/m/0d84n', '/m/07kng9', '/m/02r4717', '/m/01z562']",test,"['/m/09j2d', '/m/06wtgq', '/m/04rky']"
test/3649144255_65f7344af0_o.jpg,"['/m/025z29', '/m/02wbm', '/m/02xwb', '/m/0b5gs', '/m/036qh8', '/m/07j7r', '/m/0dxb5', '/m/03gq1']",test,"['/m/0c9ph5', '/m/0gqbt', '/m/016rvq', '/m/03lkyr', '/m/0jhv_', '/m/0hlzc']"
test/5087211603_89554b480a_o.jpg,"['/m/05hc9_', '/m/01ykh', '/m/02wbm', '/m/07k6c9', '/m/0bp3f6m', '/m/052lwg6', '/m/0dyc53', '/m/02q08p0', '/m/0krfg', '/m/04scj', '/m/0bs9vz']",test,"['/m/036qh8', '/m/01g317', '/m/05s2s', '/m/07pbfj', '/m/03f476', '/m/07_lq', '/m/0f25w9', '/m/015w3y', '/m/07xjdg']"
test/3758526712_7ecfc5ac29_o.jpg,"['/m/05gbwj', '/m/0dxlf', '/m/02r3r5q', '/m/0983v', '/m/04scj', '/m/0h8lynm', '/m/02q08p0', '/m/01mtb', '/m/01r24t', '/m/02wbm', '/m/01ykh', '/m/0dxn2', '/m/0grtl']",test,"['/m/01g317', '/m/019dx1', '/m/083wq']"
test/12625085435_d01f90fb50_o.jpg,"['/m/0krfg', '/m/01ykh', '/m/0grw1', '/m/05f725', '/m/01_9v', '/m/0f4s2w', '/m/02wbm', '/m/02q08p0']",test,"['/m/05wgx5', '/m/05s2s', '/m/02g30s', '/m/036qh8', '/m/0hr1s_w', '/m/07_lq']"
test/5957261447_6a35679b36_o.jpg,"['/m/01g317', '/m/0fbdv', '/m/03xxp', '/m/02q08p0', '/m/0jbk', '/m/0f70b4', '/m/02wbm', '/m/0cjq5', '/m/0283dt1', '/m/01ww8y', '/m/01_bhs']",test,"['/m/0n28_', '/m/01ykh', '/m/07pbfj', '/m/0ll1f78']"
test/13230981665_09871d70f7_o.jpg,"['/m/02q08p0', '/m/02wbm', '/m/01ykh', '/m/01z1m1x']",test,"['/m/0dzct', '/m/014sv8', '/m/0283dt1', '/m/036qh8', '/m/04hgtk', '/m/03603h', '/m/0k65p', '/m/05s2s', '/m/03q69', '/m/0k0pj']"
test/4430980148_3b876c282f_o.jpg,"['/m/01ykh', '/m/02wbm', '/m/02q08p0', '/m/0f4s2w']",test,"['/m/036qh8', '/m/05s2s', '/m/0bn7bg', '/m/0250zy', '/m/05f725']"
test/485013825_92b496f878_o.jpg,"['/m/02wbm', '/m/0crjs', '/m/09y4pm', '/m/0cgh4', '/m/02jp1h', '/m/01jpn4', '/m/07j7r', '/m/05s2s', '/m/0f4s2w', '/m/0cyz6w', '/m/036qh8', '/m/01ww8y', '/m/01hxyd']",test,"['/m/01g317', '/m/0dzf4', '/m/04hgtk', '/m/0k0pj', '/m/0krfg', '/m/014sv8', '/m/02p0tk3', '/m/04rky', '/m/01lqfm', '/m/01n32', '/m/03q69', '/m/0283dt1', '/m/03hk59', '/m/02xwb', '/m/0dzct']"
test/4218536134_2ed6099b4b_o.jpg,"['/m/0f4s2w', '/m/02wbm', '/m/0hkxq', '/m/036qh8', '/m/038hg', '/m/02p1q8p', '/m/088fh', '/m/03rbf6']",test,"['/m/0c9ph5', '/m/04rky', '/m/09t49', '/m/0388q', '/m/07j7r', '/m/05s2s']"
test/3831376481_6cc3dee7be_o.jpg,"['/m/033w_3', '/m/024g6', '/m/02xwb', '/m/02rk4tz', '/m/02wbm', '/m/0gc319', '/m/022fks', '/m/015b1y', '/m/012mj', '/m/0dpj6t', '/m/01z1kdw']",test,"['/m/036qh8', '/m/04shl0', '/m/02m6ts', '/m/04hkqs', '/m/07kcz9', '/m/04qgp', '/m/05s2s']"
test/2147359019_e03ef260a3_o.jpg,"['/m/027wmf', '/m/02cv5l', '/m/01ykh', '/m/02wbm', '/m/04vyx3', '/m/01ww8y', '/m/04g132', '/m/02q08p0', '/m/028ph1']",test,"['/m/036qh8', '/m/05s2s', '/m/0270h', '/m/03cs9b', '/m/052lwg6']"
test/1355230658_8504c44dee_o.jpg,"['/m/02cv5l', '/m/06r77g', '/m/027wmf', '/m/09zzf2', '/m/0pmbh', '/m/01ykh', '/m/0g9fr1', '/m/02cxsh', '/m/025xpnk', '/m/02wbm', '/m/04g132', '/m/0659_7', '/m/08jhp4', '/m/0dt455', '/m/02q08p0', '/m/026ggg2', '/m/01ww8y', '/m/04vyx3', '/m/0bhn86']",test,"['/m/03cs9b', '/m/085714', '/m/0270h', '/m/02phwyk']"
test/19245098298_614bf69131_o.jpg,"['/m/0c9vm2', '/m/06w9jt', '/m/02vqfm', '/m/02q08p0', '/m/0lnyz', '/m/01z1m1x', '/m/02wbm']",test,"['/m/05s2s', '/m/0270h', '/m/036qh8', '/m/02p5f1q']"
test/16042203485_c12feba769_o.jpg,"['/m/02wbm', '/m/0dv34', '/m/0hz4q', '/m/077j14', '/m/02q08p0', '/m/021mn']",test,"['/m/05s2s', '/m/020dp', '/m/0ftbs', '/m/0dxb5', '/m/036qh8', '/m/02xwb', '/m/0krfg', '/m/01tcjp']"
