image_id,class_list,split,class_list_neg
test/6066329559_87d40caba9_o.jpg,"['/m/089v3', '/m/07j7r', '/m/0qjt6', '/m/05s2s', '/m/01zxqd', '/m/01zxt7', '/m/02p66h', '/m/0b5gs', '/m/08pbxl']",test,"['/m/01280g', '/m/0kjxx', '/m/0k0pj', '/m/01hf_2', '/m/04hgtk', '/m/0k65p']"
test/5899609875_cc35ca8163_o.jpg,"['/m/0f375', '/m/01280g', '/m/01zxqd', '/m/02fh1d', '/m/01zxt7', '/m/01hf_2', '/m/08pbxl']",test,"['/m/0k65p', '/m/02hhhb', '/m/0267y', '/m/0kjxx', '/m/014sv8', '/m/03q69', '/m/0283dt1', '/m/0k0pj', '/m/0dzct', '/m/05s2s', '/m/04hgtk']"
test/138605229_ec6c93369d_o.jpg,"['/m/01280g', '/m/08pbxl', '/m/01jsqj', '/m/01zxt7']",test,"['/m/0f375', '/m/07j7r', '/m/04hgtk', '/m/02fh1d', '/m/0283dt1', '/m/03q69']"
test/4927650881_e38d2b67b4_o.jpg,"['/m/08pbxl', '/m/01lrl', '/m/01280g', '/m/05s2s']",test,"['/m/05qsj', '/m/07j7r', '/m/03q69']"
test/5625180145_7d960e7e3a_o.jpg,"['/m/01jsqj', '/m/08pbxl', '/m/01280g', '/m/01zxt7']",test,"['/m/02fh1d', '/m/03q69', '/m/05s2s', '/m/0f375', '/m/0k0pj', '/m/0283dt1', '/m/014sv8', '/m/04hgtk']"
test/4167861642_f34643e900_o.jpg,"['/m/0f375', '/m/01zxt7', '/m/01jsqj', '/m/08pbxl', '/m/04rky', '/m/01280g']",test,"['/m/0k0pj', '/m/01g317', '/m/0dzct', '/m/014sv8', '/m/0283dt1', '/m/02fh1d', '/m/04hgtk']"
test/2221119488_801c4eebff_o.jpg,"['/m/01zxt7', '/m/08pbxl', '/m/02cqfm', '/m/01280g', '/m/01zxqd']",test,"['/m/0k0pj', '/m/0dzct', '/m/014sv8', '/m/04hgtk', '/m/02msn_', '/m/0283dt1', '/m/03q69', '/m/01g5v', '/m/01jsqj']"
test/9420499933_af9116d1f3_o.jpg,"['/m/01280g', '/m/08pbxl', '/m/01zxt7', '/m/05s2s', '/m/01zxqd', '/m/04rky', '/m/01jsqj']",test,"['/m/02hhhb', '/m/0283dt1', '/m/04hgtk', '/m/0dzct', '/m/07j7r', '/m/0f375']"
test/14088188197_d882acef91_o.jpg,"['/m/07j7r', '/m/05s2s', '/m/01280g', '/m/08pbxl', '/m/0d5zvd']",test,"['/m/05m4m', '/m/03q69', '/m/0c9ph5', '/m/01hf_2', '/m/03fp41']"
test/6293826167_b79dec8dc3_o.jpg,"['/m/0f375', '/m/01280g', '/m/01zxt7', '/m/08pbxl', '/m/02fh1d', '/m/01zxqd']",test,"['/m/04hgtk', '/m/0283dt1', '/m/0k0pj', '/m/014sv8', '/m/0dzct', '/m/05s2s', '/m/03q69']"
test/8385579653_a2a00aaae3_o.jpg,"['/m/02p66h', '/m/01280g', '/m/01zxt7', '/m/04l5sb', '/m/05s2s', '/m/08pbxl', '/m/01y3fy', '/m/07j7r', '/m/01zxqd', '/m/04l83j']",test,"['/m/04hgtk', '/m/04hfxj', '/m/01g317', '/m/02h411', '/m/02msn_', '/m/01jsqj', '/m/0k0pj', '/m/0dzct']"
test/15415334842_42939b8784_o.jpg,"['/m/01zxqd', '/m/08pbxl']",test,"['/m/05m4m', '/m/03q69', '/m/01hf_2', '/m/02msn_', '/m/04hgtk']"
test/4855362146_325dcd760b_o.jpg,"['/m/04rky', '/m/01280g', '/m/03pzx', '/m/05m4m', '/m/01hf_2', '/m/08pbxl', '/m/0267y', '/m/0jbk', '/m/089v3']",test,"['/m/04hgtk', '/m/014sv8', '/m/0283dt1', '/m/0dzct', '/m/05s2s', '/m/0kjxx', '/m/0cnmv_', '/m/0k0pj']"
test/8078455784_1906e170da_o.jpg,"['/m/08pbxl', '/m/01280g', '/m/0b5gs', '/m/05h0n', '/m/01zxqd', '/m/05m4m', '/m/0d8cn', '/m/01hf_2', '/m/02py09', '/m/07j7r', '/m/05s2s', '/m/01y3fy']",test,"['/m/014sv8', '/m/04hgtk', '/m/0k0pj', '/m/03pzx']"
test/18922988694_9cb04cacef_o.jpg,"['/m/01280g', '/m/0f375', '/m/01zxt7', '/m/08pbxl', '/m/01zxqd', '/m/01hf_2', '/m/01jsqj', '/m/02hhhb', '/m/02cqfm']",test,"['/m/0cnmv_', '/m/014sv8', '/m/0283dt1', '/m/03q69', '/m/0dzct', '/m/05s2s', '/m/04hgtk', '/m/0k0pj']"
test/343710343_3c8fadbfab_o.jpg,"['/m/0f375', '/m/02cqfm', '/m/01280g', '/m/08pbxl', '/m/01zxt7']",test,"['/m/014sv8', '/m/01jsqj', '/m/03bt1vf', '/m/02hhhb', '/m/0k0pj', '/m/0283dt1', '/m/01g317', '/m/0dzct', '/m/04hgtk']"
test/3053166639_d2d9993215_o.jpg,"['/m/09j2d', '/m/08g_yr', '/m/0k0pj', '/m/0jwzhtg', '/m/06msq', '/m/0c_jw', '/m/04hgtk', '/m/04rky', '/m/013_1c', '/m/08pbxl', '/m/02p0tk3', '/m/01g317', '/m/02ljgl', '/m/0jjw', '/m/0cgh4']",test,"['/m/03q69', '/m/04yx4', '/m/04brg2', '/m/01xmqj', '/m/04syw', '/m/0138tl', '/m/015k7', '/m/03bt1vf', '/m/04zhd', '/m/0djmp']"
test/162196257_5e1fc0fda1_o.jpg,"['/m/0jbk', '/m/08pbxl', '/m/089v3', '/m/01zxt7', '/m/01jsqj', '/m/07j7r']",test,"['/m/01lrl', '/m/0f375', '/m/01280g', '/m/01djxm']"
test/4333459798_645bbbe0f8_o.jpg,"['/m/05m4m', '/m/03pzx', '/m/01280g', '/m/01hf_2', '/m/0396p', '/m/08pbxl']",test,"['/m/0k0pj', '/m/04hgtk', '/m/0283dt1', '/m/03q69', '/m/05s2s', '/m/014sv8', '/m/0cnmv_', '/m/0dzct']"
test/2875286906_d0946dfda6_o.jpg,"['/m/01jsqj', '/m/01zxt7', '/m/08pbxl', '/m/01zxqd']",test,"['/m/0k0pj', '/m/0dzct', '/m/04hgtk', '/m/0283dt1', '/m/02fh1d', '/m/014sv8']"
test/4920825519_4b422a5b32_o.jpg,"['/m/01zxqd', '/m/01zxt7', '/m/01y3fy', '/m/04l83j', '/m/05h0n', '/m/08pbxl']",test,"['/m/02f9pk', '/m/0b5gs', '/m/01280g', '/m/07j7r', '/m/01jsqj', '/m/05s2s']"
test/6056781349_aa94c96ee8_o.jpg,"['/m/01280g', '/m/01lrl', '/m/0jbk', '/m/08pbxl', '/m/05qsj']",test,"['/m/02f9pk', '/m/04hgtk', '/m/0k0pj', '/m/03bj1', '/m/05s2s', '/m/01dws', '/m/07j7r', '/m/014sv8']"
test/4899490570_760e942930_o.jpg,"['/m/08pbxl', '/m/01280g', '/m/01hf_2', '/m/089v3', '/m/05s2s', '/m/03pzx', '/m/05m4m']",test,"['/m/07j7r', '/m/0kjxx', '/m/03q69', '/m/0cnmv_', '/m/0267y', '/m/0283dt1']"
test/2173148370_7af6d59cab_o.jpg,"['/m/02cqfm', '/m/0f375', '/m/01280g', '/m/01zxt7', '/m/08pbxl', '/m/05s2s', '/m/01jsqj']",test,"['/m/02fh1d', '/m/03q69', '/m/0283dt1', '/m/02hhhb', '/m/014sv8', '/m/04hgtk', '/m/0k0pj', '/m/0dzct']"
test/4976117640_e709203410_o.jpg,"['/m/01zxqd', '/m/08pbxl', '/m/02cqfm', '/m/01l7qd', '/m/01zxt7']",test,"['/m/05s2s', '/m/02f9pk', '/m/04hgtk', '/m/01c4rd', '/m/014sv8', '/m/01280g', '/m/0283dt1', '/m/04hfxj', '/m/0dzct', '/m/0k0pj', '/m/01jsqj', '/m/03q69']"
test/4925375136_8a4b20f69c_o.jpg,"['/m/0b5gs', '/m/01zxqd', '/m/01zxt7', '/m/05h0n', '/m/01280g', '/m/01y3fy', '/m/05s2s', '/m/08pbxl', '/m/07j7r']",test,"['/m/04hgtk', '/m/01jsqj', '/m/02f9pk', '/m/014sv8', '/m/0k0pj']"
