image_id,class_list,split,class_list_neg
test/169362568_f652f12ccc_o.jpg,"['/m/017kvv', '/m/0mys3', '/m/0298qf', '/m/05s2s']",test,"['/m/01prls', '/m/017m8l', '/m/083wq', '/m/03jm5', '/m/0158vt', '/m/0cgh4', '/m/07yv9']"
test/6154948579_7932331f8f_o.jpg,"['/m/05zdp', '/m/0cgh4', '/m/017kvv', '/m/08863x', '/m/06gfj', '/m/05s2s', '/m/09x3lm', '/m/07bsy', '/m/01w5c_', '/m/07j7r', '/m/014mpm']",test,"['/m/0cz_0', '/m/01j6f0', '/m/01r_pn', '/m/02nfxt', '/m/0bmgjqz', '/m/0750y', '/m/033j3c', '/m/02500f', '/m/01jnfv', '/m/0335j']"
test/3508753045_cd1c0fdbf0_o.jpg,"['/m/05s2s', '/m/03gq1', '/m/0c9ph5']",test,"['/m/03f35r', '/m/09dj50']"
test/19506953833_e53556df06_o.jpg,"['/m/05s2s', '/m/0bt9lr', '/m/01280g']",test,"['/m/0dglm', '/m/01dws', '/m/07j7r', '/m/01kz1l']"
test/8097644207_9c71589873_o.jpg,"['/m/036qh8', '/m/0brn2d', '/m/038hg', '/m/05s2s', '/m/07j7r', '/m/0hkf', '/m/09t49', '/m/016btq', '/m/0388q']",test,"['/m/0134l', '/m/0c9ph5', '/m/081qc', '/m/0gqbt']"
test/16021591204_eb91d5235d_o.jpg,"['/m/05y1k_', '/m/07j7r', '/m/01f4td', '/m/02zkn_', '/m/083vt', '/m/03nxtz', '/m/06z37_', '/m/08yp1s', '/m/0q0d2', '/m/0cgh4', '/m/01l0mw']",test,"['/m/01g317', '/m/083wq', '/m/04rky', '/m/0djmp']"
test/5583673688_63130368c6_o.jpg,"['/m/068hy', '/m/0kpmf', '/m/0bt9lr', '/m/05h0h0', '/m/05h19n', '/m/07j7r', '/m/017y8_', '/m/047g84', '/m/05s2s']",test,"['/m/083wq', '/m/01k3tq', '/m/0k0pj', '/m/04hgtk']"
test/15471848329_9c244f2f8a_o.jpg,"['/m/04mx32', '/m/09j2d', '/m/02qc_h', '/m/01b3l7', '/m/04hgtk', '/m/05s2s', '/m/07j7r', '/m/01b2w5', '/m/03q69']",test,"['/m/0cdl1', '/m/0283dt1', '/m/0k0pj', '/m/09j5n', '/m/0lhr', '/m/014sv8', '/m/05r655']"
test/7408124572_1886d86b36_o.jpg,"['/m/038t8_', '/m/06zdj', '/m/05s2s', '/m/05wrt', '/m/01v327', '/m/01_x9', '/m/01x314', '/m/07j7r', '/m/0d4v4', '/m/0cgh4']",test,"['/m/02nfxt', '/m/02pvbb', '/m/0sy84', '/m/03jm5', '/m/037cyw', '/m/04m6gz', '/m/0180xr', '/m/01l0mw', '/m/020ys5']"
test/2857685144_06935310a3_o.jpg,"['/m/03hh2k', '/m/0hkvx', '/m/01gd91', '/m/0jzz1', '/m/08t9c_', '/m/05s2s', '/m/01c7cq', '/m/01gm6', '/m/01280g', '/m/0brn2d', '/m/025st_8', '/m/0cnyhnx']",test,"['/m/03q69', '/m/03vd46', '/m/02ftcz', '/m/01xq0k1', '/m/07j7r', '/m/0g0zc']"
