image_id,class_list,split,class_list_neg
test/8341127600_9a46887198_o.jpg,"['/m/03q69', '/m/0k0pj', '/m/01g317', '/m/02p0tk3', '/m/0283dt1', '/m/09j2d', '/m/0dzct', '/m/012n4x']",test,"['/m/04hgtk', '/m/0htp']"
test/5361464639_2bf29c5f21_o.jpg,"['/m/05r655', '/m/028mzr', '/m/0ds4x', '/m/0dzct', '/m/02p0tk3', '/m/04rky', '/m/0k0pj', '/m/02ksmb', '/m/09j2d', '/m/04hgtk', '/m/025kyy', '/m/039xj_', '/m/014sv8', '/m/03q69', '/m/0463sg']",test,"['/m/0cj9q3', '/m/03bt1vf', '/m/06q_t_']"
test/3029886054_aec50ae2aa_o.jpg,"['/m/0dzct', '/m/09j2d', '/m/07s6nbt', '/m/02cwm', '/m/02p0tk3', '/m/01g317', '/m/0283dt1', '/m/04yx4', '/m/05jnl', '/m/05y_mz', '/m/03q69', '/m/04hgtk']",test,"['/m/01n5jq', '/m/058sv', '/m/01cd9', '/m/05r655', '/m/03bt1vf', '/m/015bv3']"
test/19810802680_c5e7459f94_o.jpg,"['/m/0dzct', '/m/09j2d', '/m/02wbm', '/m/0k0pj', '/m/04hgtk', '/m/0283dt1', '/m/0270h', '/m/03q69', '/m/0k65p', '/m/01bl7v', '/m/02p0tk3']",test,"['/m/01f5gx', '/m/0kpqd', '/m/016rbg', '/m/06wtgq', '/m/02xwb', '/m/07j7r', '/m/036qh8', '/m/0ky1b', '/m/05s2s', '/m/0c9ph5']"
test/1696514645_3a222010bf_o.jpg,"['/m/0jnvp', '/m/04yx4', '/m/01g317', '/m/0k0pj', '/m/04rky', '/m/02p0tk3', '/m/0283dt1', '/m/0c_jw', '/m/016c68', '/m/03q69', '/m/03bt1vf', '/m/01xgg_', '/m/03c0bxg', '/m/01ckgp', '/m/04hgtk', '/m/039xj_', '/m/03ssj5', '/m/034c16', '/m/0dzf4', '/m/0dzct', '/m/014sv8', '/m/05r655', '/m/09j2d']",test,"['/m/035r7c', '/m/01bl7v', '/m/06xzh', '/m/0lc0w', '/m/05c1ypb']"
test/7989466832_a3af6bda16_o.jpg,"['/m/05fh2', '/m/014sv8', '/m/01xgg_', '/m/0k65p', '/m/01bl7v', '/m/0dzf4', '/m/0ytgt', '/m/04yx4', '/m/02p0tk3', '/m/04rky', '/m/0283dt1', '/m/028hfb', '/m/03q69', '/m/0k0pj', '/m/04hgtk', '/m/02xht4g', '/m/0dzct']",test,"['/m/0lc0w', '/m/03bt1vf', '/m/05r655', '/m/0277g', '/m/0cd25']"
test/6775934235_ce1849409b_o.jpg,"['/m/07yv9', '/m/035r7c', '/m/0ds4x', '/m/03c0bxg', '/m/0463sg', '/m/01j04m', '/m/03sr43', '/m/014sv8', '/m/0dzf4', '/m/0fc1fy', '/m/05r655', '/m/03wm22', '/m/01gmv2', '/m/01gkx_', '/m/0dzct', '/m/02pd__z', '/m/0d1pc', '/m/03q69', '/m/0k65p', '/m/03bt1vf', '/m/01g8j', '/m/02qbl1m', '/m/08y7p8', '/m/02p0tk3', '/m/09j1x', '/m/01f43']",test,"['/m/09j5n', '/m/031n1', '/m/0294jb', '/m/015c4z']"
test/6785084388_de81c3655d_o.jpg,"['/m/01d40f', '/m/0294jb', '/m/0463sg', '/m/0d1pc', '/m/0k0pj', '/m/04hgtk', '/m/0283dt1', '/m/0dzf4', '/m/014sv8', '/m/02p0tk3', '/m/05r655', '/m/03q69', '/m/0dzct', '/m/032tl', '/m/0ds4x', '/m/03bt1vf']",test,"['/m/03bxt6z', '/m/01c34b', '/m/0dqs43']"
test/3500872136_8ae0f21773_o.jpg,"['/m/02p0tk3', '/m/014sv8', '/m/09j2d', '/m/07s6nbt', '/m/04hgtk', '/m/016g5h', '/m/05xkk1', '/m/0k0pj', '/m/0dzct', '/m/039xj_', '/m/03q69', '/m/0283dt1', '/m/0w88xth', '/m/01zbnw', '/m/04yx4']",test,"['/m/02y3rj', '/m/02p30vv']"
test/6382590969_f0b6371e77_o.jpg,"['/m/025t7sq', '/m/0dzct', '/m/01g317', '/m/0jwzhtg', '/m/0283dt1', '/m/0jjw', '/m/013_1c', '/m/04hgtk', '/m/08g_yr']",test,"['/m/014sv8', '/m/015k7', '/m/0k0pj', '/m/04rky', '/m/09j2d', '/m/0250x']"
test/15762262127_b3e332f3db_o.jpg,"['/m/099md', '/m/02h66g5', '/m/012qdp', '/m/01bq8v', '/m/0pd7', '/m/07mhn', '/m/04yx4', '/m/01g317', '/m/01h6rj', '/m/09j2d']",test,"['/m/032b3c', '/m/01bl7v', '/m/0cgh4', '/m/0fly7', '/m/01xyhv', '/m/01t2ln']"
test/15622802592_2d83243986_o.jpg,"['/m/039xj_', '/m/01bl7v', '/m/03bt1vf', '/m/0250x', '/m/0k0pj', '/m/02p0tk3', '/m/0463sg', '/m/0p285', '/m/04yx4', '/m/03q69', '/m/014sv8', '/m/0dzct', '/m/04hgtk', '/m/05r655', '/m/09j2d', '/m/01g317']",test,"['/m/01d40f', '/m/0c9ph5', '/m/07djv']"
test/5809345815_d7c55bbcb4_o.jpg,"['/m/0464z4', '/m/07yv9', '/m/0283dt1', '/m/0dzct', '/m/0jyfg', '/m/03k3r', '/m/0c0ygc', '/m/0dfbw', '/m/04rky', '/m/09j2d', '/m/05r655', '/m/0k0pj', '/m/0zvk5', '/m/01g317', '/m/04hgtk', '/m/09j5n']",test,"['/m/0h6hb8', '/m/01pvc5', '/m/06ntj', '/m/0d1tm', '/m/0h4wls', '/m/0wfrc8w', '/m/04yx4', '/m/02z6033', '/m/07s053t', '/m/03b3nf', '/m/0jxw5']"
test/4097686865_033ec33130_o.jpg,"['/m/08y7p8', '/m/05r655', '/m/06k2mb', '/m/032tl', '/m/047vlmn', '/m/03q69', '/m/035r7c', '/m/039xj_', '/m/02p0tk3', '/m/0dzct', '/m/0dzd8', '/m/03bt1vf', '/m/09j2d', '/m/0dnr7', '/m/03c0bxg', '/m/01j04m', '/m/02qbl1m', '/m/0hwky']",test,"['/m/015mm6', '/m/014sv8', '/m/07mhn', '/m/01d40f', '/m/02w3_2', '/m/0dzf4', '/m/0463sg', '/m/04nk84', '/m/0283dt1', '/m/0k0pj']"
test/2846937431_bf734f8f4f_o.jpg,"['/m/06ntj', '/m/06nb_j', '/m/012sbd', '/m/01bl7v', '/m/02h664x', '/m/020m7t', '/m/09j5n', '/m/012xhn', '/m/01445t', '/m/05y5lj', '/m/0283dt1', '/m/039xj_', '/m/04hgtk', '/m/02p0tk3', '/m/01g317', '/m/02vzx9', '/m/04rky', '/m/04yx4', '/m/0dzf4', '/m/03q69', '/m/0dzct', '/m/018xm', '/m/0k65p', '/m/0k0pj', '/m/018w8', '/m/0b4_rz', '/m/014sv8', '/m/09j2d', '/m/03x045']",test,"['/m/0gl2ny2', '/m/03bt1vf']"
test/18496279553_b07d8bd9fe_o.jpg,"['/m/0k65p', '/m/0dzct', '/m/02p0tk3', '/m/03q69', '/m/02w3hl', '/m/04yx4', '/m/04hgtk', '/m/01rkbr', '/m/0cgh4', '/m/01xyhv']",test,['/m/04rky']
test/417061748_15e10ca100_o.jpg,"['/m/0lbxg', '/m/014sv8', '/m/03q69', '/m/04yx4', '/m/0ytgt', '/m/0283dt1', '/m/0k0pj', '/m/0jnvp', '/m/02p0tk3', '/m/01bl7v', '/m/05zppz', '/m/0k65p', '/m/04hgtk', '/m/0dzf4', '/m/09g5pq', '/m/09j2d', '/m/0dzct']",test,"['/m/04rky', '/m/06xzh', '/m/03ssj5', '/m/0c_jw', '/m/035r7c', '/m/05r655', '/m/061hd_', '/m/03bt1vf', '/m/03c866', '/m/0lc0w']"
test/9679143591_87c9f91c47_o.jpg,"['/m/02xht4g', '/m/0cgh4', '/m/04yx4', '/m/0dzct', '/m/01g317', '/m/05t4q', '/m/09j2d', '/m/02p0tk3', '/m/04sh3', '/m/01xgg_']",test,['/m/028hfb']
test/11007504325_1ecdb97946_o.jpg,"['/m/04yx4', '/m/01xyhv', '/m/015h_t', '/m/0jyfg', '/m/04hgtk', '/m/0dzct', '/m/014sv8', '/m/0283dt1', '/m/035y33', '/m/03q69', '/m/0k0pj']",test,"['/m/01b7b', '/m/03bt1vf', '/m/067nv', '/m/027k49j', '/m/02079p', '/m/05xjb', '/m/04rky', '/m/0db79']"
test/6898867156_5a28a38f74_o.jpg,"['/m/05r655', '/m/02pkb8', '/m/04hgtk', '/m/02p0tk3', '/m/0294jb', '/m/032tl', '/m/04rky', '/m/0k0pj', '/m/03q69', '/m/03bt1vf', '/m/01f43', '/m/09j2d', '/m/0dzct']",test,"['/m/0ltfs', '/m/0c9ph5', '/m/0d1pc', '/m/039xj_', '/m/05s2s', '/m/014sv8', '/m/0250x', '/m/0f5zw']"
test/16972431952_6b002fc24f_o.jpg,"['/m/04hgtk', '/m/0250x', '/m/03bt1vf', '/m/0dzd8', '/m/0dzf4', '/m/03q69', '/m/0dzct', '/m/02p0tk3', '/m/0283dt1', '/m/09ggk', '/m/05r655', '/m/0d1pc', '/m/0fc1fy', '/m/02qbl1m', '/m/0ds4x', '/m/014sv8', '/m/05sfw_', '/m/02pd__z', '/m/01d40f', '/m/0dnr7', '/m/0k0pj']",test,"['/m/08y7p8', '/m/01gmv2', '/m/09j1x', '/m/0463sg', '/m/02ksmb', '/m/0bp_2p', '/m/01hzl4']"
test/5707116123_956feedda8_o.jpg,"['/m/0k0pj', '/m/0dzct', '/m/0283dt1', '/m/06z04', '/m/03bt1vf', '/m/09g5pq', '/m/02h19r', '/m/0ldpy', '/m/019nj4', '/m/0chml9', '/m/03q69', '/m/05r655', '/m/02p0tk3', '/m/09j2d', '/m/014sv8', '/m/01g317', '/m/04rky', '/m/016c68']",test,"['/m/04yx4', '/m/0ytgt', '/m/0lbxz', '/m/01nq26', '/m/01dv4h', '/m/01bl7v', '/m/0dzf4', '/m/01j3sz', '/m/04n7gmg', '/m/09dhj']"
test/2574493991_d183f57f0c_o.jpg,"['/m/0dzct', '/m/0283dt1', '/m/04hgtk', '/m/0dzf4', '/m/0hwky', '/m/03bt1vf', '/m/02p0tk3', '/m/05r655', '/m/014sv8', '/m/0k0pj', '/m/0463sg', '/m/01xygc', '/m/047vlmn', '/m/03q69']",test,"['/m/04yx4', '/m/04rky', '/m/039xj_', '/m/032b3c', '/m/02w3_2', '/m/04xz_5']"
test/381784868_db9a02ae66_o.jpg,"['/m/016c68', '/m/01dv4h', '/m/06z04', '/m/0dzct', '/m/037p5b', '/m/02cqfm', '/m/04yx4', '/m/014sv8', '/m/04n7gmg', '/m/0f9swq', '/m/0k0pj', '/m/02p0tk3', '/m/04rky', '/m/0283dt1', '/m/04hgtk', '/m/013y0j', '/m/0ds5b', '/m/02_x63', '/m/025kyy', '/m/06pj2k']",test,"['/m/039xj_', '/m/03bt1vf', '/m/09j2d', '/m/0k65p', '/m/03q69']"
