image_id,class_list,split,class_list_neg
test/2660849653_4c248d53fc_o.jpg,"['/m/02w4xmv', '/m/0369ss', '/m/0g54v5d', '/m/04rky', '/m/083wq', '/m/08dz3q', '/m/035f_j', '/m/07yv9', '/m/0k4j', '/m/0h8ls87']",test,"['/m/03_qm', '/m/040n1z']"
test/3748030512_2a0bf672d9_o.jpg,"['/m/06j11d', '/m/014f__', '/m/0h8ls87', '/m/012mq4', '/m/019ktg', '/m/0ncqpsr', '/m/01lcwm', '/m/0k4j', '/m/01prls', '/m/07yv9', '/m/068mqj']",test,"['/m/01h80k', '/m/03y_qy', '/m/08dz3q']"
test/20333747644_d2ee33a670_o.jpg,"['/m/04bcr3', '/m/0c_jw', '/m/01mzpv', '/m/01prls']",test,"['/m/07j7r', '/m/04rky', '/m/06wtgq', '/m/03jm5', '/m/04hgtk', '/m/0k0pj', '/m/02p0tk3', '/m/0k4j', '/m/0h8jr33', '/m/014sv8', '/m/0h8lhsd', '/m/0cgh4', '/m/0dzct', '/m/0283dt1', '/m/01j61q']"
test/4689326744_7c497d51fe_o.jpg,"['/m/012mq4', '/m/014f__', '/m/01lcwm', '/m/06j11d', '/m/068mqj', '/m/07yv9', '/m/0cgh4', '/m/0k4j', '/m/01prls', '/m/03qr_q', '/m/083wq', '/m/05s2s']",test,[]
test/10449759665_5d7f3dac28_o.jpg,"['/m/0h8ls87', '/m/0d4v4', '/m/0h5y1j0', '/m/03_qhc', '/m/01prls', '/m/02mnkq', '/m/0ctrp', '/m/0k4j']",test,"['/m/07r04', '/m/083wq', '/m/08dz3q', '/m/0h9mv', '/m/01jfm_']"
test/13436675463_157be1a458_o.jpg,"['/m/01h6rj', '/m/0ctrp', '/m/03qz9', '/m/040n1z', '/m/035f_j', '/m/0g54v5d', '/m/01prls', '/m/0y8r', '/m/04j192']",test,"['/m/07r04', '/m/08dz3q', '/m/0k4j']"
test/15339448807_46d4a2e3b0_o.jpg,"['/m/01xq49', '/m/083wq', '/m/025qfg', '/m/0h8ls87', '/m/01lcwm', '/m/01prls', '/m/021mp2', '/m/01xsb3', '/m/0k4j']",test,['/m/019qw9']
test/16676783243_6e0335ce8e_o.jpg,"['/m/07yv9', '/m/05sm1', '/m/0cmf2', '/m/0fzyg', '/m/015z_b', '/m/01hh79', '/m/083s2', '/m/01515d', '/m/0150fh']",test,"['/m/039r_', '/m/05h5q_s', '/m/0dhz0', '/m/0c_jw', '/m/01mzpv', '/m/05s2s', '/m/013m1', '/m/015y8h', '/m/01g317']"
test/15207804288_627ef06af3_o.jpg,"['/m/0k4j', '/m/0539n0', '/m/0h9mv', '/m/047vmg8', '/m/0ctrp', '/m/08dz3q', '/m/01lcwm', '/m/0h8ls87', '/m/083wq', '/m/01prls', '/m/068mqj', '/m/03p66g', '/m/02mnkq']",test,['/m/09j2d']
test/11681429753_418cedea0c_o.jpg,"['/m/07j7r', '/m/025s3q0', '/m/01bqvp', '/m/05h0n', '/m/05s2s', '/m/08t9c_', '/m/01c7d3']",test,"['/m/0c9ph5', '/m/02qc_h', '/m/0lhr']"
test/20515104299_d69b47e9c7_o.jpg,"['/m/07yv9', '/m/01lh8n', '/m/09j2d', '/m/018p4k', '/m/01g317', '/m/07k1x', '/m/04rky', '/m/01prls']",test,"['/m/0605m', '/m/05s2s', '/m/0hkf', '/m/07j7r', '/m/0g8p9']"
test/7197060800_553bf85c64_o.jpg,"['/m/01sgl', '/m/0bpm4bq', '/m/0199g', '/m/0dfbw', '/m/01prls', '/m/04yx4', '/m/03p3bw', '/m/017ftj', '/m/03hs7k', '/m/05y5lj', '/m/02l5zk', '/m/0bpxlzj', '/m/07j7r', '/m/0_mjp', '/m/03hs6w', '/m/01bl7v', '/m/03hrn8', '/m/01bqk0', '/m/09j2d', '/m/09rgp', '/m/03hr1p', '/m/01g317', '/m/03hrb5', '/m/07wmbj', '/m/06ntj']",test,"['/m/04rky', '/m/01mtwq', '/m/09j5n', '/m/03bt1vf']"
test/5333328183_d1a4d916e5_o.jpg,"['/m/014f__', '/m/0j67plv', '/m/0k4j', '/m/083wq', '/m/012mq4', '/m/01prls', '/m/01g317', '/m/07yv9', '/m/047y65']",test,['/m/019qnn']
test/17841218011_dcc4e6133b_o.jpg,"['/m/02py09', '/m/04gvhhy', '/m/0d79jq', '/m/0284w', '/m/099fz', '/m/0194v4', '/m/026dd', '/m/025s3q0']",test,"['/m/02309j', '/m/01c7cq', '/m/04rky']"
test/8508323744_9dd06edf01_o.jpg,"['/m/0ncqpsr', '/m/0k4j', '/m/02tt7y', '/m/0h8ls87', '/m/083wq', '/m/01prls', '/m/02_kt', '/m/01lcwm', '/m/014f__', '/m/02mnkq', '/m/068mqj', '/m/012mq4']",test,['/m/045q_4']
