image_id,class_list,split,class_list_neg
test/511863435_bbe857e6f0_o.jpg,"['/m/01g317', '/m/02p0tk3', '/m/039jq', '/m/0h8ls87', '/m/0dzf4', '/m/0k65p', '/m/01lrnl', '/m/0k4j', '/m/02mnkq']",test,"['/m/0d4v4', '/m/03q69', '/m/01jfm_', '/m/05r655', '/m/0kw6d', '/m/08dz3q', '/m/083wq']"
test/3954765143_692b0ceebe_o.jpg,"['/m/0dzf4', '/m/04dr76w', '/m/03q69', '/m/0dzct', '/m/04y7xr', '/m/01pn0r', '/m/09j2d', '/m/07qn8g', '/m/0k0pj', '/m/04rky', '/m/04hgtk', '/m/02wbm', '/m/04yx4', '/m/0k65p', '/m/0283dt1', '/m/02p0tk3']",test,"['/m/03bt1vf', '/m/0krfg', '/m/05s2s', '/m/0h9mv']"
test/5072086580_9f5347676b_o.jpg,"['/m/01fklc', '/m/0drh_', '/m/0641k', '/m/02r62_b', '/m/0jjw', '/m/01mrgs', '/m/0h8l777']",test,"['/m/083wq', '/m/016q19', '/m/02rdsp', '/m/09j2d']"
test/18997333553_8b2a8a4ee2_o.jpg,"['/m/039jq', '/m/0k4j', '/m/068mqj', '/m/08dz3q', '/m/0d4v4', '/m/05j11x', '/m/0h8ls87', '/m/02l215', '/m/01lcwm', '/m/01lrnl']",test,"['/m/083wq', '/m/0kw6d', '/m/0h9mv']"
test/4645941358_325bd5b4da_o.jpg,"['/m/02qz80', '/m/033rv2', '/m/02rdsp', '/m/025dyy', '/m/03q7pgh']",test,"['/m/0c_jw', '/m/019sc6', '/m/083vt', '/m/0gjbg72']"
test/1156497705_95d92c5b30_o.jpg,"['/m/039jq', '/m/04k84', '/m/0768fx', '/m/04d01f', '/m/08dz3q']",test,"['/m/09j2d', '/m/01prls', '/m/01x3z', '/m/0k4j', '/m/0h8ls87', '/m/0263qm', '/m/02mnkq', '/m/019sc6']"
test/2271880066_5eda955593_o.jpg,"['/m/04dr76w', '/m/06l8d', '/m/04brg2', '/m/04rky', '/m/03q69', '/m/09j2d', '/m/0cgh4', '/m/04yx4', '/m/01g317', '/m/081qc', '/m/01nz0z', '/m/04shl0', '/m/012mj']",test,"['/m/0cp_p', '/m/01599', '/m/0jffp', '/m/02fbcn', '/m/02wbm', '/m/0krfg']"
test/2192219936_f5d026ef85_o.jpg,"['/m/06y47', '/m/039jq', '/m/038hg', '/m/031n9j', '/m/0jjw']",test,"['/m/0404d', '/m/018xm', '/m/0138tl', '/m/0463sg', '/m/03c4j', '/m/015m2']"
test/20923356182_fc4dee12f1_o.jpg,"['/m/015bv3', '/m/0641k', '/m/07s6nbt', '/m/0gkxy13', '/m/02p16pn']",test,"['/m/01_v7j', '/m/09j2d', '/m/04brg2', '/m/050gv4', '/m/01cd9', '/m/0frqm', '/m/0fd6q', '/m/01ysy9']"
test/3978049964_fd5e5ebedf_o.jpg,"['/m/04bwd', '/m/019sc6', '/m/0f28m', '/m/039jq', '/m/011y23', '/m/02cwm', '/m/0hwky', '/m/01vkl', '/m/0cxwt']",test,"['/m/04db_z', '/m/0d4v4']"
