image_id,class_list,split,class_list_neg
test/5861173866_d3ba12ef95_o.jpg,"['/m/0dnr7', '/m/02w3_2', '/m/062581', '/m/05sfw_', '/m/01d40f', '/m/032tl', '/m/0hgsh7k', '/m/0hwky', '/m/0hgs7v4', '/m/02c66t', '/m/01fklc', '/m/0bp_2p', '/m/03r18y']",test,"['/m/0463sg', '/m/01g317', '/m/03bt1vf', '/m/01jk5b', '/m/05r655', '/m/01pd0d', '/m/0dzd8', '/m/02p0tk3']"
test/11809202583_30b51084d1_o.jpg,"['/m/03bt1vf', '/m/062581', '/m/03r18y', '/m/088fh', '/m/01d40f', '/m/0k65p', '/m/047vlmn', '/m/01cmb2', '/m/0dnr7']",test,"['/m/02sb4j', '/m/08y7p8', '/m/031vtq', '/m/02w3_2', '/m/0463sg', '/m/0bp_2p', '/m/0dzd8', '/m/02p0tk3', '/m/01bfm9', '/m/09j5n']"
test/13969326482_2bcaf5bc92_o.jpg,"['/m/01xyhv', '/m/01d40f', '/m/04xz_5', '/m/0280yrc', '/m/062581', '/m/01s_bn', '/m/02w3_2', '/m/091410', '/m/01rkbr', '/m/047vlmn', '/m/01xygc']",test,"['/m/02m57w', '/m/04yx4', '/m/01g317', '/m/0ds4250', '/m/07mhn', '/m/032b3c']"
test/8515918749_4b8602051d_o.jpg,"['/m/047vlmn', '/m/02cwm', '/m/01d40f', '/m/02_8m1', '/m/01xygc', '/m/062581', '/m/0dzct', '/m/0ds4x', '/m/03bt1vf', '/m/0463sg', '/m/03q69', '/m/02p0tk3', '/m/02qqd4n', '/m/05r655', '/m/08y7p8', '/m/0hwky', '/m/02pdvpt', '/m/032tl', '/m/02wv6h6', '/m/02qbl1m', '/m/0dnr7']",test,"['/m/03bxt6z', '/m/09j5n']"
test/5650586536_42a46a2a53_o.jpg,"['/m/01n4qj', '/m/01xyhv', '/m/0280yrc', '/m/04yx4', '/m/0463sg', '/m/0k0pj', '/m/01xygc', '/m/04hgtk', '/m/02p0tk3', '/m/0dzct', '/m/01d40f', '/m/02w3_2', '/m/0dzf4', '/m/03q69']",test,"['/m/0ds4250', '/m/032b3c', '/m/02h19r', '/m/01bl7v', '/m/0jyfg', '/m/01rkbr', '/m/02m57w', '/m/03bt1vf', '/m/07mhn', '/m/0283dt1']"
test/7427869802_c2fb122899_o.jpg,"['/m/08y7p8', '/m/02qbl1m', '/m/05r655', '/m/01d40f', '/m/03q69', '/m/031vtq', '/m/0283dt1', '/m/0dzct', '/m/0dzf4', '/m/0k0pj', '/m/062581', '/m/0dzd8', '/m/03bt1vf', '/m/01cmb2', '/m/04hgtk', '/m/032tl', '/m/014sv8', '/m/035r7c', '/m/0hwky', '/m/02p0tk3']",test,"['/m/0463sg', '/m/01bfm9', '/m/09j5n', '/m/01fklc', '/m/09q2t']"
test/2959669655_08876d64c0_o.jpg,"['/m/0hwky', '/m/03scnj', '/m/09j2d', '/m/062581', '/m/01kr8f', '/m/013s93']",test,"['/m/05s2s', '/m/03gq5hm', '/m/04hgtk', '/m/01cd9', '/m/0jbk', '/m/04rky', '/m/06n05', '/m/07j7r']"
test/330171029_e23dc2d0a1_o.jpg,"['/m/03bt1vf', '/m/09j2d', '/m/014sv8', '/m/0k65p', '/m/09kxp', '/m/01yh65', '/m/021_yc', '/m/047vlmn', '/m/0dzd8', '/m/047fr', '/m/0dzct', '/m/01443y', '/m/04hgtk', '/m/0k0pj', '/m/05r655', '/m/062581', '/m/0283dt1', '/m/0jjw']",test,"['/m/02d46y', '/m/02wbtzl', '/m/02dl1y', '/m/088fh', '/m/0463sg', '/m/03q69', '/m/02h19r']"
test/2666935990_a6f5422b25_o.jpg,"['/m/062581', '/m/01b_cr', '/m/04mkbj', '/m/0jjw', '/m/09ggk', '/m/01d40f', '/m/0ckc5', '/m/0dnr7']",test,"['/m/02cwm', '/m/01fklc', '/m/03q69', '/m/04hgtk', '/m/01g317', '/m/0k0pj', '/m/02sb4j', '/m/0bp_2p']"
test/4119960379_f81594d057_o.jpg,"['/m/01d40f', '/m/05r655', '/m/06fvc', '/m/03q69', '/m/04mkbj', '/m/0hwky', '/m/02w3_2', '/m/0dnr7', '/m/0dzd8', '/m/02qbl1m', '/m/03bt1vf', '/m/0bp_2p', '/m/02qqd4n', '/m/02p0tk3', '/m/062581', '/m/032tl']",test,"['/m/02c66t', '/m/05sfw_', '/m/0hgs7v4', '/m/02xhmrh', '/m/0ckc5', '/m/01jk5b']"
test/4719016427_bf0729bbdc_o.jpg,"['/m/0dzct', '/m/04hgtk', '/m/0k0pj', '/m/012t_z', '/m/014sv8', '/m/01xyhv', '/m/04yx4', '/m/02p0tk3', '/m/03q69', '/m/01kq3x', '/m/01n4qj']",test,"['/m/0fly7', '/m/01rkbr', '/m/04rky', '/m/01xr66', '/m/0k65p', '/m/02079p', '/m/0dzf4', '/m/07mhn', '/m/03bt1vf']"
test/10382700334_4a8eea9335_o.jpg,"['/m/01n4qj', '/m/01kq3x', '/m/02p0tk3', '/m/01xyhv', '/m/02w3_2', '/m/01rkbr', '/m/04yx4', '/m/04rky', '/m/012t_z', '/m/03q69']",test,['/m/0k65p']
test/3575982611_785ba956f9_o.jpg,"['/m/047vlmn', '/m/01g5v', '/m/04f62z', '/m/0jjw', '/m/0dnr7', '/m/01d40f', '/m/0hwky', '/m/02cwm', '/m/062581']",test,"['/m/09ggk', '/m/0hgrh95', '/m/01g317', '/m/03bt1vf', '/m/02p0tk3', '/m/0250x', '/m/03xr7y', '/m/0bp_2p', '/m/04ffcj']"
test/19904004515_0842da3a42_o.jpg,"['/m/08790l', '/m/0cgh4', '/m/01n4qj', '/m/06ht1', '/m/02vkqh8', '/m/0c_jw', '/m/0d4w1', '/m/0hhdb']",test,"['/m/0191_7', '/m/02p0tk3', '/m/03bt1vf', '/m/07mhn', '/m/01g317', '/m/01d40f', '/m/035r7c', '/m/09j5n']"
test/16666343133_7e92e5a1df_o.jpg,"['/m/0h8k3ng', '/m/0dzf4', '/m/047vlmn', '/m/04f62z', '/m/05bhnr', '/m/062581', '/m/02vwbzz', '/m/0fly7', '/m/032b3c', '/m/01g317', '/m/02h9bf', '/m/02p0tk3']",test,"['/m/09j5n', '/m/01bl7v']"
test/6564394701_bb75372684_o.jpg,"['/m/013s93', '/m/0h8q07j', '/m/01fklc', '/m/0jjw', '/m/09j2d']",test,"['/m/01g317', '/m/04rky', '/m/0dzct', '/m/03q69', '/m/04hgtk', '/m/02p0tk3']"
test/14115391676_719f447f26_o.jpg,"['/m/02p0tk3', '/m/047vlmn', '/m/01g317', '/m/01d40f', '/m/0jjw', '/m/062581', '/m/01b_l2', '/m/0hwky', '/m/0dzf4', '/m/01llwg']",test,"['/m/091410', '/m/03q69', '/m/019b80', '/m/0230w', '/m/0dzd8', '/m/032b3c']"
test/316293345_7119aaf05a_o.jpg,"['/m/0jjw', '/m/088fh', '/m/0dnr7', '/m/062581', '/m/0hwky', '/m/013s93']",test,"['/m/01fklc', '/m/0h8q07j', '/m/0k0pj', '/m/09j5n', '/m/02p0tk3', '/m/03q69', '/m/04rky', '/m/0dzct', '/m/04hgtk']"
test/5480654978_fcc6fc07c2_o.jpg,"['/m/0dnr7', '/m/09ggk', '/m/01g5v', '/m/01n4qj']",test,"['/m/02cwm', '/m/0463sg', '/m/01d40f', '/m/047vlmn', '/m/01rkbr']"
test/4371219726_4e36d27ac4_o.jpg,"['/m/0dnr7', '/m/032b3c', '/m/047vlmn', '/m/062581']",test,"['/m/09j5n', '/m/04lbp', '/m/04rky', '/m/07mhn', '/m/01g317', '/m/04xz_5']"
test/5200925230_3b5fa8d512_o.jpg,"['/m/05zppz', '/m/02w3_2', '/m/03bt1vf', '/m/0ds4250', '/m/01xyhv', '/m/09j5n', '/m/0k4j', '/m/03q69', '/m/01n4qj', '/m/07mhn', '/m/0ltfs', '/m/019p5q', '/m/04yx4', '/m/0bp_2p', '/m/01d40f', '/m/0280yrc', '/m/01xygc']",test,"['/m/01bl7v', '/m/02m57w', '/m/032b3c', '/m/0463sg', '/m/016c4t']"
test/17702638478_452e1f3a6a_o.jpg,"['/m/01rkbr', '/m/01g5v', '/m/019sc', '/m/02p0tk3', '/m/09j2d', '/m/01n4qj']",test,"['/m/01cd9', '/m/02cwm', '/m/09j5n', '/m/035r7c', '/m/0dzf4', '/m/0k65p']"
