image_id,class_list,split,class_list_neg
test/11005563544_52d8d69434_o.jpg,"['/m/0dzf4', '/m/01d40f', '/m/0dzd8', '/m/02qbl1m', '/m/01n4qj', '/m/047vlmn', '/m/03q69', '/m/04hgtk', '/m/04yx4', '/m/062581', '/m/01gl_m', '/m/02p0tk3', '/m/01bl7v']",test,"['/m/01xyhv', '/m/01rkbr', '/m/03bt1vf', '/m/02w3_2', '/m/0c_jw', '/m/0138tl', '/m/0bp_2p', '/m/08y7p8']"
test/5307142655_bd88bd8dd4_o.jpg,"['/m/0283dt1', '/m/04rky', '/m/0k0pj', '/m/04hgtk', '/m/04yx4', '/m/014sv8', '/m/02p0tk3', '/m/03q69', '/m/0dzf4', '/m/0dzct', '/m/01n4qj', '/m/04n7gmg', '/m/0jyfg']",test,"['/m/03c866', '/m/03bt1vf', '/m/027v9wk']"
test/9240487084_416ff0e224_o.jpg,"['/m/03q69', '/m/04hgtk', '/m/09ggk', '/m/09j2d', '/m/02p0tk3', '/m/0hwky', '/m/0ckc5', '/m/0463sg', '/m/0k0pj', '/m/01n4qj', '/m/0dzf4', '/m/01fklc', '/m/0dzct', '/m/04yx4']",test,"['/m/0ds4x', '/m/0294jb', '/m/02wbtzl', '/m/01bl7v', '/m/02dl1y', '/m/0hzy2', '/m/02d46y', '/m/05r655', '/m/03bt1vf', '/m/0283dt1', '/m/047vlmn']"
test/12745470475_79eddd6666_o.jpg,"['/m/01kq3x', '/m/01xyhv', '/m/012t_z', '/m/04hgtk', '/m/01n4qj', '/m/0dzct', '/m/03q69', '/m/02p0tk3', '/m/04yx4', '/m/04rky']",test,"['/m/0463sg', '/m/0k65p', '/m/02079p', '/m/01xr66', '/m/01rkbr']"
test/6100474761_b122e878ce_o.jpg,"['/m/091410', '/m/0463sg', '/m/04mkbj', '/m/025rhd', '/m/02w3_2', '/m/01rkbr', '/m/0dnr7', '/m/06hwcd', '/m/01n4qj', '/m/0hwky', '/m/062581']",test,"['/m/0c02w2', '/m/0280yrc', '/m/047vlmn', '/m/07mhn', '/m/032b3c', '/m/04xz_5', '/m/01xyhv', '/m/04lbp']"
test/6228590820_87f4e739a5_o.jpg,"['/m/03q69', '/m/01d40f', '/m/062581', '/m/06g1w2', '/m/0463sg', '/m/03bt1vf', '/m/05r655', '/m/09j5n', '/m/05sfw_', '/m/02p0tk3', '/m/0dzf4', '/m/035r7c', '/m/032tl', '/m/02qqd4n']",test,"['/m/01pd0d', '/m/04yx4', '/m/0hgs7v4', '/m/0bp_2p', '/m/02c66t']"
test/4652152571_ddb64b09cf_o.jpg,"['/m/06fvc', '/m/02xhmrh', '/m/0hwky', '/m/062581', '/m/047vlmn', '/m/0dnr7', '/m/05s2s', '/m/04mkbj', '/m/01d40f']",test,"['/m/02p0tk3', '/m/05sfw_', '/m/02w3_2', '/m/03r18y', '/m/0jc_p', '/m/02sb4j', '/m/01fklc', '/m/03bt1vf', '/m/01g317']"
test/9596834614_cac21b8b01_o.jpg,"['/m/032b3c', '/m/047vlmn', '/m/0h8k3ng', '/m/062581', '/m/02h9bf', '/m/05bhnr']",test,"['/m/09j5n', '/m/01bl7v', '/m/0463sg']"
test/10382700334_4a8eea9335_o.jpg,"['/m/01n4qj', '/m/01kq3x', '/m/02p0tk3', '/m/01xyhv', '/m/02w3_2', '/m/01rkbr', '/m/04yx4', '/m/04rky', '/m/012t_z', '/m/03q69']",test,['/m/0k65p']
test/6849478751_05f7eb0848_o.jpg,"['/m/0463sg', '/m/062581', '/m/027kkg3', '/m/02p0tk3', '/m/0250x', '/m/01d40f', '/m/091410', '/m/05r655']",test,['/m/03bt1vf']
