,class_name,wl
0,Birds eye chili,wl1
1,Birds-eye view,wl1
2,Black-eyed susan,wl1
3,Common Buckeye,wl1
4,Eye liner,wl1
5,Eye shadow,wl1
6,Eyebrow,wl1
7,Eyelash extensions,wl1
8,Eyelash,wl1
9,Eyewear,wl1
10,Fisheye lens,wl1
11,Goldeneye,wl1
12,Human eye,wl1
13,Iris (Eye),wl1
14,Meyer lemon,wl1
15,Oxeye daisy,wl1
16,Red eye,wl1
17,Red-eye effect,wl1
18,Red-eyed tree frog,wl1
19,Rib eye steak,wl1
20,Landmark,wl2
21,National historic landmark,wl2
22,Bronze sculpture,wl2
23,Classical sculpture,wl2
24,Sculpture,wl2
25,Monument,wl2
26,National monument,wl2
27,Statue,wl2
28,Fountain pen,wl2
29,Fountain,wl2
30,Ancient history,wl2
31,Tourist attraction,wl2
32,Memorial day,wl2
33,Memorial,wl2
34,Stone carving,wl2
35,Bedrock,wl2
36,Crock,wl2
37,Frock coat,wl2
38,Igneous rock,wl2
39,Oysters rockefeller,wl2
40,Rock climbing,wl2
41,Rock concert,wl2
42,Rock crab,wl2
43,Rock dove,wl2
44,Rock fishing,wl2
45,Rock pocket mouse,wl2
46,Rock,wl2
47,Rock-climbing equipment,wl2
48,Rocker cover,wl2
49,Rocker,wl2
50,Rocket,wl2
51,Rocket-powered aircraft,wl2
52,Rockfall,wl2
53,Rocking chair,wl2
54,Rocky mountain oysters,wl2
55,Shamrock,wl2
56,Volcanic rock,wl2
57,Bodybuilding,wl2
58,Building insulation,wl2
59,Building material,wl2
60,Building sand castles,wl2
61,Building,wl2
62,Commercial building,wl2
63,Deck (Building),wl2
64,Garden buildings,wl2
65,Nonbuilding structure,wl2
66,Office building,wl2
67,Theatre (Building),wl2
68,Estate,wl2
69,Real estate,wl2
70,Mansion,wl2
71,Fortification,wl2
72,Building sand castles,wl2
73,Castle,wl2
74,Newcastle brown ale,wl2
75,Water castle,wl2
76,Bell tower,wl2
77,Clock tower,wl2
78,Control tower,wl2
79,Cooling tower,wl2
80,Observation tower,wl2
81,Shot tower,wl2
82,Tower block,wl2
83,Tower,wl2
84,Transmission tower,wl2
85,Water tower,wl2
