,class_name,wl
0,Noodle,wl1
1,Pasta,wl1
2,Al dente,wl1
3,Sliced bread,wl1
4,Whole wheat bread,wl1
5,White bread,wl1
6,Bread,wl1
7,Bun (Food),wl1
9,Stringozzi,wl1
10,Hamburger,wl1
11,Meat,wl2
12,Patty,wl2
13,Seed,wl2
14,Walnut,wl2
16,Ventricina,wl2
17,Produce,wl3
18,Leaf vegetable,wl3
19,Vegetable,wl3
20,Root vegetable,wl3
21,Artichoke,wl3
22,Broccoli,wl3
24,Carrot,wl3
25,Bean,wl3
27,Salad,wl3
28,Fruit,wl3
30,Apple,wl3
32,Orange,wl3
34,Salad,wl3
35,Milk,wl2
37,Chocolate milk,wl2
38,Yogurt,wl2
39,Butter,wl2
40,Ice cream,wl2
41,Cheese,wl2
42,French fries,wl1
43,Junk food,wl1
44,Fried food,wl1
45,Bell pepper,wl3
46,Pizza,wl1
47,Almond milk,wl2
48,Coffee,wl2
49,Cookie,wl1
50,Biscuit,wl1
51,Cake,wl1
