,class_name,wl
1,Hurricane,wl1
2,Flood,wl1
3,Tornado,wl1
4,Landslide,wl1
5,Earthquake,wl1
6,Volcano,wl1
7,Disaster,wl1
0,Bonfire,wl1
1,Campfire,wl1
2,Fire apparatus,wl1
3,Fire cherry,wl1
4,Fire department,wl1
5,Fire extinguisher,wl1
6,Fire hydrant,wl1
7,Fire marshal,wl1
8,Fire salamander,wl1
9,Fire screen,wl1
10,Fire station,wl1
11,Fire troupe,wl1
12,Fire,wl1
13,Firearm,wl1
14,Firefighter,wl1
15,Fireman,wl1
16,Fireplace,wl1
17,Fireworks,wl1
18,Pontiac firebird,wl1
19,Prairie fire,wl1
20,Supermarine spitfire,wl1
21,Wildfire,wl1
