,class_name,wl
0,Dessert,wl1
1,Roasting,wl1
2,Cheese,wl1
3,Flatbread,wl1
4,Pie,wl1
5,Dog,wl1
6,Chocolate,wl1
7,Sugar,wl1
8,Hamburger,wl1
9,Cake,wl1
10,Butter,wl1
11,Nachos,wl1
12,Bacon,wl1
13,Cupcake,wl1
14,Cream,wl1
15,Candy,wl1
16,Pizza,wl1
17,Cheeseburger,wl1
18,Waffle,wl1
19,Pastry,wl1
20,Sprinkles,wl1
21,Snack,wl1
22,Pancake,wl1
23,Custard,wl1
24,Fudge,wl1
25,Loaf,wl1
26,Biscuit,wl1
27,Cracker,wl1
28,Pretzel,wl1
29,Prosciutto,wl1
30,Ham,wl1
31,Sausage,wl1
32,Patty,wl1
33,Barbecue,wl1
34,Grillades,wl1
35,Grilling,wl2
36,Naporitan,wl2
37,Bucatini,wl2
38,Sandwich,wl2
39,Taco,wl2
40,Burrito,wl2
41,Vermicelli,wl2
42,Noodle,wl2
43,Toast,wl2
44,Wrap,wl2
45,Steak,wl2
46,Beef,wl2
47,Ribs,wl2
48,Pork,wl2
49,Pasta,wl2
50,Macaroni,wl2
51,Spaghetti,wl2
52,Penne,wl2
53,Bread,wl2
54,Meatball,wl2
55,Brisket,wl2
56,Soup,wl2
57,Strawberries,wl3
58,Superfood,wl3
59,Lettuce,wl3
60,Homarus,wl3
61,Peach,wl3
62,Rotisserie,wl3
63,Fattoush,wl3
64,Leaf,wl3
65,Fish,wl3
66,Kiwifruit,wl3
67,Pomegranate,wl3
68,Spinach,wl3
69,Broccoli,wl3
70,Clam,wl3
71,Oyster,wl3
72,Grapefruit,wl3
73,Lemon,wl3
74,Lemon,wl3
75,Crab,wl3
76,Raspberry,wl3
77,Strawberry,wl3
78,Radish,wl3
79,Cabbage,wl3
80,Turnip,wl3
81,Agaric,wl3
82,Mushroom,wl3
83,Potato,wl3
84,Juice,wl3
85,Arugula,wl3
86,Lobster,wl3
87,Avocado,wl3
88,Cherry,wl3
89,Shrimp,wl3
90,Carrot,wl3
91,Pomelo,wl3
92,Citrus,wl3
93,Cauliflower,wl3
94,Sushi,wl3
95,Watermelon,wl3
96,Seafood,wl3
97,Vegetable,wl3
98,Apple,wl3
99,Orange,wl3
100,Fruit,wl3
101,Salad,wl3
102,Banana,wl3
103,Mango,wl3
104,Olive,wl3
105,Pear,wl3
106,Coconut,wl3
107,Pineapple,wl3
108,Cucumber,wl3
109,Cucumber,wl3
110,Tomato,wl3
111,Cigarette,wl4
112,Alcohol,wl4
113,Beer,wl4
114,Wine,wl4
117,Exercise,wl5
118,Sports,wl5
119,Gym,wl5
120,Training,wl5
121,Dumbbell,wl5
122,Barbell,wl5
