,class_name,wl
0,Cabinet hardware,wl1
1,Computer hardware,wl1
2,Hardware accessory,wl1
3,Hardware programmer,wl1
4,Hardware,wl1
5,Household hardware,wl1
6,Personal computer hardware,wl1
7,Handheld power drill,wl1
8,Electronics accessory,wl1
9,Electronics,wl1
10,Marine electronics,wl1
11,Optoelectronics,wl1
12,Drill (Animal),wl1
13,Drill (Tool),wl1
14,Drilling rig,wl1
15,Drilling,wl1
16,Espadrille,wl1
17,Hammer drill,wl1
18,Handheld power drill,wl1
19,Offshore drilling,wl1
20,Pneumatic drill,wl1
