,class_name,wl
0,Long-sleeved t-shirt,wl1
1,T-shirt,wl1
2,Active shirt,wl1
3,Dress shirt,wl1
4,Long-sleeved t-shirt,wl1
5,Polo shirt,wl1
6,Rugby shirt,wl1
7,Shirt,wl1
8,Sleeveless shirt,wl1
9,Sweatshirt,wl1
10,T-shirt,wl1
11,Undershirt,wl1
12,Coffee cup sleeve,wl1
13,Long-sleeved t-shirt,wl1
14,Sleeve,wl1
15,Sleeveless shirt,wl1
16,Outerwear,wl2
17,Jacket,wl2
18,Leather jacket,wl2
19,Lifejacket,wl2
20,Sweater,wl2
21,Active pants,wl3
22,Cargo pants,wl3
23,Hockey pants,wl3
24,Khaki pants,wl3
25,Pantsuit,wl3
26,Rain pants,wl3
27,Underpants,wl3
28,College baseball,wl3
29,College ice hockey,wl3
30,College softball,wl3
31,College town,wl3
32,College,wl3
33,Collegiate wrestling,wl3
34,Greater yellowlegs,wl3
35,Human leg,wl3
36,Leggings,wl3
37,Lego,wl3
38,Legume,wl3
39,Lesser Yellowlegs,wl3
40,Suit trousers,wl3
41,Trousers,wl3
42,Bed skirt,wl3
43,Dance skirt,wl3
44,Hoopskirt,wl3
45,Miniskirt,wl3
46,Overskirt,wl3
47,Pencil skirt,wl3
48,Skirt,wl3
49,Tennis skirt,wl3
50,Active shorts,wl3
51,American shorthair,wl3
52,Bermuda shorts,wl3
53,Board short,wl3
54,Cycling shorts,wl3
55,Domestic short-haired cat,wl3
56,European shorthair,wl3
57,Exotic shorthair,wl3
58,German shorthaired pointer,wl3
59,Jean short,wl3
60,Rugby short,wl3
62,Short track motor racing,wl3
63,Short-beaked common dolphin,wl3
64,Shortbread,wl3
65,Shortening,wl3
66,Shortleaf black spruce,wl3
67,Shortleaf pine,wl3
68,Shorts,wl3
69,Carpenter jeans,wl3
70,Jeans,wl3
71,Suit trousers,wl3
72,Trousers,wl3
73,Footwear,wl4
74,Athletic shoe,wl4
75,Baby & toddler shoe,wl4
76,Ballet shoe,wl4
77,Basketball shoe,wl4
78,Bicycle shoe,wl4
79,Bowling shoe,wl4
80,Bridal shoe,wl4
81,Climbing shoe,wl4
82,Court shoe,wl4
83,Cross training shoe,wl4
84,Cycling shoe,wl4
85,Dancing shoe,wl4
86,Dress shoe,wl4
87,Hiking shoe,wl4
88,Outdoor shoe,wl4
89,Oxford shoe,wl4
90,Plimsoll shoe,wl4
91,Pointe shoe,wl4
92,Running shoe,wl4
93,Shoe organizer,wl4
94,Shoe store,wl4
95,Shoe,wl4
96,Skate shoe,wl4
97,Slip-on shoe,wl4
98,Snowshoe hare,wl4
99,Snowshoe,wl4
100,Tennis shoe,wl4
101,Walking shoe,wl4
102,Water shoe,wl4
103,Wrestling shoe,wl4
104,Splint boots,wl4
105,Work boots,wl4
106,High heels,wl4
107,Training wheels,wl4
