,class_name,wl
0,common bean,wl0
1,active shirt,wl1
2,cake,wl2
3,cargo pants,wl3
4,naan,wl4
5,display advertising,wl5
6,pumpkin bread,wl6
7,whole wheat bread,wl7
8,shortening,wl8
9,lemon chicken,wl9
10,stringozzi,wl10
11,hardware programmer,wl11
12,nail (body part),wl12
13,wrestling shoe,wl13
14,military officer,wl14
15,chocolate milk,wl15
16,dollar,wl16
17,miniskirt,wl17
18,wine glass,wl18
19,painting,wl19
20,bucatini,wl20
21,domestic short-haired cat,wl21
22,jeans,wl22
23,beer,wl23
24,ham,wl24
25,van,wl25
26,memorial,wl26
27,denim,wl27
28,sleeveless shirt,wl28
29,suit trousers,wl29
30,vermicelli,wl30
31,banner,wl31
32,mineral water,wl32
33,hardware,wl33
34,breadstick,wl34
35,sleeve,wl35
36,human leg,wl36
37,espadrille,wl37
38,banana family,wl38
39,coffee cup sleeve,wl39
40,castle,wl40
41,active pants,wl41
42,overskirt,wl42
43,skittles (sport),wl43
44,battery,wl44
45,personal computer hardware,wl45
46,drilling,wl46
47,patty,wl47
48,box lacrosse,wl48
49,shot glass,wl49
50,hot dry noodles,wl50
51,dress shirt,wl51
52,waste,wl52
53,outdoor shoe,wl53
54,skate shoe,wl54
55,bottled water,wl55
56,sweet lemon,wl56
57,sketch,wl57
58,bedtime,wl58
59,apple,wl59
60,hoopskirt,wl60
61,slip-on shoe,wl61
62,fried noodles,wl62
63,soup beans,wl63
64,video,wl64
65,meyer lemon,wl65
66,television program,wl66
67,rice noodle roll,wl67
68,greater yellowlegs,wl68
69,academic certificate,wl69
70,old fashioned glass,wl70
71,apple cider,wl71
72,loaf,wl72
73,document,wl73
74,paper,wl74
75,banana,wl75
76,biscuit,wl76
77,recipe,wl77
78,cheese,wl78
79,cookie,wl79
80,paper bag,wl80
81,electronics accessory,wl81
82,bottle,wl82
83,cornbread,wl83
84,menu,wl84
85,pastry,wl85
86,hardware accessory,wl86
87,bulletin board,wl87
88,tin,wl88
89,magnifying glass,wl89
90,hot dog,wl90
91,carrot,wl91
92,twist,wl92
93,short track motor racing,wl93
94,college town,wl94
95,fortification,wl95
96,beef noodle soup,wl96
97,bean bag,wl97
98,rotisserie,wl98
99,garbage truck,wl99
100,crisp bread,wl100
101,product,wl101
102,houseplant,wl102
103,brisket,wl103
104,cosmetics,wl104
105,banana leaf,wl105
106,spiral,wl106
107,electricity,wl107
108,taiwanese opera,wl108
109,french fries,wl109
110,disco,wl110
111,pencil skirt,wl111
112,magazine,wl112
113,beverage can,wl113
114,broccoli,wl114
115,mariachi,wl115
116,alcohol,wl116
117,tobacco,wl117
118,liquid,wl118
119,bun (food),wl119
120,bread pudding,wl120
121,fruit,wl121
122,meatball,wl122
123,origami,wl123
124,snack,wl124
125,sweatshirt,wl125
126,walking shoe,wl126
127,noodle soup,wl127
128,letter,wl128
129,miniature golf,wl129
130,beef,wl130
131,food storage containers,wl131
132,dress shoe,wl132
133,bowling shoe,wl133
134,shorts,wl134
135,goal,wl135
136,drawing,wl136
137,box,wl137
138,condominium,wl138
139,soybean,wl139
140,rugby shirt,wl140
141,movie,wl141
142,running shoe,wl142
143,coca-cola,wl143
144,banana leaf rice,wl144
145,lane,wl145
146,landmark,wl146
147,orange,wl147
148,pasta,wl148
149,work boots,wl149
150,spoonbread,wl150
151,cigarette,wl151
152,hockey pants,wl152
153,sign,wl153
154,hockey,wl154
155,bell pepper,wl155
156,cabinet hardware,wl156
157,autograph,wl157
158,lacrosse,wl158
159,carton,wl159
160,majorelle blue,wl160
161,climbing shoe,wl161
162,pub,wl162
163,hard dough bread,wl163
164,cupcake,wl164
165,shortleaf black spruce,wl165
166,almond milk,wl166
167,flamenco,wl167
168,lifejacket,wl168
169,drinking,wl169
170,kitchen appliance,wl170
171,pretzel,wl171
172,room,wl172
173,souvenir,wl173
174,wine,wl174
175,deep frying,wl175
176,livestock,wl176
177,beanie,wl177
178,truck,wl178
179,technical drawing,wl179
180,handheld power drill,wl180
181,anime,wl181
182,black beans,wl182
183,sliced bread,wl183
184,motif,wl184
185,gym,wl185
186,bread pan,wl186
187,boat,wl187
188,cellophane noodles,wl188
189,paper product,wl189
190,glasses,wl190
191,caribbean,wl191
192,currency,wl192
193,shirataki noodles,wl193
194,exotic shorthair,wl194
195,clothing,wl195
196,coffee,wl196
197,container,wl197
198,lemon liqueur,wl198
199,seed,wl199
200,splint boots,wl200
201,wonton noodles,wl201
202,navy beans,wl202
203,schnoodle,wl203
204,mansion,wl204
205,software,wl205
206,picture frame,wl206
207,sausage,wl207
208,salad,wl208
209,fruit snack,wl209
210,snowshoe hare,wl210
211,water shoe,wl211
212,rice noodles,wl212
213,hiking shoe,wl213
214,black-and-white,wl214
215,unleavened bread,wl215
216,naporitan,wl216
217,monument,wl217
218,bread,wl218
219,broad bean,wl219
220,highball glass,wl220
221,fizzy apple cocktail,wl221
222,text,wl222
223,color,wl223
224,aviator sunglass,wl224
225,streetball,wl225
226,highway,wl226
227,pear,wl227
228,statue,wl228
229,pizza,wl229
230,green,wl230
231,cart noodle,wl231
232,banana bread,wl232
233,saba banana,wl233
234,table,wl234
235,lemon,wl235
236,anniversary,wl236
237,jacket,wl237
238,fattoush,wl238
239,ice cream,wl239
240,skirt,wl240
241,prosciutto,wl241
242,stained glass,wl242
243,cycling shoe,wl243
244,classroom,wl244
245,beige,wl245
246,electronics,wl246
247,basketball shoe,wl247
248,sushi,wl248
249,carpenter jeans,wl249
250,pinto beans,wl250
251,coupe utility,wl251
252,undershirt,wl252
253,dessert,wl253
254,soft drink,wl254
255,tennis shoe,wl255
256,mini suv,wl256
257,ricebean,wl257
258,bed skirt,wl258
259,jazz,wl259
260,font,wl260
261,sedan,wl261
262,leaf vegetable,wl262
263,ventricina,wl263
264,home appliance,wl264
265,golf,wl265
266,pollution,wl266
267,college baseball,wl267
268,plimsoll shoe,wl268
269,mango,wl269
270,kidney beans,wl270
271,bumper sticker,wl271
272,penne,wl272
273,snowshoe,wl273
274,weapon,wl274
275,shoe,wl275
276,bicycle,wl276
277,food grain,wl277
278,clam,wl278
279,novel,wl279
280,potato pancake,wl280
281,bush bread,wl281
282,candy,wl282
283,injury,wl283
284,meat,wl284
285,media player,wl285
286,burrito,wl286
287,training wheels,wl287
