,class_name,wl
0,Paper bag,wl1
1,Paper product,wl1
2,Paper towel,wl1
3,Paper,wl1
4,Glass,wl1
5,Carton,wl1
6,Cardboard,wl1
7,Tin can,wl1
8,Tin,wl1
9,Metal,wl1
10,Plastic arts,wl1
11,Plastic bag,wl1
12,Plastic bottle,wl1
13,Plastic wrap,wl1
14,Plastic,wl1
15,Paper,wl1
16,Bottle,wl1
17,Plastic,wl1
18,Container,wl1
19,Tin can,wl1
20,Glass,wl1
21,Cardboard,wl1
22,Soft drink,wl1
23,Coca-cola,wl1
24,Tin,wl1
25,Paper,wl1
26,Magazine,wl1
27,Carton,wl1
28,Cardboard,wl1
29,Book,wl1
30,Box,wl1
31,Letter,wl1
32,Envelope,wl1
33,Cup,wl1
34,Text,wl1
