,class_name,wl
0,crystal,wl0
1,fire screen,wl1
2,fire marshal,wl2
3,skim milk,wl3
4,measuring cup,wl4
5,medicine,wl5
6,french press,wl6
7,supermarine spitfire,wl7
8,carbonated water,wl8
9,volcano,wl9
10,pectin,wl10
11,cauldron,wl11
12,mayonnaise,wl12
13,nickel,wl13
14,moisture,wl14
15,handstand,wl15
16,bonfire,wl16
17,wine glass,wl17
18,water & ball sports,wl18
19,ice cube,wl19
20,landslide,wl20
21,mineral spring,wl21
22,fireworks,wl22
23,fire station,wl23
24,mug,wl24
25,sea cave,wl25
26,sign,wl26
27,champagne stemware,wl27
28,drinking water,wl28
29,flood,wl29
30,dentistry,wl30
31,firearm,wl31
32,gluten,wl32
33,fire troupe,wl33
34,mineral water,wl34
35,caffeine,wl35
36,pediatrics,wl36
37,medical,wl37
38,stemware,wl38
39,fire hydrant,wl39
40,disappointed,wl40
41,grandparent,wl41
42,rundown,wl42
43,beer stein,wl43
44,fire,wl44
45,wildfire,wl45
46,flame,wl46
47,bored,wl47
48,shadow,wl48
49,hemp,wl49
50,aioli,wl50
51,pontiac firebird,wl51
52,climbing harness,wl52
53,natural rubber,wl53
54,fire extinguisher,wl54
55,chalice,wl55
56,marination,wl56
57,jug,wl57
58,fire department,wl58
59,firefighter,wl59
60,corn starch,wl60
61,fire apparatus,wl61
62,vase,wl62
63,wine bottle,wl63
64,sitting,wl64
65,shot glass,wl65
66,earthquake,wl66
67,cave,wl67
68,prairie fire,wl68
69,tar,wl69
70,bottled water,wl70
71,seep,wl71
72,tooth bleaching,wl72
73,explosion,wl73
74,tumbler,wl74
75,sparkler,wl75
76,salt and pepper shakers,wl76
77,disaster,wl77
78,milk,wl78
79,drinkware,wl79
80,seat belt,wl80
81,emergency,wl81
82,batter,wl82
83,freezing,wl83
84,old fashioned glass,wl84
85,reflection,wl85
86,snifter,wl86
87,cotton,wl87
88,health & beauty,wl88
89,comfort,wl89
90,cup (measurement),wl90
91,icicle,wl91
92,iron (material),wl92
93,two-liter bottle,wl93
94,diamond,wl94
95,pit cave,wl95
96,coffee percolator,wl96
97,fire cherry,wl97
98,highball glass,wl98
99,flavor,wl99
100,baby bottle,wl100
101,beer bottle,wl101
102,intrusion,wl102
103,pint glass,wl103
104,bottle,wl104
105,dust,wl105
106,ophthalmology,wl106
107,coffee cup,wl107
108,ice cave,wl108
109,iceberg,wl109
110,capsicum,wl110
111,glacier cave,wl111
112,latex,wl112
113,raw milk,wl113
114,human positions,wl114
115,campfire,wl115
116,peace,wl116
117,fireman,wl117
118,cosmetic dentistry,wl118
119,asymmetric cut,wl119
120,acrylic paint,wl120
121,laboratory flask,wl121
122,standing,wl122
123,hurricane,wl123
124,cup,wl124
125,bathroom sink,wl125
126,beverage can,wl126
127,nursing,wl127
128,tornado,wl128
129,citric acid,wl129
130,plastic bottle,wl130
131,teacup,wl131
132,cleanliness,wl132
133,ice,wl133
134,steam,wl134
135,wool,wl135
136,fire salamander,wl136
137,outer space,wl137
138,fireplace,wl138
139,beer glass,wl139
140,martini glass,wl140
141,graduation,wl141
142,lava cave,wl142
143,teapot,wl143
144,hitting a ball,wl144
