,class_name,wl
0,fossil,wl0
1,oxbow lake,wl1
2,computer networking,wl2
3,military,wl3
4,spruce-fir forest,wl4
5,prairie,wl5
6,drawing,wl6
7,old-growth forest,wl7
8,bicycle,wl8
9,extinct volcano,wl9
10,spider monkey,wl10
11,cinder cone,wl11
12,people,wl12
13,astronomical object,wl13
14,choir,wl14
15,volcanic field,wl15
16,shoal,wl16
17,human foot,wl17
18,ice cap,wl18
19,maritime pilot,wl19
20,sign,wl20
21,van,wl21
22,marine biology,wl22
23,maypole,wl23
24,soda straw,wl24
25,grassland,wl25
26,tarn,wl26
27,traffic sign,wl27
28,scar,wl28
29,wildlife,wl29
30,inflatable,wl30
31,temperate broadleaf and mixed forest,wl31
32,art,wl32
33,thigh,wl33
34,sign language,wl34
35,blowhole,wl35
36,old world monkey,wl36
37,film crew,wl37
38,sailing (sport),wl38
39,orchids of the philippines,wl39
40,skeleton,wl40
41,snout,wl41
42,telecommunications engineering,wl42
43,comb (bird),wl43
44,mythology,wl44
45,wildlife biologist,wl45
46,fissure vent,wl46
47,human leg,wl47
48,family,wl48
49,knee,wl49
50,project,wl50
51,truck,wl51
52,street sign,wl52
53,staff,wl53
54,hippie,wl54
55,holding hands,wl55
56,vendor,wl56
57,sign,wl57
58,swat,wl58
59,stone carving,wl59
60,honeycomb,wl60
61,parliament,wl61
62,gardening,wl62
63,v sign,wl63
64,pebble,wl64
65,boat,wl65
66,cirque,wl66
67,sketch,wl67
68,monkey,wl68
69,person,wl69
70,stop sign,wl70
71,neon sign,wl71
72,capuchin monkey,wl72
73,address sign,wl73
74,car,wl74
75,squirrel monkey,wl75
76,nature reserve,wl76
77,new world monkey,wl77
78,garbage truck,wl78
79,golden monkey tea,wl79
80,nature,wl80
81,vehicle,wl81
82,coupe utility,wl82
83,human,wl83
84,mini suv,wl84
85,sedan,wl85
86,nature,wl86
87,car,wl87
