image_id,class_list,split,class_list_neg
test/3258474917_5894f535f4_o.jpg,"['/m/02q08p0', '/m/0284d', '/m/02vqfm', '/m/0270h', '/m/09702', '/m/06jdrl', '/m/04brg2', '/m/027hkkw', '/m/01ykh', '/m/02p5f1q', '/m/0krfg']",test,"['/m/07j7r', '/m/0296jp', '/m/05s2s', '/m/014sv8', '/m/0364jn', '/m/01g317', '/m/0hz4q', '/m/03q69', '/m/0k0pj']"
test/9663302639_4fe1e261bb_o.jpg,"['/m/0hr1s_w', '/m/01crps', '/m/02q08p0', '/m/01ykh', '/m/04scj', '/m/02wbm', '/m/022n8y']",test,"['/m/036qh8', '/m/01g317', '/m/05s2s', '/m/0bp3f6m']"
test/2872309446_910297a81f_o.jpg,"['/m/04bcr3', '/m/07ptj3n', '/m/02wbm', '/m/0ctfk', '/m/02p5f1q', '/m/02vqfm', '/m/03q5c7', '/m/0271t', '/m/04brg2', '/m/07clx', '/m/02fw59']",test,"['/m/014sv8', '/m/050gv4', '/m/0dzf4', '/m/0k0pj', '/m/04hgtk', '/m/03q69', '/m/0k65p', '/m/039xj_', '/m/01g317', '/m/0hg7b']"
test/10059729405_016c79908e_o.jpg,"['/m/068kk', '/m/01nkt', '/m/01sbt1', '/m/019t6d']",test,"['/m/05s2s', '/m/0270h', '/m/0djtd']"
test/158387987_090824c821_o.jpg,"['/m/083wq', '/m/04fznhq', '/m/0h8lynm', '/m/01r24t', '/m/04scj', '/m/01ykh', '/m/0983v', '/m/04bcr3', '/m/0h9mv', '/m/02q08p0', '/m/0dxlf']",test,"['/m/01g317', '/m/07yv9', '/m/01224j', '/m/0h99cwc', '/m/04rky']"
test/290237730_5da7ed0530_o.jpg,"['/m/0krfg', '/m/02q08p0', '/m/04rky', '/m/01g317', '/m/06rvrg', '/m/0c0qdr', '/m/0jbk', '/m/04scj', '/m/01ykh']",test,"['/m/02wbm', '/m/03dnzn', '/m/01pr2g']"
test/8365497782_f6e41000af_o.jpg,"['/m/0284d', '/m/02q08p0', '/m/0663v', '/m/0krfg', '/m/018dy5', '/m/068_x', '/m/09yjm8', '/m/04scj', '/m/01_bhs', '/m/052lwg6', '/m/01nkt', '/m/01ykh']",test,"['/m/09z27p', '/m/01g317', '/m/0270h', '/m/07j87']"
test/3539387406_23c84286ea_o.jpg,"['/m/04scj', '/m/02q08p0', '/m/0bp3f6m', '/m/02y6n', '/m/01ykh']",test,"['/m/01g317', '/m/05s2s', '/m/0krfg', '/m/036qh8']"
test/8072135520_15cc570661_o.jpg,"['/m/01l5h4', '/m/023kc8', '/m/02wbm', '/m/01crps', '/m/01ykh', '/m/04scj', '/m/02q08p0', '/m/022n8y', '/m/04t8p9', '/m/01kfp5', '/m/02p1p9m']",test,['/m/01g317']
test/15839617256_77d38965fd_o.jpg,"['/m/04scj', '/m/0krfg', '/m/01ykh', '/m/07pbfj', '/m/02q08p0', '/m/034xzm']",test,"['/m/0ch_cf', '/m/0jbk', '/m/04hgtk']"
