image_id,class_list,split,class_list_neg
test/15804813255_808f277d91_o.jpg,"['/m/01280g', '/m/02bpy5', '/m/0hjf', '/m/06bt6']",test,"['/m/0f9lf', '/m/07j7r', '/m/02wm5j', '/m/04rky', '/m/07bl9']"
test/5672641198_d7431a705c_o.jpg,"['/m/08t0vy', '/m/04rky', '/m/034qg', '/m/01g317', '/m/06c54', '/m/04l3lm', '/m/06ntj', '/m/071t0', '/m/03q69', '/m/09j2d', '/m/071rm', '/m/02p0tk3', '/m/014sv8']",test,"['/m/06bm2', '/m/05y5lj', '/m/0k0pj', '/m/0283dt1', '/m/05b0n7k']"
test/14315784839_bd4fff7fd2_o.jpg,"['/m/06j11d', '/m/08dz3q', '/m/083wq', '/m/01h80k', '/m/01jfm_', '/m/0h8ls87', '/m/01prls', '/m/0k4j', '/m/012mq4', '/m/0226ny']",test,['/m/019qw9']
test/8259787984_8a792059c0_o.jpg,"['/m/032rk', '/m/034qg', '/m/083kb']",test,"['/m/0k65p', '/m/035r7c', '/m/0dzf4', '/m/09j2d', '/m/08dz3q', '/m/02p0tk3', '/m/04rky', '/m/01g317', '/m/02zn54']"
test/3339957468_15b3b27761_o.jpg,"['/m/028hh', '/m/0fjy1']",test,"['/m/014zdl', '/m/07yv9', '/m/07j7r', '/m/083kb']"
test/2769177352_47b7530271_o.jpg,"['/m/04zjc', '/m/02zn54', '/m/0cdn2d', '/m/02bb1s', '/m/071rm', '/m/034qg', '/m/0jb3', '/m/032rk', '/m/071t0', '/m/06c54']",test,"['/m/0gxl3', '/m/0h8ls87', '/m/05y5lj']"
test/4607219936_fa799f5799_o.jpg,"['/m/09l35', '/m/0k5j', '/m/07yv9', '/m/02_41', '/m/09rvcxw', '/m/09g5h']",test,"['/m/083kb', '/m/04ylt', '/m/0csby']"
test/5255087485_ca86239657_o.jpg,"['/m/04rky', '/m/09j2d', '/m/012n4x', '/m/04yx4', '/m/01_p8q', '/m/0zvk5', '/m/04n7j9g', '/m/07yv9', '/m/012n91', '/m/047x57']",test,"['/m/02dl1y', '/m/0dfbw', '/m/03p3bw', '/m/0463sg', '/m/01pvc5', '/m/09j5n']"
test/7539222104_dce569a33e_o.jpg,"['/m/034qg', '/m/02zn54', '/m/04rky', '/m/01g317', '/m/0k65p', '/m/0cdn2d', '/m/032rk', '/m/0gxl3']",test,"['/m/05y5lj', '/m/06nrc', '/m/06c54']"
test/7882515512_f7a903a2be_o.jpg,"['/m/0cdn2d', '/m/032rk', '/m/034qg', '/m/06fk8', '/m/02zn54', '/m/0gxl3']",test,"['/m/01g317', '/m/04rky', '/m/09j2d']"
test/13979994608_7f4534aabe_o.jpg,"['/m/01pl3y', '/m/081pkj', '/m/0cgh4', '/m/0g6b5', '/m/01d74z', '/m/079cl', '/m/01fdzj']",test,"['/m/06bm2', '/m/07j7r', '/m/05b0n7k']"
test/3720124419_7be4b990d7_o.jpg,"['/m/01g317', '/m/0hnnb', '/m/04rky', '/m/01prls', '/m/04yx4', '/m/028hh', '/m/0dbtv']",test,"['/m/01qr50', '/m/0kfbd', '/m/081pkj']"
test/4407217054_d72c1e19b1_o.jpg,"['/m/04zjc', '/m/034qg', '/m/0cdn2d', '/m/06c54', '/m/06nrc', '/m/02zn54', '/m/032rk', '/m/0gxl3']",test,"['/m/0463sg', '/m/05y5lj', '/m/09j2d', '/m/0h8ls87', '/m/01g317', '/m/02dl1y', '/m/02mnkq']"
test/747318911_d97b101865_o.jpg,"['/m/01g317', '/m/034qg', '/m/06c54', '/m/083kb', '/m/071t0', '/m/06ntj', '/m/0dzf4', '/m/09j2d']",test,"['/m/03bt1gh', '/m/05b0n7k', '/m/08dz3q', '/m/0163gn', '/m/04szw', '/m/06bm2', '/m/071rm']"
test/9340455006_25a885f7ef_o.jpg,"['/m/09j2d', '/m/019mk7', '/m/04rky', '/m/02_41', '/m/01g317', '/m/025rw19', '/m/04yx4', '/m/02p0tk3']",test,"['/m/02zn3', '/m/07j7r']"
test/8815682068_925d6bd837_o.jpg,"['/m/01v8rm', '/m/07_9_', '/m/015kp7', '/m/09d_r', '/m/044bs7']",test,['/m/02mwzg']
test/6883632150_61550b3bb0_o.jpg,"['/m/02bb1s', '/m/06c54', '/m/032rk', '/m/034qg']",test,"['/m/01g317', '/m/099md', '/m/01h6rj', '/m/04rky', '/m/03q69', '/m/09j2d', '/m/014sv8']"
test/7818375818_ef490949f5_o.jpg,"['/m/01prls', '/m/0180xr', '/m/07j7r', '/m/0cgh4', '/m/0k4j', '/m/05s2s', '/m/0g2k1', '/m/03jm5', '/m/028hh', '/m/04rky', '/m/0dbtv', '/m/02nfxt']",test,"['/m/081pkj', '/m/017m8l']"
test/15352165834_dcbe9d56db_o.jpg,"['/m/019mk7', '/m/025rw19', '/m/02_41', '/m/01f415']",test,"['/m/01g317', '/m/0h8lynm', '/m/04scj', '/m/0983v', '/m/0dxlf', '/m/01r24t', '/m/02wbm', '/m/02zn3']"
test/8683393784_9636c28a28_o.jpg,"['/m/09j2d', '/m/01g317', '/m/01l0zd', '/m/0k65p', '/m/05y5lj', '/m/06nrc', '/m/071t0', '/m/034qg', '/m/06rlx8', '/m/032rk', '/m/06ntj', '/m/04r4bq', '/m/07j7r', '/m/06c54', '/m/04rky', '/m/04l3lm', '/m/071rm']",test,['/m/04yx4']
test/14320814982_e2544e3f87_o.jpg,"['/m/04rky', '/m/0283dt1', '/m/09j2d', '/m/01h6rj', '/m/032rk', '/m/099md', '/m/03q69', '/m/083kb', '/m/01g317', '/m/0dzf4', '/m/034qg', '/m/04zjc', '/m/06c54', '/m/071rm']",test,['/m/06dxh6']
test/4874072610_4b04be79f2_o.jpg,"['/m/032rk', '/m/06ntj', '/m/01g317', '/m/05y5lj', '/m/05b0n7k', '/m/09j2d', '/m/04l3lm', '/m/0dzf4', '/m/0163gn', '/m/06bm2', '/m/06nrc', '/m/04hgtk', '/m/06c54', '/m/03bt1gh', '/m/034qg', '/m/071rm']",test,"['/m/08t0vy', '/m/071t0']"
test/531897329_e87617b400_o.jpg,"['/m/0cmf2', '/m/0fzyg', '/m/013m1', '/m/02yjc', '/m/0bp37nz', '/m/02l6bg', '/m/079zm']",test,"['/m/065ls', '/m/01g317', '/m/0338t', '/m/014yck']"
test/5351665867_d85bbb3e4f_o.jpg,"['/m/02zn54', '/m/034qg', '/m/0jb3', '/m/032rk', '/m/06nrc', '/m/06c54', '/m/04zjc']",test,"['/m/027qh7f', '/m/05y5lj', '/m/01g317', '/m/01g3x7']"
test/6099656765_4445b8078f_o.jpg,"['/m/01g317', '/m/0gxl3', '/m/04rky', '/m/0dzf4', '/m/02p0tk3', '/m/06c54', '/m/06nrc', '/m/0cdn2d', '/m/02zn54', '/m/034qg', '/m/032rk']",test,"['/m/014sv8', '/m/0jyfg', '/m/0k0pj', '/m/05y5lj']"
test/3123520478_03f2b238e9_o.jpg,"['/m/07r04', '/m/08dz3q', '/m/05pdd_v', '/m/01_p8q', '/m/012ndj', '/m/083wq', '/m/025rvy6', '/m/03j1ly', '/m/012n91']",test,"['/m/01g317', '/m/0k4j', '/m/0cgh4']"
test/3122292707_5d0aae4e78_o.jpg,"['/m/0gxl3', '/m/0cdn2d', '/m/034qg', '/m/06fk8', '/m/032rk']",test,"['/m/01g317', '/m/05y5lj', '/m/09j2d']"
test/14563112649_a3e96a2b89_o.jpg,"['/m/0cgh4', '/m/0c_jw', '/m/083vt', '/m/03tw93', '/m/03jm5', '/m/025rw19']",test,"['/m/01g317', '/m/0h99cwc', '/m/029bxz', '/m/01224j', '/m/09kpdy', '/m/0d4v4', '/m/019dx1']"
test/5358396908_053f49d726_o.jpg,"['/m/04k84', '/m/019sc6', '/m/02_41', '/m/01f415', '/m/0c06p', '/m/088fh']",test,"['/m/0271t', '/m/0h8nds8', '/m/0h8nzzj', '/m/07yv9']"
test/8165796655_59535b1019_o.jpg,"['/m/07r04', '/m/0k4j', '/m/083wq', '/m/05pdd_v', '/m/08dz3q', '/m/03j1ly', '/m/07bsy', '/m/0fkwjg', '/m/012n91', '/m/012ndj']",test,"['/m/012w5l', '/m/0cgh4', '/m/01g317', '/m/078my']"
test/3511052405_7ed44f8a71_o.jpg,"['/m/0gxl3', '/m/034qg', '/m/032rk', '/m/02zn54', '/m/06fk8']",test,"['/m/01g317', '/m/06nrc', '/m/02gzp']"
