image_id,class_list,split,class_list_neg
test/467873172_c492d07ebc_o.jpg,"['/m/01s7fj', '/m/02z4qt6', '/m/0bt9lr', '/m/03vrbz', '/m/068hy', '/m/0kpmf']",test,"['/m/03q69', '/m/014sv8', '/m/09j2d', '/m/0k0pj']"
test/22474590082_909135703d_o.jpg,"['/m/04rky', '/m/01lrl', '/m/0jbk', '/m/06z04', '/m/02cqfm', '/m/09q2t', '/m/01h44']",test,"['/m/0k65p', '/m/06mf6', '/m/09j2d', '/m/04hgtk', '/m/02p0tk3', '/m/019dxh', '/m/01yrx', '/m/0k0pj', '/m/014sv8', '/m/068hy']"
test/15241423763_35a5e2347c_o.jpg,"['/m/02p0tk3', '/m/03c0bxg', '/m/0k0pj', '/m/04rky', '/m/0dzct', '/m/014sv8', '/m/04yx4', '/m/0283dt1', '/m/0dzf4', '/m/03q69', '/m/039xj_', '/m/04hgtk', '/m/09j2d', '/m/0k65p']",test,"['/m/03bt1vf', '/m/027x7n', '/m/02gy5l']"
test/4517969355_06bbdc613a_o.jpg,"['/m/0bt9lr', '/m/01j0g', '/m/068hy', '/m/0fy9p2', '/m/02kcj6', '/m/076zw']",test,"['/m/0gzt5', '/m/0wgq8gt', '/m/06ntj', '/m/0wfrc8w', '/m/03k3r', '/m/0k0pj', '/m/03d12']"
test/3182188219_538fe22dcf_o.jpg,"['/m/06ntj', '/m/05y5lj', '/m/0zvk5', '/m/020m7t', '/m/0dzct', '/m/014sv8', '/m/029g_9y', '/m/01445t', '/m/03mr6', '/m/0283dt1', '/m/09j2d', '/m/02vzx9', '/m/03tmr', '/m/03q69', '/m/04yx4', '/m/03x045', '/m/04rky', '/m/02qvl7', '/m/03xbw', '/m/02p0tk3', '/m/026qs53', '/m/0k0pj']",test,"['/m/09j5n', '/m/02qvzf', '/m/01j34x', '/m/0wgys6n', '/m/052fxs', '/m/03bt1vf']"
test/514541335_4e454ff62a_o.jpg,"['/m/01l7qd', '/m/01lrl', '/m/0cjzq', '/m/0jbk', '/m/01280g']",test,"['/m/04hgtk', '/m/0k0pj', '/m/014sv8', '/m/04rmv', '/m/0mb5g']"
test/225561939_8b98e38283_o.jpg,"['/m/0bt9lr', '/m/0622q7', '/m/01llgk', '/m/0kpmf', '/m/068hy', '/m/07lwtn']",test,"['/m/0k0pj', '/m/0d7s3w', '/m/05s2s', '/m/014sv8', '/m/04hgtk']"
test/3906527068_f9a5dd2fbc_o.jpg,"['/m/0h5xg', '/m/068hy', '/m/0bt9lr']",test,"['/m/09j2d', '/m/017y8_', '/m/01k3tq', '/m/039xj_', '/m/0k0pj']"
test/8272446167_7d62a60b9a_o.jpg,"['/m/01lxd', '/m/099fz', '/m/02fm9k', '/m/02py09', '/m/04yx4', '/m/04gvhhy', '/m/04rky', '/m/04h4w', '/m/026dd', '/m/06npx']",test,"['/m/09qgm', '/m/07yv9', '/m/09j5n']"
test/15437089378_c91d77635b_o.jpg,"['/m/01280g', '/m/02cqfm', '/m/089v3', '/m/01djxm', '/m/0gd2v', '/m/01j33z', '/m/01lrl', '/m/01l7qd']",test,"['/m/014sv8', '/m/04hgtk', '/m/0k0pj']"
