image_id,class_list,split,class_list_neg
test/14008566614_654284d397_o.jpg,"['/m/0283dt1', '/m/02h7lkt', '/m/019sc', '/m/01g5v', '/m/04hgtk', '/m/02p0tk3', '/m/09j2d', '/m/04yx4', '/m/0k0pj', '/m/03q69', '/m/0p6vc', '/m/0dzct']",test,"['/m/0dzf4', '/m/09j5n', '/m/03bt1vf', '/m/0463sg']"
test/7962114126_8afd2c6de7_o.jpg,"['/m/03q69', '/m/020d_t', '/m/05qjc', '/m/026bk', '/m/04yx4', '/m/081pkj', '/m/0283dt1', '/m/04hgtk', '/m/0dzct', '/m/019w6h', '/m/0k0pj', '/m/09j2d', '/m/04rky', '/m/09j5n', '/m/014sv8', '/m/01g317', '/m/02p0tk3', '/m/02jjt']",test,"['/m/06ntj', '/m/02g597', '/m/03bt1vf']"
test/4492043153_0718e76658_o.jpg,"['/m/09j2d', '/m/03q69', '/m/0283dt1', '/m/09g5pq', '/m/0dzf4', '/m/014sv8', '/m/0k65p', '/m/0jnvp', '/m/0ytgt', '/m/04hgtk', '/m/05r655', '/m/035r7c', '/m/0lbxg', '/m/01bgsw', '/m/0k0pj', '/m/0dzct', '/m/04rky', '/m/05zppz', '/m/0chml9', '/m/04yx4', '/m/02p0tk3', '/m/01bl7v']",test,"['/m/01dv4h', '/m/09dhj', '/m/03bt1vf', '/m/09j5n', '/m/04n7gmg', '/m/03c866']"
test/4105503542_456b64ece7_o.jpg,"['/m/06ntj', '/m/02vx4', '/m/0k0pj', '/m/01226z', '/m/014sv8', '/m/0gl2ny2', '/m/02vzx9', '/m/0pcq81q', '/m/03q69', '/m/02wg8', '/m/04hgtk', '/m/0283dt1', '/m/0dzct', '/m/04yx4', '/m/02p0tk3']",test,"['/m/02h664x', '/m/03b34z', '/m/04rky']"
test/519243100_fa73bb8a4f_o.jpg,"['/m/01g317', '/m/04hgtk', '/m/03bt1vf', '/m/04rky', '/m/0dzct', '/m/01sg9l', '/m/0k65p', '/m/026z9', '/m/05r655', '/m/039xj_', '/m/0294jb', '/m/02p0tk3', '/m/0k0pj', '/m/0dzf4', '/m/09j2d', '/m/03q69', '/m/0283dt1', '/m/014sv8', '/m/01d40f', '/m/0271t']",test,"['/m/04yx4', '/m/035r7c']"
test/6155993557_b91e98872c_o.jpg,"['/m/039xj_', '/m/025kyy', '/m/021swn', '/m/04hgtk', '/m/0ds4x', '/m/04yx4', '/m/0bby24z', '/m/0ds5b', '/m/0k0pj', '/m/0h8mhzd', '/m/014sv8', '/m/0dzct', '/m/04rky', '/m/02p0tk3', '/m/0f9swq', '/m/03q69']",test,"['/m/0k65p', '/m/0dzf4', '/m/01bl7v', '/m/09j5n']"
test/10063639656_d3141bc67f_o.jpg,"['/m/048knlz', '/m/0bt9lr', '/m/04rky', '/m/02p0tk3', '/m/0k65p', '/m/05r655', '/m/04hgtk', '/m/039xj_', '/m/0283dt1', '/m/03q69', '/m/014sv8', '/m/09j2d', '/m/0k0pj', '/m/0ytgt', '/m/035r7c', '/m/0dzf4', '/m/0dzct']",test,"['/m/01bl7v', '/m/04yx4', '/m/03bt1vf', '/m/0sgh53y', '/m/05c1ypb', '/m/01ckgp', '/m/06xzh', '/m/025s9qt', '/m/01pxgq']"
test/6175801093_eee4af0583_o.jpg,"['/m/04hgtk', '/m/05r655', '/m/01g317', '/m/03q69', '/m/09j2d', '/m/0283dt1', '/m/0463sg', '/m/03bt1vf', '/m/04rky', '/m/02p0tk3', '/m/0dzct', '/m/014sv8', '/m/0k0pj']",test,"['/m/09l9f', '/m/01sg9l', '/m/06__c', '/m/026z9']"
test/9052445948_fa4e309462_o.jpg,"['/m/04yx4', '/m/07djv', '/m/01g317', '/m/03q69', '/m/09xc3', '/m/0hr5k', '/m/04rky', '/m/07m2y', '/m/07gql', '/m/0dzct', '/m/09x9g', '/m/04rlf', '/m/0319l', '/m/04hgtk', '/m/09j2d', '/m/0jyfg', '/m/09jwl', '/m/02_n6y', '/m/011_g9', '/m/01kcd']",test,"['/m/03qtwd', '/m/05229', '/m/06ncr', '/m/09lbv', '/m/07c6l', '/m/0k0pj']"
test/9101857282_616e48b3ba_o.jpg,"['/m/0dzct', '/m/01g317', '/m/04hgtk', '/m/02p0tk3', '/m/03bt1vf', '/m/05jnl', '/m/07yv9', '/m/09j2d', '/m/03q69', '/m/07s6nbt', '/m/08dz3q']",test,"['/m/083wq', '/m/01n5jq', '/m/05r655', '/m/011s0', '/m/01cd9', '/m/058sv', '/m/07mbq']"
