image_id,class_list,split,class_list_neg
test/5027937469_a93f9c6015_o.jpg,"['/m/0dv27g', '/m/0270h', '/m/02q08p0', '/m/0jhv_', '/m/036qh8', '/m/0krfg', '/m/0dxb5', '/m/0hz4q', '/m/03ct2_8']",test,"['/m/01pd2g', '/m/0283dt1', '/m/020dp', '/m/05s2s', '/m/02xwb']"
test/5251945337_8176667826_o.jpg,"['/m/05mqq3', '/m/02cqfm', '/m/0kpmf', '/m/0bt9lr', '/m/068hy', '/m/0km3f']",test,"['/m/0d7s3w', '/m/09j2d', '/m/014sv8', '/m/05zmzn1', '/m/04hgtk', '/m/0dzct', '/m/01g317', '/m/0k0pj']"
test/8369778484_c0faa9170f_o.jpg,"['/m/0km3f', '/m/05s2s', '/m/07j7r', '/m/01lrl', '/m/0bt9lr']",test,['/m/068hy']
test/8127213389_f9d26c50a4_o.jpg,"['/m/02q08p0', '/m/05yr0_d', '/m/021mn', '/m/0hz4q', '/m/0krfg', '/m/0bp3f6m', '/m/0dv34', '/m/0270h']",test,"['/m/05s2s', '/m/0dxb5', '/m/02xwb', '/m/0djtd', '/m/01tcjp', '/m/036qh8', '/m/020dp']"
test/2247520483_682f896684_o.jpg,"['/m/068hy', '/m/01nw62', '/m/0bt9lr', '/m/0kpmf']",test,[]
test/366564799_a0eef991ea_o.jpg,"['/m/051ppn', '/m/017y8_', '/m/02p5f1q', '/m/068hy', '/m/0271t', '/m/02z57c', '/m/02vqfm', '/m/0bt9lr', '/m/02gf0p', '/m/02f1fz', '/m/0kpmf']",test,"['/m/09j2d', '/m/014sv8', '/m/03_vn4', '/m/04hgtk', '/m/0k0pj', '/m/03q69', '/m/01g317']"
test/2222021793_f3cfc06589_o.jpg,"['/m/02qhwc4', '/m/0hz4q', '/m/01ykh', '/m/052lwg6', '/m/0jfd5', '/m/0dw_m', '/m/06l8d', '/m/0krfg', '/m/01dwsz', '/m/0270h', '/m/04scj', '/m/05pdbjq', '/m/02q08p0']",test,"['/m/01_bhs', '/m/02y6n', '/m/01g317']"
test/2560167444_b43a962930_o.jpg,"['/m/09j2d', '/m/0wfrc8w', '/m/01g317', '/m/0299pv', '/m/03q69', '/m/0wgq8gt', '/m/0bt9lr', '/m/068hy', '/m/04rky', '/m/06ntj']",test,"['/m/03k3r', '/m/0c0ygc', '/m/0gzt5']"
test/5165041490_a1940dd939_o.jpg,"['/m/09y4pm', '/m/01_bhs', '/m/0krfg', '/m/0289vbh', '/m/02jp1h', '/m/0711_5', '/m/02wbm', '/m/01ww8y', '/m/0cgh4', '/m/05xnqg', '/m/01g317', '/m/02q08p0']",test,"['/m/01lqfm', '/m/01n32']"
test/6278338562_315f95f5c4_o.jpg,"['/m/0c5yy', '/m/01ww8y', '/m/088fh', '/m/0270h', '/m/02wbm']",test,['/m/0pmlq']
test/7612780778_d3009a7686_o.jpg,"['/m/083wq', '/m/0h9mv', '/m/0bt9lr', '/m/08dz3q', '/m/068hy', '/m/0kpmf', '/m/0k4j']",test,"['/m/0299pv', '/m/01p3d7']"
