image_id,class_list,split,class_list_neg
test/9928071814_0ea5ab11db_o.jpg,"['/m/07j7r', '/m/01zbnw', '/m/04tr8s', '/m/05s2s']",test,"['/m/01g317', '/m/025tn5c', '/m/01bvx', '/m/082cb']"
test/7623471786_58fa6e975e_o.jpg,"['/m/029zz6', '/m/03gq5hm', '/m/05kc0j', '/m/02mrp', '/m/0541p']",test,"['/m/046dlr', '/m/01x3z', '/m/03txqz', '/m/01jfm_', '/m/06_72j', '/m/08dz3q']"
test/7929199806_41c4fffd06_o.jpg,"['/m/01xyhv', '/m/04yx4', '/m/012t_z', '/m/0hg7b', '/m/068k4', '/m/0hpjt', '/m/0271t', '/m/04dr76w']",test,"['/m/081qc', '/m/01b7b', '/m/0db79']"
test/9056630333_5da4f8da5e_o.jpg,"['/m/015ll', '/m/03bt1gh', '/m/06ntj', '/m/05fwb', '/m/0b42l9', '/m/01zbnw', '/m/03jj52']",test,"['/m/024d2', '/m/06bm2', '/m/01lb5']"
test/8088858957_220d238e8e_o.jpg,"['/m/0dzct', '/m/04t7l', '/m/0k2n5', '/m/02rfdq', '/m/0cgh4', '/m/0k65p', '/m/0d4v4', '/m/0dzf4', '/m/01g317', '/m/02p0tk3', '/m/0k0pj', '/m/08439z', '/m/03q69', '/m/01x314', '/m/09qqq', '/m/09j2d', '/m/0bbbgt']",test,"['/m/09j5n', '/m/0283dt1', '/m/037cyw', '/m/03jm5', '/m/035r7c', '/m/07p_zw', '/m/03bt1vf', '/m/05r655', '/m/02dgv', '/m/014sv8', '/m/031bff']"
test/5193074382_a4a3738df9_o.jpg,"['/m/0bh9flk', '/m/029zz6', '/m/0k65p', '/m/02mrp', '/m/0541p', '/m/02mf1n']",test,"['/m/02522', '/m/01mfj', '/m/01c648', '/m/0403lcy']"
test/4731597487_dac65617a8_o.jpg,"['/m/0c_jw', '/m/031hrg', '/m/01g317', '/m/02crq1', '/m/06ht1', '/m/09j2d', '/m/03q69', '/m/01mzpv', '/m/021sj1', '/m/02rdsp', '/m/02p0tk3', '/m/04hyxm']",test,"['/m/0dzf4', '/m/025sbr0', '/m/03233l']"
test/14761249572_d35452694c_o.jpg,"['/m/0dzf4', '/m/06wqb', '/m/01zbnw', '/m/07v7c', '/m/01g317', '/m/04rky', '/m/06q40', '/m/050k8', '/m/0k65p']",test,"['/m/01kyr8', '/m/035r7c', '/m/0283dt1', '/m/014sv8', '/m/0k0pj', '/m/01833w', '/m/09j2d']"
test/10401947114_c0f32a8ea9_o.jpg,"['/m/029zz6', '/m/01g317', '/m/0d4v4', '/m/0m9cj', '/m/0cgh4', '/m/01knjb', '/m/011s0', '/m/01cd9', '/m/0bkqqh', '/m/01qwsw', '/m/01n5jq']",test,"['/m/019cfy', '/m/057p5t']"
test/3710773907_6693a2b1c8_o.jpg,"['/m/0522cz4', '/m/06fvc', '/m/029zz6', '/m/019sc6', '/m/0bkqqh', '/m/01g317', '/m/04gvls_', '/m/04k84']",test,"['/m/04_5hy', '/m/0cgh4', '/m/01s4b5', '/m/01qwsw', '/m/03cg49']"
test/17869220625_87d4ec0bdf_o.jpg,"['/m/0k65p', '/m/0dzf4', '/m/0cgh4', '/m/03q69', '/m/017clw', '/m/01xgg_', '/m/04hgtk', '/m/014sv8', '/m/03bx017', '/m/04yx4', '/m/0dzct']",test,"['/m/049btd', '/m/057cc']"
test/6989521172_8b2c947172_o.jpg,"['/m/0403lcy', '/m/01m2v', '/m/0j24d_1', '/m/01r9v', '/m/029zz6', '/m/01mfj', '/m/0dvvc', '/m/02522', '/m/0643t', '/m/01c648', '/m/0541p']",test,"['/m/019dx1', '/m/03tw93', '/m/01y9k5', '/m/0h99cwc', '/m/0d4v4', '/m/01g317', '/m/07c52']"
test/114549478_10c9cf516a_o.jpg,"['/m/07c52', '/m/02mf1n', '/m/0k4j', '/m/02mrp', '/m/01zbnw', '/m/029zz6', '/m/0541p']",test,"['/m/02522', '/m/047b9vj', '/m/08dz3q', '/m/01g317']"
test/7334351142_9d9bb7b7c4_o.jpg,"['/m/0k0pj', '/m/0dzct', '/m/0168g6', '/m/01g317', '/m/09j2d', '/m/017clw', '/m/04hgtk', '/m/049btd', '/m/0dzf4', '/m/0cgh4', '/m/01pxg', '/m/06cs1', '/m/03bx017']",test,"['/m/04y7xr', '/m/07qn8g']"
test/22023230615_d817fdf3bb_o.jpg,"['/m/01g317', '/m/09j2d', '/m/0cgh4', '/m/017clw', '/m/03bx017', '/m/06cs1', '/m/09_32m']",test,['/m/01y9k5']
test/71114027_20c82e94cf_o.jpg,"['/m/0557q', '/m/01g317', '/m/0cgh4', '/m/05npqn', '/m/01zbnw', '/m/039l3v', '/m/02l7rx', '/m/033lpr', '/m/04_5hy']",test,"['/m/0kcc7', '/m/09cynt', '/m/03qsdpk', '/m/018lrm', '/m/0bmgjqz', '/m/05qjc']"
test/309832276_55a667b681_o.jpg,"['/m/04hgtk', '/m/05r655', '/m/02p0tk3', '/m/03gq5hm', '/m/01zbnw', '/m/09j2d']",test,"['/m/02p30vv', '/m/0121tl']"
test/15281004108_798c9e00db_o.jpg,"['/m/031hrg', '/m/01y9k5', '/m/02cwm', '/m/01g317', '/m/0191f8', '/m/02y3rj']",test,"['/m/01ysy9', '/m/081rb', '/m/02d9qx', '/m/04bcr3']"
