image_id,class_list,split,class_list_neg
test/8176873473_83378ec713_o.jpg,"['/m/02q08p0', '/m/02wbm', '/m/0krfg', '/m/01ykh']",test,"['/m/0f4s2w', '/m/06nwz', '/m/01_bhs', '/m/036qh8']"
test/6260208489_995a9478e3_o.jpg,"['/m/02wbm', '/m/02q08p0', '/m/04scj', '/m/06l9l9', '/m/0kdzn', '/m/03f7_0']",test,"['/m/0270h', '/m/01g317', '/m/047kbm', '/m/02p0tk3']"
test/445720362_2435d519ac_o.jpg,"['/m/0bp3f6m', '/m/0f4s2w', '/m/0hz4q', '/m/01ykh', '/m/01ww8y', '/m/02q08p0', '/m/0krfg', '/m/01_bhs', '/m/02wbm', '/m/052lwg6']",test,"['/m/02dmw4', '/m/036qh8', '/m/07_lq', '/m/05s2s', '/m/016bn0', '/m/0hr1s_w']"
test/2077545043_5686bea0e3_o.jpg,"['/m/07pbfj', '/m/02q08p0', '/m/0j9qfzr', '/m/03sw1s', '/m/02wbm', '/m/01hklv']",test,"['/m/036qh8', '/m/05s2s', '/m/0463sg', '/m/0d1cx', '/m/0jbk', '/m/0ch_cf']"
test/7575554046_8dea41649f_o.jpg,"['/m/0dlgzb', '/m/02wbm', '/m/02q08p0', '/m/09448n', '/m/01npvx', '/m/0238jq', '/m/04dct7', '/m/07x7yj', '/m/02hz3p', '/m/0f41s6', '/m/0mfnf', '/m/01ykh', '/m/04d8s2', '/m/09clx2', '/m/02ln79']",test,"['/m/06nwz', '/m/036qh8', '/m/04scj', '/m/0cjtln', '/m/02flbl', '/m/05s2s']"
test/8010514771_ea947342ae_o.jpg,"['/m/02q08p0', '/m/0g9vs81', '/m/0hz4q', '/m/012x5p', '/m/01ykh', '/m/0krfg', '/m/0jfd5', '/m/02wbm']",test,['/m/03xxlz']
test/12656060983_3ae05c9fdb_o.jpg,"['/m/02wbm', '/m/04scj', '/m/0hz4q', '/m/0krfg', '/m/02q08p0', '/m/01ykh']",test,"['/m/0hr1s_w', '/m/052lwg6', '/m/05s2s', '/m/036qh8', '/m/0270h']"
test/16374650885_3965b6d304_o.jpg,"['/m/01ykh', '/m/02wbm', '/m/01g317', '/m/01mtb', '/m/0krfg', '/m/084rd', '/m/01pn0r', '/m/04y7xr', '/m/0cgh4']",test,"['/m/07qn8g', '/m/02wv6th']"
test/8147992049_571eda05be_o.jpg,"['/m/01ww8y', '/m/0cdn1', '/m/052lwg6', '/m/0krfg', '/m/0h55b', '/m/0jfd5', '/m/02y6n', '/m/01ykh', '/m/02q08p0', '/m/0hz4q', '/m/02wbm']",test,"['/m/05wgwh', '/m/0cxn2', '/m/0270h', '/m/01b9xk', '/m/01g317', '/m/05s2s']"
test/2971477107_4d03ae0af2_o.jpg,"['/m/0jbk', '/m/06nwz', '/m/02wbm', '/m/0ch_cf', '/m/07pbfj']",test,"['/m/050vn', '/m/04rky', '/m/0283dt1']"
test/7782263338_dd37310b3b_o.jpg,"['/m/01ykh', '/m/02wbm', '/m/01j75r', '/m/02q08p0', '/m/03nm_l']",test,"['/m/0f4s2w', '/m/018bp6', '/m/03zltr', '/m/05s2s', '/m/04scj', '/m/036qh8']"
test/7892088358_eca11dfbba_o.jpg,"['/m/036qh8', '/m/0b5gs', '/m/0dj6p', '/m/02wbm']",test,"['/m/0c9ph5', '/m/07j7r', '/m/05s2s', '/m/014j1m']"
