image_id,class_list,split,class_list_neg
test/4232778932_29a3ba7f81_o.jpg,"['/m/0271t', '/m/02q08p0', '/m/0284d', '/m/0krfg', '/m/01ww8y', '/m/04vyx3', '/m/02cv5l', '/m/01ykh']",test,"['/m/025xpnk', '/m/0283dt1', '/m/0hz4q', '/m/0k0pj', '/m/04hgtk', '/m/05s2s', '/m/03cs9b']"
test/490532555_85ac43c52f_o.jpg,"['/m/07s11x', '/m/04scj', '/m/0191_7', '/m/0cgh4', '/m/02jp1h', '/m/02wbm', '/m/01jpn4', '/m/01_6hg']",test,"['/m/01g317', '/m/0hnyx', '/m/02hccx', '/m/0krfg', '/m/02wv6th']"
test/2435870331_d4c00f0525_o.jpg,"['/m/0krfg', '/m/01ykh', '/m/02wbm', '/m/0kdzn', '/m/04scj', '/m/02q08p0']",test,"['/m/0k0pj', '/m/0hz4q', '/m/014sv8', '/m/01g317', '/m/047kbm', '/m/0283dt1', '/m/05s2s']"
test/18605326670_21352ac284_o.jpg,"['/m/01g317', '/m/07qn8g', '/m/0hnyx', '/m/02wbm', '/m/01ww8y', '/m/09j2d', '/m/0270h', '/m/0krfg', '/m/04y7xr', '/m/052lwg6']",test,"['/m/0c9ph5', '/m/0dw_m', '/m/07j7r', '/m/0cp_p']"
test/11571382274_5d6ecfcec0_o.jpg,"['/m/04scj', '/m/0h8lynm', '/m/0dxn2', '/m/05s2s', '/m/01mtb', '/m/0dxlf', '/m/01ykh', '/m/01r24t', '/m/0983v', '/m/02wbm', '/m/02q08p0', '/m/03gywp']",test,"['/m/01g317', '/m/0553tg', '/m/06nwz', '/m/07pbfj', '/m/0dv34', '/m/07j7r', '/m/0krfg']"
test/33346213_e5d5842024_o.jpg,"['/m/036qh8', '/m/0f4s2w', '/m/02wv6b8', '/m/0g5s7']",test,"['/m/02q08p0', '/m/02xwb', '/m/01ykh', '/m/05s2s']"
test/6314791886_b4c8af2f62_o.jpg,"['/m/01ykh', '/m/02wbm', '/m/09gms', '/m/02q08p0', '/m/0krfg', '/m/014jz8', '/m/012y1_', '/m/0mfnf', '/m/01z1m1x', '/m/012xb8']",test,[]
test/6653333107_7d0feea206_o.jpg,"['/m/0hnyx', '/m/0277lbh', '/m/0270h', '/m/02wv6th', '/m/020vl', '/m/01ww8y', '/m/052lwg6', '/m/0dv34']",test,"['/m/0krfg', '/m/01g317', '/m/0cxn2', '/m/0hz4q', '/m/01lbst']"
test/20170297858_6c47c840c2_o.jpg,"['/m/02wbm', '/m/04scj', '/m/02q08p0', '/m/09gms', '/m/033cnk', '/m/0jfd5', '/m/0mfnf', '/m/012y1_', '/m/0krfg', '/m/01ykh', '/m/01z1m1x']",test,['/m/01_5g']
test/2272404496_99b7996523_o.jpg,"['/m/0dqb5', '/m/0p719', '/m/0b5gs', '/m/07j7r', '/m/0hqkz', '/m/02xwb', '/m/01b4k8', '/m/05s2s', '/m/0fn3z', '/m/036qh8', '/m/0fnfy']",test,"['/m/0hlzc', '/m/0c9ph5', '/m/020csw', '/m/0cyhj_']"
