image_id,class_list,split,class_list_neg
test/7634130178_01e209090b_o.jpg,"['/m/0b97cn', '/m/042ck', '/m/09gms', '/m/01ykh', '/m/01z1m1x', '/m/04brg2', '/m/0271t', '/m/0mfnf', '/m/02wbm', '/m/02p5f1q', '/m/02q08p0', '/m/0krfg', '/m/08d_8c']",test,"['/m/04hgtk', '/m/04rky', '/m/0k0pj', '/m/06nwz']"
test/153441647_27ba4e328f_o.jpg,"['/m/0b26w3', '/m/02z4qt6', '/m/068hy', '/m/0b3q36', '/m/0bt9lr', '/m/03vrbz', '/m/04dz31', '/m/0kpmf', '/m/0d7s3w', '/m/03cr7fw', '/m/01s7fj', '/m/05pyhd']",test,"['/m/03b62b', '/m/02fxgn', '/m/039xj_', '/m/025wmcw', '/m/0k0pj', '/m/014sv8']"
test/12863199885_b9e55610e6_o.jpg,"['/m/0kpmf', '/m/0b26w3', '/m/068hy', '/m/02gf0p', '/m/04gbpqk', '/m/0bt9lr', '/m/017y8_']",test,"['/m/05h0pv', '/m/020z66', '/m/039xj_', '/m/02z57c']"
test/19611601704_cd7dd11438_o.jpg,"['/m/0k65p', '/m/04rky', '/m/0d7s3w', '/m/051ppn', '/m/068hy', '/m/0bt9lr', '/m/0kpmf', '/m/01g317', '/m/0b26w3', '/m/03cr7fw', '/m/017y8_']",test,"['/m/0dzf4', '/m/02fpy0', '/m/039xj_', '/m/09j2d']"
test/9042206794_2f93748d76_o.jpg,"['/m/08d_8c', '/m/061ptq', '/m/02wbm', '/m/05r8py', '/m/02q08p0', '/m/01z1m1x', '/m/0b960h', '/m/01ykh', '/m/0mfnf', '/m/0b97cn', '/m/02tcfg', '/m/0clcjj', '/m/02z80b4']",test,['/m/02p0tk3']
test/4623718139_684e71aea4_o.jpg,"['/m/05c5y0b', '/m/0273gv', '/m/0772h', '/m/01ykh', '/m/027rk7_', '/m/02q08p0', '/m/03qkdt4', '/m/02x7pff', '/m/05z55', '/m/02hz3p', '/m/078dnm']",test,"['/m/036qh8', '/m/04flxj', '/m/05s2s']"
test/2784677931_f863cca63e_o.jpg,"['/m/03606n', '/m/068hy', '/m/02fxgn', '/m/03l5cy', '/m/04dz31', '/m/025s7vs', '/m/051ppn', '/m/0bt9lr', '/m/017y8_', '/m/03b6hk', '/m/0b26w3', '/m/05717m', '/m/032xv1', '/m/02fvym', '/m/0kpmf']",test,['/m/02rfz5']
test/542702112_aee647d7f6_o.jpg,"['/m/017y8_', '/m/068hy', '/m/0kpmf', '/m/04gbpqk', '/m/0bt9lr', '/m/0b26w3', '/m/02z57c']",test,"['/m/02gf0p', '/m/03_vn4', '/m/051ppn', '/m/02f1fz', '/m/05h0pv']"
test/5929071578_00c8a19658_o.jpg,"['/m/01npvx', '/m/078dnm', '/m/09clx2', '/m/02q08p0', '/m/04flxj', '/m/026c52y', '/m/05p9jft', '/m/02x7pff', '/m/05z55', '/m/09448n', '/m/01ykh', '/m/0273gv', '/m/02hz3p', '/m/0772h', '/m/05c5y0b']",test,"['/m/05s2s', '/m/03hvr6', '/m/03qkdt4', '/m/036qh8']"
test/110848732_8e268484e9_o.jpg,"['/m/01ykh', '/m/09gms', '/m/0mfnf', '/m/02q08p0', '/m/01z1m1x', '/m/0b97cn']",test,"['/m/09j2d', '/m/0dzf4', '/m/03q69', '/m/09j5n']"
