image_id,class_list,split,class_list_neg
test/5214174005_9a730e0230_o.jpg,"['/m/06zsq', '/m/0cgh4', '/m/01g317', '/m/0crjs', '/m/0gm3m']",test,"['/m/06l8d', '/m/07j7r', '/m/01_bhs', '/m/0h9mv']"
test/4230944780_b7a91d2e67_o.jpg,"['/m/01g317', '/m/09cx8', '/m/01bmhj', '/m/0dzf4', '/m/0k65p', '/m/02p0tk3', '/m/06x0q']",test,"['/m/081rb', '/m/0283dt1', '/m/04yx4', '/m/0dzct', '/m/04hgtk', '/m/0k0pj']"
test/3841119905_3ee9fdd435_o.jpg,"['/m/06gfj', '/m/07r04', '/m/0k4j', '/m/0335j', '/m/014mpm', '/m/033j3c', '/m/01c8br', '/m/0j_s4', '/m/017kvv', '/m/0cz_0', '/m/01mqdt', '/m/019sc6', '/m/015qff', '/m/014xcs', '/m/07bsy', '/m/01prls', '/m/01jfm_', '/m/0btp2', '/m/07yv9', '/m/01g317']",test,"['/m/017r8p', '/m/01j0ry', '/m/033rq4', '/m/01bjv', '/m/05zdp', '/m/02nfxt']"
test/3263451547_ef44e1ea93_o.jpg,"['/m/029zz6', '/m/01x3z', '/m/06_72j', '/m/01s4b5']",test,"['/m/0bkqqh', '/m/046dlr', '/m/01qwsw', '/m/01jfm_', '/m/057p5t']"
test/15404151227_3938806e78_o.jpg,"['/m/02p0tk3', '/m/0dzf4', '/m/0k0pj', '/m/04yx4', '/m/0ds5b', '/m/06x0q', '/m/03c0bxg', '/m/09j2d', '/m/014sv8', '/m/0ds4x', '/m/0283dt1', '/m/0k65p', '/m/04_fs', '/m/05zppz', '/m/09cx8', '/m/04rky', '/m/0dzct', '/m/03q69', '/m/04hgtk']",test,"['/m/01bl7v', '/m/01dv4h']"
test/3208427416_fbbab0acf9_o.jpg,"['/m/06x0q', '/m/023j4r', '/m/04yx4', '/m/02p0tk3', '/m/09cx8', '/m/01bmhj', '/m/0k65p']",test,"['/m/0283dt1', '/m/0dzct', '/m/0dzf4', '/m/0k0pj', '/m/04hgtk']"
test/6264442425_c1b8061c87_o.jpg,"['/m/07j7r', '/m/06zsq', '/m/06fvc', '/m/02pv19', '/m/05s2s', '/m/0bkqqh', '/m/04jph85']",test,"['/m/01g317', '/m/05fwb']"
test/48069425_d02fb1902c_o.jpg,"['/m/01g317', '/m/033j3c', '/m/01jp76', '/m/01mqdt', '/m/01prls', '/m/0cz_0', '/m/017r8p', '/m/01jm2n', '/m/07yv9', '/m/0btp2', '/m/017kvv', '/m/0k4j', '/m/06gfj']",test,"['/m/0199g', '/m/014v7p', '/m/01r_pn', '/m/014mpm', '/m/014xcs']"
test/37463626_314d284049_o.jpg,"['/m/02wbm', '/m/04hgtk', '/m/039xj_', '/m/03c0bxg', '/m/0k0pj', '/m/04_fs', '/m/0dzct', '/m/03q69', '/m/014sv8', '/m/09j2d', '/m/02p0tk3', '/m/04rky', '/m/0dzf4', '/m/0283dt1', '/m/0ldpy', '/m/0k65p', '/m/04yx4', '/m/06x0q']",test,"['/m/01_bhs', '/m/01bl7v', '/m/01n4qj', '/m/035r7c', '/m/03bt1vf', '/m/05s2s', '/m/05r655']"
test/4357954571_a9292cdd42_o.jpg,"['/m/01mqdt', '/m/04jph85', '/m/06gfj', '/m/02pv19', '/m/06zsq', '/m/0bkqqh']",test,"['/m/07yv9', '/m/0cnfpz']"
test/6005076787_d881856ed3_o.jpg,"['/m/0jjw', '/m/07j7r', '/m/0bkqqh', '/m/05s2s', '/m/06zsq']",test,"['/m/01599', '/m/0c_jw', '/m/01g317', '/m/06msq', '/m/019sc6', '/m/01mzpv', '/m/0271t', '/m/01x_ps']"
test/2268130924_7b5038858b_o.jpg,"['/m/03gq5hm', '/m/0522cz4', '/m/07s6nbt', '/m/0bkqqh', '/m/01s4b5']",test,"['/m/0dwx7', '/m/01g317', '/m/016s_l', '/m/02p0tk3', '/m/01cd9']"
test/535395789_d432b8456d_o.jpg,"['/m/01jfm_', '/m/01n32', '/m/01mqdt', '/m/083wq', '/m/015qff', '/m/0cgh4', '/m/0180xr', '/m/014mpm', '/m/019sc6', '/m/05zdp', '/m/07j7r', '/m/039jbq', '/m/07bsy', '/m/017r8p', '/m/07r04', '/m/033rq4', '/m/01prls', '/m/06gfj', '/m/01c8br', '/m/01l7t2', '/m/0btp2', '/m/01j0ry', '/m/01g317', '/m/0k4j', '/m/033j3c', '/m/017kvv']",test,"['/m/014xcs', '/m/0pg52', '/m/02nfxt']"
test/14388226720_c54b67588a_o.jpg,"['/m/01c8br', '/m/01mqdt', '/m/0cgh4', '/m/0180xr', '/m/033j3c', '/m/06gfj', '/m/033rq4', '/m/07j7r', '/m/0d4v4']",test,"['/m/017m8l', '/m/0dbtv', '/m/06mb1', '/m/02nfxt', '/m/028hh']"
test/3763107597_bdc88b6321_o.jpg,"['/m/09ddf', '/m/06zsq', '/m/07d0f', '/m/083jv', '/m/0bkqqh', '/m/03gq5hm', '/m/01vkl']",test,"['/m/01cd9', '/m/09j2d', '/m/0c_jw', '/m/05fwb', '/m/03sp5j', '/m/01x3z']"
test/9068621637_8056796168_o.jpg,"['/m/07j7r', '/m/05s2s', '/m/0m9cj', '/m/011s0', '/m/06zsq', '/m/0bkqqh', '/m/01g317', '/m/0k0pj']",test,"['/m/03q69', '/m/07yv9', '/m/0cgh4', '/m/04hgtk', '/m/01knjb', '/m/0dzct', '/m/01x_ps', '/m/03120', '/m/09j2d']"
test/3748972440_643a838881_o.jpg,"['/m/06zsq', '/m/04jph85', '/m/02pv19', '/m/07j7r', '/m/0bkqqh', '/m/05s2s']",test,"['/m/033j3c', '/m/01g317']"
test/5379169074_51cd336fb2_o.jpg,"['/m/06gfj', '/m/01mqdt', '/m/0cz_0', '/m/01c8br', '/m/0dnhy', '/m/0k4j', '/m/01k0mv', '/m/0hr8', '/m/017kvv', '/m/033j3c', '/m/07yv9', '/m/016g8_', '/m/01prls']",test,"['/m/017r8p', '/m/04w8xt', '/m/01g317', '/m/014mpm', '/m/01jfm_', '/m/01r_pn', '/m/01jp76', '/m/014v7p', '/m/014xcs', '/m/02jxn5', '/m/01c34b']"
test/5037258102_c4bc8cd5bf_o.jpg,"['/m/01c8br', '/m/01wkk9', '/m/07j7r', '/m/015qff', '/m/0btp2', '/m/0cgh4', '/m/039jbq', '/m/01l7t2', '/m/017r8p', '/m/014xcs', '/m/05zdp', '/m/0k4j', '/m/017kvv', '/m/07yv9', '/m/06gfj', '/m/01n32', '/m/07q3ylx', '/m/04_sv', '/m/01g317', '/m/01prls', '/m/0180xr', '/m/083wq', '/m/019sc6', '/m/0dx1j', '/m/08jpwt', '/m/01mqdt', '/m/014mpm']",test,['/m/033j3c']
test/622050_93ec3aa69f_o.jpg,"['/m/01g317', '/m/0g2k1', '/m/01mqdt', '/m/07yv9', '/m/0k4j', '/m/0dbtv', '/m/01prls', '/m/0cgh4']",test,"['/m/028hh', '/m/081pkj']"
test/4615684957_0f91070e22_o.jpg,"['/m/0bkqqh', '/m/02pv19', '/m/03gq5hm', '/m/06fvc', '/m/06zsq']",test,"['/m/01cd9', '/m/07d0f', '/m/05fwb', '/m/01jfm_', '/m/01g317', '/m/09j2d']"
test/4143424259_54e9605563_o.jpg,"['/m/01s4b5', '/m/0bkqqh', '/m/025s4r0', '/m/03gq5hm']",test,"['/m/01t98f', '/m/03gkl', '/m/05fc9mj']"
test/380033390_f41b126f22_o.jpg,"['/m/03gq5hm', '/m/01s4b5', '/m/025s4r0', '/m/0bkqqh', '/m/0522cz4']",test,"['/m/0h8ls87', '/m/01g317', '/m/01jfm_', '/m/077hz', '/m/057p5t', '/m/0cgh4', '/m/029zz6']"
test/5424990750_7b92e9e4a1_o.jpg,"['/m/01f4td', '/m/0brn2d', '/m/0hkvx', '/m/0hkf', '/m/09dv7', '/m/02py09', '/m/0263lr1', '/m/05s2s', '/m/01mqdt', '/m/07j7r']",test,"['/m/02wbm', '/m/04rky', '/m/01g317', '/m/099lp']"
test/3607773297_5dc03c4458_o.jpg,"['/m/01prls', '/m/07yv9', '/m/033j3c', '/m/07j7r', '/m/07q3ylx', '/m/06zsq', '/m/019sc6', '/m/08jpwt', '/m/0bkqqh', '/m/015qff']",test,"['/m/01x_ps', '/m/01g317', '/m/033rq4']"
test/16960723052_2283a26473_o.jpg,"['/m/07j7r', '/m/04jph85', '/m/06zsq', '/m/02pv19', '/m/0bkqqh']",test,"['/m/01g317', '/m/03jm5', '/m/011s0', '/m/0cgh4']"
test/3888477694_c9a26f11ec_o.jpg,"['/m/011s0', '/m/0522cz4', '/m/0bkqqh', '/m/01qwsw', '/m/029zz6', '/m/01knjb', '/m/06zsq']",test,"['/m/0m9cj', '/m/057p5t', '/m/0d4v4']"
test/6691603447_b9a0848829_o.jpg,"['/m/0dwx7', '/m/01wk9c', '/m/09ddf', '/m/0bkqqh', '/m/01cd9', '/m/07d0f', '/m/03gq5hm', '/m/06zsq']",test,"['/m/03sp5j', '/m/01g317', '/m/07yv9', '/m/0k4j', '/m/01prls', '/m/05fwb', '/m/083wq', '/m/09j2d', '/m/01jfm_']"
test/5730151075_db0eab5fa1_o.jpg,"['/m/02pv19', '/m/04jph85', '/m/06zsq', '/m/03120', '/m/0bkqqh', '/m/07j7r']",test,"['/m/04rky', '/m/01g317', '/m/033j3c', '/m/011s0']"
test/3868754732_fa2b228413_o.jpg,"['/m/0k4j', '/m/017kvv', '/m/0hr8', '/m/0kw6d', '/m/07j7r', '/m/06gfj', '/m/0cnfpz', '/m/033j3c', '/m/01k0mv', '/m/05s2s', '/m/01mqdt', '/m/0cz_0', '/m/07yv9', '/m/0335j', '/m/02mgm6']",test,[]
test/1196819338_d77c8619d5_o.jpg,"['/m/06zsq', '/m/04jph85', '/m/0bkqqh', '/m/02pv19']",test,"['/m/01g317', '/m/01cd9', '/m/033j3c']"
test/6808578393_fb652b2d42_o.jpg,"['/m/07bsy', '/m/014mpm', '/m/019sc6', '/m/0k4j', '/m/01g317', '/m/07q3ylx', '/m/07j7r', '/m/06gfj', '/m/01mqdt', '/m/033j3c', '/m/017r8p', '/m/07yv9', '/m/05s2s', '/m/01prls', '/m/0cgh4', '/m/02nfxt', '/m/01c8br', '/m/015qff']",test,"['/m/01l7t2', '/m/08jpwt', '/m/0180xr', '/m/03jm5', '/m/033rq4', '/m/07kfm', '/m/01bjv', '/m/05zdp']"
