image_id,class_list,split,class_list_neg
test/12247909546_73636a58e6_o.jpg,"['/m/04zjc', '/m/032rk', '/m/034qg', '/m/071rm', '/m/06c54']",test,"['/m/099md', '/m/09j2d', '/m/01g317', '/m/07yv9', '/m/03q69', '/m/0k0pj', '/m/0cdn2d', '/m/0283dt1', '/m/04rky', '/m/071t0', '/m/0174n1', '/m/07j7r']"
test/6534029503_51fd775464_o.jpg,"['/m/083wq', '/m/0hr8', '/m/07bsy', '/m/01jfm_', '/m/08dz3q', '/m/05pdd_v', '/m/05s2s', '/m/012ndj', '/m/012n91', '/m/07j7r', '/m/0cgh4', '/m/07r04', '/m/03j1ly']",test,"['/m/04h5c', '/m/0k4j', '/m/03jm5', '/m/01g317', '/m/078my']"
test/7092794047_024a2cea6a_o.jpg,"['/m/07bsy', '/m/025rvy6', '/m/012ndj', '/m/05pdd_v', '/m/012f08', '/m/07r04', '/m/012n91', '/m/083wq', '/m/012n4x', '/m/0cgh4', '/m/08dz3q', '/m/03j1ly', '/m/01g317']",test,"['/m/0k4j', '/m/01_p8q']"
test/3162239099_f3ec65f365_o.jpg,"['/m/05fdr', '/m/01kyr8', '/m/081pkj', '/m/01kv7h', '/m/01g5v', '/m/07j7r', '/m/01d74z', '/m/0d5gx', '/m/04k84', '/m/09b1k', '/m/0g6b5', '/m/010jjr']",test,"['/m/06bm2', '/m/02dkrm', '/m/01g317', '/m/05b0n7k']"
test/5294028409_512d23a550_o.jpg,"['/m/01224j', '/m/019dx1', '/m/03qhv5', '/m/04169hn', '/m/02_41', '/m/01f415', '/m/03tw93']",test,[]
test/12038762556_d04a7c3117_o.jpg,"['/m/032rk', '/m/034qg', '/m/06fk8', '/m/0gxl3', '/m/02zn54', '/m/0cdn2d']",test,"['/m/02gzp', '/m/01g317', '/m/09j2d', '/m/083wq']"
test/135940940_1f3f553e7f_o.jpg,"['/m/0cdn2d', '/m/034qg', '/m/0gxl3', '/m/02zn54', '/m/06fk8', '/m/032rk']",test,"['/m/09j2d', '/m/0k0pj', '/m/039xj_', '/m/05y5lj', '/m/04hgtk']"
test/354229876_f084029e0c_o.jpg,"['/m/01g317', '/m/012n4x', '/m/012ndj', '/m/0cgh4', '/m/08dz3q', '/m/07bsy', '/m/03j1ly', '/m/05pdd_v', '/m/025rvy6', '/m/07r04', '/m/012n91', '/m/083wq']",test,"['/m/01_p8q', '/m/0k4j']"
test/5709589822_233718c976_o.jpg,"['/m/012n4x', '/m/0k4j', '/m/0h9mv', '/m/09j2d', '/m/0hr8', '/m/07j7r', '/m/01g317', '/m/07bsy', '/m/012f08', '/m/05pdd_v', '/m/08dz3q', '/m/03q69', '/m/0fkwjg', '/m/07yv9', '/m/01prls', '/m/083wq', '/m/012n91']",test,"['/m/02gx17', '/m/09j5n', '/m/01bjv', '/m/02yvhj', '/m/02pz5g2', '/m/07r04', '/m/04rky']"
test/6912042052_9559cf8586_o.jpg,"['/m/099md', '/m/032rk', '/m/06c54', '/m/034qg', '/m/01h6rj', '/m/06nrc', '/m/01g317', '/m/04rky', '/m/04hgtk', '/m/09j2d', '/m/04zjc']",test,"['/m/05y5lj', '/m/0pd7', '/m/03q69']"
test/6805627830_e420fafedf_o.jpg,"['/m/0cgh4', '/m/05fdr', '/m/01d74z', '/m/081pkj', '/m/079cl', '/m/0g6b5']",test,"['/m/05b0n7k', '/m/06bm2', '/m/033rq4']"
test/13230647293_0f52eacb9a_o.jpg,"['/m/019sc6', '/m/0h42m', '/m/01f415', '/m/01kyr8', '/m/02_41', '/m/04k84', '/m/088fh']",test,"['/m/07k1x', '/m/0c06p']"
test/493950936_d099175ac3_o.jpg,"['/m/05y5lj', '/m/0cdn2d', '/m/06c54', '/m/06nrc', '/m/083kb', '/m/02bb1s', '/m/032rk', '/m/02zn54', '/m/034qg', '/m/04zjc']",test,"['/m/073bxn', '/m/0hg7b', '/m/083wq', '/m/0h8ls87']"
test/7029716561_329ba7a370_o.jpg,"['/m/06c54', '/m/034qg', '/m/02bb1s', '/m/032rk']",test,"['/m/04zjc', '/m/05y5lj', '/m/04rky', '/m/02p0tk3', '/m/099md', '/m/06dxh6', '/m/01g317']"
test/21003093219_f6fbfbb195_o.jpg,"['/m/025rw19', '/m/04169hn', '/m/0c_jw', '/m/06ht1', '/m/019sc6', '/m/0cgh4', '/m/09j2d', '/m/01224j', '/m/03tw93']",test,"['/m/035r7c', '/m/0dzf4', '/m/02p0tk3', '/m/03jm5', '/m/0k65p', '/m/083vt', '/m/01g317']"
