image_id,class_list,split,class_list_neg
test/8802100583_82c06c8721_o.jpg,"['/m/035r7c', '/m/02p0tk3', '/m/01g317', '/m/04rky', '/m/03c0bxg', '/m/07j2f']",test,"['/m/015mm6', '/m/0dzf4', '/m/03bt1vf', '/m/01j04m', '/m/09j2d', '/m/02mtw0', '/m/02cwm', '/m/01p1pl', '/m/0k65p']"
test/5185129559_43d5eba983_o.jpg,"['/m/01280g', '/m/01lrl', '/m/04rky']",test,"['/m/01hf_2', '/m/06l9r', '/m/02f9pk', '/m/05qsj', '/m/0k0pj', '/m/08pbxl', '/m/014sv8', '/m/0qjt6']"
test/13945311315_037f29f585_o.jpg,"['/m/0dkw5', '/m/09j2d', '/m/05mfbz', '/m/0d4v4', '/m/0dzf4', '/m/04rky', '/m/06fgw', '/m/035r7c', '/m/01g317', '/m/02p0tk3']",test,"['/m/04hgtk', '/m/0cgh4']"
test/6936331537_9a73b85014_o.jpg,"['/m/083jv', '/m/0wgq8gt', '/m/0djh8b', '/m/01j0g', '/m/076zw', '/m/01lrl', '/m/0bt9lr', '/m/068hy']",test,"['/m/05zmzn1', '/m/0wfrc8w', '/m/0gzt5', '/m/06ntj', '/m/01g317', '/m/035r7c']"
test/8602922515_ec448c8068_o.jpg,"['/m/05y5lj', '/m/02nnq5', '/m/03bx07d', '/m/09qkx', '/m/06bm2', '/m/02pyg', '/m/06ntj', '/m/04rky', '/m/06zfw', '/m/0bpn3c2', '/m/0k4j', '/m/09j2d', '/m/0k0pj', '/m/04yx4', '/m/06_fw', '/m/09j5n', '/m/07yv9', '/m/02p0tk3']",test,"['/m/05syqj9', '/m/01bl7v']"
test/351289030_951c0ee8a2_o.jpg,"['/m/06npx', '/m/099fz', '/m/04rky', '/m/04gvhhy', '/m/01g317', '/m/05kq4', '/m/02py09', '/m/0d1n2', '/m/0b3yr', '/m/01lxd', '/m/025s3q0']",test,"['/m/02p4bv', '/m/026dd', '/m/0d79jq', '/m/0284w']"
test/3720275787_29f99b173c_o.jpg,"['/m/06ntj', '/m/09j5n', '/m/04hgtk', '/m/02k5b8', '/m/02wg8', '/m/0k0pj', '/m/02vzx9', '/m/0zvk5', '/m/06br8', '/m/06bqd', '/m/0gl2ny2', '/m/0574rl2', '/m/0dpm1v', '/m/04rky', '/m/018xm', '/m/06f3l', '/m/03x045', '/m/09j2d', '/m/05y5lj', '/m/04yx4', '/m/012sbd', '/m/011l78', '/m/0dzct']",test,"['/m/01bl7v', '/m/01226z', '/m/02vx4']"
test/5263338667_a89fedb7a1_o.jpg,"['/m/02ldsk', '/m/039v1', '/m/01xqw', '/m/0fly7', '/m/01b4q9', '/m/09j2d', '/m/04rlf', '/m/01g317', '/m/0342h', '/m/01c8br', '/m/02p0tk3', '/m/09jwl', '/m/01350r', '/m/04rky', '/m/09j5n', '/m/03q69', '/m/05229', '/m/015lz1', '/m/04yx4', '/m/02jjt']",test,"['/m/0l14_3', '/m/05pd6', '/m/06gfj']"
test/14039329937_82bc30a705_o.jpg,"['/m/0dzct', '/m/0dzf4', '/m/09j2d', '/m/01g317', '/m/0b_rs', '/m/0jbk', '/m/03p3bw', '/m/06z6r', '/m/07qxg_', '/m/04rky', '/m/04yx4', '/m/05y5lj', '/m/02p0tk3', '/m/04hgtk']",test,"['/m/03m4wn', '/m/01psvn', '/m/07yv9', '/m/019jd']"
test/3233214931_20c17c1323_o.jpg,"['/m/012c9l', '/m/01yrx', '/m/01l7qd', '/m/02cqfm', '/m/0hjzp', '/m/0g4cd0', '/m/068hy', '/m/04c41_', '/m/04rky', '/m/07k6w8']",test,"['/m/04hgtk', '/m/014sv8', '/m/039xj_', '/m/0dzct', '/m/02p0tk3', '/m/01j423', '/m/0k0pj', '/m/01g317']"
