image_id,class_list,split,class_list_neg
test/15334077603_c38970d1d4_o.jpg,"['/m/03gq5hm', '/m/01kr8f', '/m/07s6nbt']",test,"['/m/07bg4p', '/m/025nd', '/m/01cd9', '/m/05fdr', '/m/05fc9mj', '/m/03gkl', '/m/01vq3', '/m/018y5m', '/m/011s0', '/m/081pkj']"
test/11277349404_69d00ab995_o.jpg,"['/m/03scnj', '/m/07s6nbt', '/m/04q347y', '/m/02v0m2', '/m/015bv3', '/m/03gq5hm']",test,"['/m/02csf', '/m/086nh']"
test/3664800123_ddf3a31f75_o.jpg,"['/m/07cx4', '/m/02mrp', '/m/02mf1n', '/m/07s6nbt', '/m/01g5v', '/m/050k8', '/m/0glmwd6', '/m/0169zh']",test,"['/m/01g317', '/m/0k65p', '/m/01zbnw']"
test/4300706840_2b81efaf36_o.jpg,"['/m/03q5c7', '/m/02p5f1q', '/m/02pjqs', '/m/03fsht', '/m/0364jn', '/m/02wbm', '/m/0296jp', '/m/046jml', '/m/07ptj3n', '/m/09702', '/m/02p0tk3', '/m/01nr56', '/m/02vqfm', '/m/06jdrl', '/m/01_7l', '/m/087bpd', '/m/0284d']",test,"['/m/0k0pj', '/m/04zpv', '/m/0dzct', '/m/0283dt1', '/m/0dzf4', '/m/035r7c', '/m/05dc8f', '/m/0k65p', '/m/04hgtk']"
test/1867219156_6f81dffe94_o.jpg,"['/m/02wbm', '/m/01nr56', '/m/03q5c7', '/m/01_7l', '/m/02p5f1q', '/m/087bpd', '/m/046jml', '/m/03fsht', '/m/0284d', '/m/07ptj3n', '/m/0296jp', '/m/0364jn', '/m/02vqfm']",test,"['/m/07clx', '/m/0dzf4', '/m/0dzct', '/m/014sv8', '/m/03q69', '/m/02p0tk3', '/m/09j2d', '/m/04hgtk', '/m/04rky', '/m/05s2s', '/m/0k0pj', '/m/04zpv', '/m/0283dt1']"
test/6498568127_4d04e076a9_o.jpg,"['/m/081rb', '/m/04jjh', '/m/0frqm', '/m/015bv3', '/m/0641k']",test,"['/m/01cd9', '/m/09j2d', '/m/01q7l', '/m/04_x4', '/m/07j7r', '/m/01_v7j', '/m/05c0n6k', '/m/0fd6q']"
test/2091685625_886c63edf7_o.jpg,"['/m/02p30vv', '/m/03gq5hm', '/m/07s6nbt', '/m/01zbnw', '/m/0w88xth']",test,['/m/01g317']
test/15914241119_ec297b0cb7_o.jpg,"['/m/0gkxy13', '/m/081rb', '/m/07s6nbt']",test,"['/m/02csf', '/m/0nkr2', '/m/0f1tz', '/m/015bv3', '/m/01g317', '/m/07glzq', '/m/083vt']"
test/7767878268_7d33321f1a_o.jpg,"['/m/03gq5hm', '/m/030zfn', '/m/07s6nbt', '/m/04q347y', '/m/03scnj', '/m/02v0m2']",test,"['/m/01g317', '/m/02y3rj']"
test/7020877261_bc8735bbb9_o.jpg,"['/m/04_x4', '/m/014sv8', '/m/01q7l', '/m/0dzct', '/m/0h8n2s1', '/m/0fd6q', '/m/01dl3j', '/m/03q69', '/m/0285v', '/m/0283dt1', '/m/0k0pj', '/m/0641k']",test,"['/m/04hgtk', '/m/04rky']"
test/6717401687_656e904b27_o.jpg,"['/m/03scnj', '/m/03gq5hm', '/m/07s6nbt', '/m/015bv3']",test,"['/m/04hgtk', '/m/04rky', '/m/01g317']"
test/8893207252_438c3a7aec_o.jpg,['/m/07s6nbt'],test,"['/m/02v0m2', '/m/02y3rj', '/m/024gjb', '/m/015bv3', '/m/01g317', '/m/081rb']"
test/399357861_a456ad4a17_o.jpg,"['/m/0nkr2', '/m/03gq5hm', '/m/04rlf', '/m/07s6nbt']",test,"['/m/0gkxy13', '/m/05jnl', '/m/01g317', '/m/02py351', '/m/081rb', '/m/015bv3', '/m/05fwb']"
test/14563578151_6099b39281_o.jpg,"['/m/03__z0', '/m/0gjbg72', '/m/0c_jw', '/m/0bt_c3', '/m/018y_6']",test,"['/m/04dr76w', '/m/0bs7_0t', '/m/02lts', '/m/0bkxj', '/m/01g317', '/m/01svq', '/m/0j24d_1', '/m/0cgh4', '/m/0271t']"
test/3343713833_19097925bb_o.jpg,"['/m/0bt_c3', '/m/02cwm', '/m/07s6nbt']",test,"['/m/0dnr7', '/m/0h9mv', '/m/09j2d', '/m/0122b5', '/m/015bv3', '/m/06g1w2', '/m/05jnl', '/m/0jjw', '/m/0hwky']"
test/8194024777_dd83393a95_o.jpg,"['/m/01vq3', '/m/025dyy', '/m/0d84n', '/m/0hwky', '/m/06fvc']",test,"['/m/06z37_', '/m/09j2d', '/m/0dnr7', '/m/05s2s', '/m/0c9ph5', '/m/0463sg', '/m/05fc9mj', '/m/080jpd1', '/m/0jjw']"
test/14338551977_bccd6abf76_o.jpg,"['/m/058sv', '/m/03q69', '/m/0k0pj', '/m/0dzct', '/m/09j2d', '/m/04yx4', '/m/04hgtk']",test,"['/m/011s0', '/m/07mbq', '/m/028mzr', '/m/05jnl']"
