image_id,class_list,split,class_list_neg
test/7695237244_cb9af171cb_o.jpg,"['/m/01x3z', '/m/02mrp', '/m/06_72j', '/m/046dlr']",test,"['/m/0d4v4', '/m/0h8nzzj']"
test/5305376364_2567aa19fe_o.jpg,"['/m/01mfj', '/m/0h8lprf']",test,"['/m/0508p', '/m/083wq', '/m/0bs7_0t']"
test/4118323360_45835acfd4_o.jpg,"['/m/0541p', '/m/01lsc5', '/m/02mrp', '/m/0h8lkj8']",test,"['/m/09j2d', '/m/02mf1n']"
test/3425262574_22394742e9_o.jpg,"['/m/0bh9flk', '/m/01c648', '/m/01m2v', '/m/02522', '/m/0541p', '/m/01mfj', '/m/0403lcy', '/m/0643t', '/m/01r9v', '/m/0j24d_1']",test,"['/m/09j2d', '/m/04dr76w', '/m/0dvvc', '/m/01g317', '/m/0271t', '/m/01599']"
test/238734279_636df6e69d_o.jpg,"['/m/020lf', '/m/01mfj', '/m/0541p', '/m/0bs7_0t']",test,"['/m/01m2v', '/m/01y9k5', '/m/0h8ls87']"
test/6931709863_a5136076e5_o.jpg,"['/m/0541p', '/m/02mrp', '/m/03gq5hm', '/m/08dz3q', '/m/011v5tq3', '/m/0h8ldlb']",test,"['/m/07yv9', '/m/01prls', '/m/0h8ls87', '/m/0glmwd6', '/m/0kgy7', '/m/0k4j']"
test/5092503433_3edf1409bc_o.jpg,"['/m/0dw7n', '/m/02mrp', '/m/0ggjh_8', '/m/0dv5r']",test,"['/m/01prls', '/m/025t6n0', '/m/0k4j', '/m/01bjxx', '/m/07yv9']"
test/3954758339_6062b61c35_o.jpg,"['/m/050k8', '/m/02mrp', '/m/011v5tq3', '/m/05bfd4', '/m/0541p']",test,"['/m/01x3z', '/m/0mcx2']"
test/14900319763_0aeb33b11a_o.jpg,"['/m/01280g', '/m/01zxt7', '/m/02hhhb', '/m/08pbxl']",test,"['/m/01hf_2', '/m/014sv8', '/m/01jsqj', '/m/0k0pj', '/m/0283dt1', '/m/04hgtk', '/m/0dzct', '/m/0cnmv_', '/m/09j2d', '/m/05s2s']"
test/3620112441_8b58d25289_o.jpg,"['/m/02mrp', '/m/0541p']",test,"['/m/0hg6h', '/m/07j7r', '/m/03q69', '/m/0k0pj', '/m/0glmwd6', '/m/039xj_', '/m/04rky', '/m/0dzct', '/m/04hgtk', '/m/011v5tq3', '/m/0121tl', '/m/02p0tk3', '/m/014sv8', '/m/0283dt1', '/m/05r655']"
test/2824211449_974415d114_o.jpg,"['/m/02mrp', '/m/019dx1']",test,"['/m/01x3z', '/m/04gh1', '/m/03txqz']"
test/8614498443_32ff702cf6_o.jpg,"['/m/01p5_1', '/m/0dv5r', '/m/02mrp']",test,['/m/01g317']
test/8222157194_3a0edd904f_o.jpg,"['/m/06ht1', '/m/02mrp', '/m/012x6l', '/m/03d2zy', '/m/0174k2', '/m/0cgh4']",test,"['/m/0d4v4', '/m/01g317', '/m/03jm5', '/m/0c_jw', '/m/07yv9', '/m/09j2d']"
test/5638514560_22daab82c5_o.jpg,"['/m/0h8lprf', '/m/020lf', '/m/01mfj', '/m/0541p', '/m/03gq5hm', '/m/01m2v', '/m/0bs7_0t']",test,"['/m/057cc', '/m/01y9k5', '/m/0h8n5_7', '/m/04rky', '/m/01vdm0']"
test/3644739836_ced02be51f_o.jpg,"['/m/06_6r', '/m/03l34', '/m/01mfj']",test,"['/m/0bs7_0t', '/m/0541p', '/m/0h8ls87', '/m/0k4j']"
test/14215888855_b855c1e75c_o.jpg,"['/m/01mwkf', '/m/019sc', '/m/03d49p1', '/m/02mrp', '/m/0174nj', '/m/01www', '/m/01g6gs', '/m/06_6r']",test,"['/m/014sv8', '/m/083wq', '/m/01g317']"
test/7543434968_ac207a19a0_o.jpg,"['/m/029zz6', '/m/01qwsw', '/m/0541p', '/m/01m2v', '/m/01mfj', '/m/01c648', '/m/05p37dx', '/m/01t3_', '/m/0403lcy', '/m/0643t']",test,"['/m/02522', '/m/0dvvc', '/m/09dx1f8']"
test/5462922581_a157e4c3ef_o.jpg,"['/m/01mfj', '/m/0508p', '/m/01g1rg', '/m/0j24d_1']",test,"['/m/058v5', '/m/03q69']"
test/5485817879_7fdac1bb00_o.jpg,"['/m/02mf1n', '/m/0541p', '/m/050k8', '/m/0169zh', '/m/05t02', '/m/07cx4', '/m/01x3z', '/m/0glmwd6', '/m/02mrp', '/m/0bxyyx_']",test,['/m/0k65p']
test/111933841_55b1d0da02_o.jpg,"['/m/02mrp', '/m/0541p']",test,"['/m/04gh1', '/m/0k65p', '/m/01g317']"
test/2295694003_e31c4c19d0_o.jpg,"['/m/02mrp', '/m/050k8', '/m/01g317', '/m/0glmwd6', '/m/07cx4', '/m/0169zh', '/m/02p0tk3', '/m/02mf1n', '/m/0541p', '/m/0k65p', '/m/0dzf4']",test,"['/m/0dzct', '/m/014sv8', '/m/0jyfg', '/m/0283dt1', '/m/09j2d', '/m/04hgtk', '/m/0k0pj', '/m/03q69']"
test/6318644496_af3302696d_o.jpg,"['/m/01c648', '/m/0121tl', '/m/01m2v', '/m/01b7fy', '/m/03gq5hm', '/m/02mrp', '/m/0541p']",test,"['/m/011_dp', '/m/02hnl', '/m/04szw', '/m/01g317', '/m/026t6']"
test/6996449568_b2fa46013e_o.jpg,"['/m/0169zh', '/m/0k65p', '/m/02mf1n', '/m/0541p', '/m/07cx4', '/m/0glmwd6', '/m/01g317', '/m/02mrp', '/m/050k8']",test,['/m/07c52']
test/5433068556_1bd7b44732_o.jpg,"['/m/0k0pj', '/m/0169zh', '/m/03gq5hm', '/m/05t02', '/m/0jyfg', '/m/0glmwd6', '/m/0283dt1', '/m/0541p', '/m/0dzct', '/m/07cx4', '/m/02mrp', '/m/02mf1n', '/m/050k8']",test,['/m/0bh9flk']
test/3505219848_81c86e787d_o.jpg,"['/m/01v50j', '/m/0p1c1', '/m/02gx17', '/m/02pyf50']",test,"['/m/015st5', '/m/03x_lg1', '/m/0fmcx_', '/m/01rzcn', '/m/070qm', '/m/07yv9', '/m/019jd', '/m/07bsy', '/m/01prls', '/m/05r_j', '/m/03sfsh']"
test/8521384630_60d6fed967_o.jpg,['/m/02mrp'],test,"['/m/06_72j', '/m/05kc0j', '/m/08dz3q', '/m/0k65p', '/m/02p0tk3', '/m/01x3z', '/m/046dlr', '/m/07k1x']"
test/5349267806_17eb60aa78_o.jpg,"['/m/02mrp', '/m/0glmwd6', '/m/050k8', '/m/07s6nbt', '/m/02mf1n', '/m/0bhmh', '/m/0169zh', '/m/07cx4', '/m/0541p', '/m/03gq5hm']",test,['/m/0h8kx8s']
test/145939373_f1b3807862_o.jpg,"['/m/02mrp', '/m/058v5', '/m/02lxj', '/m/038hg', '/m/01mfj', '/m/0j24d_1']",test,"['/m/01g317', '/m/0121tl', '/m/02mf1n']"
test/9119804393_132ba8e916_o.jpg,"['/m/02mrp', '/m/02gxt6', '/m/0h8ldlb', '/m/0541p']",test,"['/m/011v5tq3', '/m/01www']"
test/8232038_3e92def684_o.jpg,"['/m/0541p', '/m/011v5tq3', '/m/02mrp', '/m/02mf1n', '/m/0121tl']",test,"['/m/01www', '/m/0342h', '/m/019dx1']"
test/5119918654_27feb097fa_o.jpg,"['/m/0541p', '/m/01m2v', '/m/02rdsp', '/m/01mfj', '/m/0bs7_0t']",test,"['/m/04rky', '/m/0h8n5_7', '/m/09j2d', '/m/025t3jt', '/m/04szw', '/m/01vdm0', '/m/0h8ls87', '/m/01g317', '/m/057cc']"
test/15456989099_d96900ed37_o.jpg,"['/m/06ht1', '/m/02mrp', '/m/01g317', '/m/04xbg2', '/m/0glmwd6']",test,['/m/0121tl']
test/9015121467_6788ac2eed_o.jpg,"['/m/02522', '/m/01mfj', '/m/05p37dx', '/m/0bx_y3w', '/m/09dx1f8', '/m/029zz6', '/m/0541p', '/m/07c52', '/m/01qwsw', '/m/01t3_']",test,"['/m/0dvvc', '/m/0643t', '/m/04bcr3', '/m/07yv9']"
test/4486938457_cb2e4bfc91_o.jpg,"['/m/02mf1n', '/m/02mrp', '/m/0541p', '/m/05bfd4', '/m/07cx4', '/m/0169zh', '/m/0bh9flk', '/m/050k8', '/m/0glmwd6']",test,[]
test/8538463481_cefd4418f8_o.jpg,"['/m/01g317', '/m/02mrp', '/m/02mf1n', '/m/050k8', '/m/0k65p', '/m/07cx4', '/m/0glmwd6', '/m/0169zh']",test,['/m/0283dt1']
test/4045626972_39390b10f6_o.jpg,"['/m/02mrp', '/m/03txqz']",test,"['/m/01x3z', '/m/0283dt1', '/m/0k65p', '/m/04hgtk', '/m/0dzct', '/m/05kc0j', '/m/0k0pj', '/m/014sv8']"
test/8189393514_0924d4fb03_o.jpg,"['/m/01mfj', '/m/02mrp', '/m/0541p', '/m/0j24d_1', '/m/058v5']",test,"['/m/02mf1n', '/m/0121tl', '/m/01g317', '/m/029zz6']"
test/14714880858_7581106344_o.jpg,"['/m/01m2v', '/m/03gq5hm', '/m/0bs7_0t', '/m/01mfj', '/m/0541p', '/m/025t3jt']",test,"['/m/04szw', '/m/01vdm0', '/m/057cc', '/m/01g317', '/m/0h8n5_7']"
test/7947864296_72f680203b_o.jpg,"['/m/011v5tq3', '/m/0541p', '/m/02mrp', '/m/05bfd4', '/m/0169zh', '/m/0bh9flk', '/m/050k8', '/m/03gq5hm', '/m/02mf1n']",test,[]
test/4625837020_05b074a77a_o.jpg,"['/m/01c648', '/m/01m2v', '/m/0541p', '/m/0643t', '/m/0bs7_0t', '/m/0403lcy', '/m/01mfj', '/m/05t02', '/m/02mf1n']",test,"['/m/07c52', '/m/02522']"
test/4983595253_0221c66697_o.jpg,"['/m/02mrp', '/m/0121tl', '/m/0541p', '/m/0bs7_0t']",test,"['/m/0glmwd6', '/m/01g317', '/m/05bfd4']"
test/870541296_e843f6b061_o.jpg,"['/m/0bs7_0t', '/m/02mrp']",test,"['/m/0k65p', '/m/05bfd4', '/m/03bbps']"
test/15896835631_5c0c8a4e81_o.jpg,"['/m/02mf1n', '/m/02mrp']",test,"['/m/025zp2s', '/m/02p0tk3', '/m/01g317', '/m/09q2t', '/m/014sv8']"
test/846273079_bda2a5edd9_o.jpg,['/m/02mrp'],test,"['/m/047b9vj', '/m/057p5t', '/m/0h8ls87', '/m/08dz3q', '/m/07yv9', '/m/0k4j', '/m/01prls', '/m/07k1x', '/m/01jfm_']"
test/6193174698_83a770560f_o.jpg,"['/m/02mrp', '/m/011v5tq3']",test,"['/m/0glmwd6', '/m/088l6h', '/m/01prls', '/m/0h8ls87', '/m/0541p', '/m/02mnkq', '/m/02gxt6', '/m/07yv9', '/m/0k4j']"
test/5333559066_d19212a849_o.jpg,"['/m/01c648', '/m/02mrp', '/m/0bs7_0t', '/m/02mf1n', '/m/0541p']",test,"['/m/0169zh', '/m/050k8', '/m/0q56v']"
test/14601920735_08705262eb_o.jpg,"['/m/01svq', '/m/0bkxj', '/m/04k84', '/m/0j24d_1']",test,"['/m/0643t', '/m/0cgh4']"
test/15384522111_2ef2418360_o.jpg,"['/m/04bcr3', '/m/0121tl', '/m/02mrp']",test,"['/m/0dv5r', '/m/01fklc', '/m/01prls', '/m/0138tl', '/m/044fq', '/m/07yv9', '/m/01g317', '/m/019dx1', '/m/02wv84t']"
test/3785083764_3713373785_o.jpg,"['/m/0508p', '/m/0j24d_1', '/m/01mfj', '/m/01g1rg']",test,['/m/01g317']
test/15673965745_f3388872c2_o.jpg,"['/m/02mrp', '/m/011v5tq3']",test,"['/m/04rky', '/m/0k4j', '/m/01g317', '/m/083wq', '/m/08dz3q', '/m/02dsz', '/m/0h9mv']"
test/5379895246_a85e04668d_o.jpg,"['/m/01mfj', '/m/01m2v', '/m/0541p', '/m/03gq5hm', '/m/0h8n5_7', '/m/0bs7_0t']",test,"['/m/01c648', '/m/057cc', '/m/083kb', '/m/025t3jt', '/m/0403lcy', '/m/01vdm0', '/m/04szw', '/m/09j2d']"
test/12717783054_5cda35e6b5_o.jpg,"['/m/058v5', '/m/0j24d_1']",test,['/m/0508p']
test/3218259385_aa182e2ec8_o.jpg,"['/m/02mrp', '/m/0541p', '/m/0525zw', '/m/047b9vj']",test,"['/m/09j2d', '/m/01g317', '/m/0h8ls87', '/m/01jfm_']"
test/5673353624_9643fd2251_o.jpg,"['/m/011v5tq3', '/m/02mrp', '/m/0541p', '/m/07yv9', '/m/0kgy7']",test,"['/m/014sv8', '/m/0h8ls87', '/m/050k8', '/m/02mnkq', '/m/01jfm_', '/m/01prls', '/m/08dz3q', '/m/0k4j']"
test/7050677125_0928d45157_o.jpg,"['/m/01mfj', '/m/0j24d_1', '/m/0541p', '/m/058v5']",test,['/m/01g317']
test/6025065526_b2610ab0ae_o.jpg,"['/m/03gfsp', '/m/019dx1', '/m/02mrp', '/m/0541p']",test,"['/m/06f76', '/m/019sc6']"
test/14230656201_176dcd45d3_o.jpg,"['/m/083jv', '/m/06_72j', '/m/02p5f1q', '/m/02mrp']",test,"['/m/01g317', '/m/0k65p', '/m/046dlr', '/m/06bz3', '/m/019sc6', '/m/02p0tk3']"
test/8096171217_1502e462ed_o.jpg,"['/m/06_6r', '/m/03l34', '/m/0bs7_0t', '/m/01mfj']",test,[]
test/10472060833_5e55494956_o.jpg,"['/m/02pyf50', '/m/015st5', '/m/019jd', '/m/06npx', '/m/05kq4', '/m/017kvv', '/m/03x_lg1', '/m/03htg']",test,"['/m/06q74', '/m/04swrh', '/m/05dlb', '/m/0p1c1', '/m/01lxd', '/m/07jm90', '/m/01fpmd', '/m/070qm']"
test/14370161278_146dc87d8c_o.jpg,"['/m/0gjkl', '/m/07391y', '/m/02mrp']",test,"['/m/0283dt1', '/m/0dzct', '/m/04hgtk', '/m/01hyhj', '/m/0dzf4', '/m/0h9mv', '/m/0k65p', '/m/04rky', '/m/014sv8', '/m/05kc0j', '/m/0k0pj', '/m/083wq']"
test/4479004950_6a123a127b_o.jpg,"['/m/04_tb', '/m/0525zw', '/m/02mrp', '/m/0541p', '/m/047b9vj']",test,"['/m/0k4j', '/m/02522', '/m/01prls', '/m/08dz3q']"
test/10852283486_a1de3357e1_o.jpg,"['/m/03gq5hm', '/m/0j24d_1', '/m/01g1rg', '/m/058v5', '/m/01m9s', '/m/01mfj']",test,"['/m/01qwsw', '/m/02lxj', '/m/01g317', '/m/0bkqqh', '/m/029zz6']"
test/8345745910_79a5650b83_o.jpg,"['/m/058v5', '/m/0508p', '/m/01mfj', '/m/02mrp']",test,"['/m/0541p', '/m/029zz6', '/m/01g317', '/m/0bs7_0t', '/m/0522cz4', '/m/09j2d', '/m/0bkqqh', '/m/01qwsw', '/m/04gvls_']"
test/5147875905_838ca785b7_o.jpg,"['/m/0541p', '/m/0h8n5_7', '/m/01mfj', '/m/01m2v', '/m/01c648', '/m/0bs7_0t', '/m/0403lcy']",test,"['/m/057cc', '/m/01vdm0', '/m/025t3jt']"
test/9435348602_b403d98514_o.jpg,"['/m/04k84', '/m/02mrp', '/m/029zz6', '/m/0522cz4', '/m/0bkqqh', '/m/0541p']",test,"['/m/0263qm', '/m/04hgtk', '/m/0283dt1', '/m/0k4j', '/m/07yv9', '/m/08dz3q', '/m/014sv8', '/m/01prls', '/m/03b6_4', '/m/0h8ls87', '/m/0768fx', '/m/0dzct', '/m/02mf1n']"
test/29465060_8dcc8ffce9_o.jpg,"['/m/02mrp', '/m/0174nj', '/m/01www']",test,"['/m/01g317', '/m/04rky', '/m/0121tl']"
test/12354275815_8c93c18b17_o.jpg,"['/m/05p37dx', '/m/02522', '/m/01t3_', '/m/07c52', '/m/0643t', '/m/01mfj', '/m/01qwsw', '/m/0dvvc', '/m/029zz6', '/m/0541p', '/m/09dx1f8', '/m/0bx_y3w']",test,"['/m/01rzcn', '/m/0d4v4', '/m/0bkqqh', '/m/07yv9']"
test/116193328_f452a6b636_o.jpg,['/m/02mrp'],test,"['/m/0glmwd6', '/m/014sv8', '/m/02gxt6', '/m/0hg6h', '/m/0121tl']"
test/5756861718_b47a234d2c_o.jpg,"['/m/050k8', '/m/07cx4', '/m/02mf1n', '/m/02mrp', '/m/01g317', '/m/0541p', '/m/01599', '/m/04dr76w', '/m/0271t', '/m/0k65p', '/m/0glmwd6', '/m/0169zh']",test,"['/m/0283dt1', '/m/05s2s', '/m/0bh9flk']"
test/6328478843_23414eabc8_o.jpg,"['/m/01yttv', '/m/0541p', '/m/0bs7_0t', '/m/02mrp', '/m/03gq5hm']",test,"['/m/0k4j', '/m/0h8ls87', '/m/07yv9', '/m/0glmwd6', '/m/01g317', '/m/02gxt6', '/m/02mnkq']"
test/5447414199_08d0b53fed_o.jpg,"['/m/02lts', '/m/0j24d_1', '/m/02lxj', '/m/0h8mjtj', '/m/02mrp', '/m/046glt', '/m/0kwn5', '/m/058v5', '/m/0h8mv94']",test,['/m/01g317']
test/37671002_52aa56de0d_o.jpg,"['/m/02mrp', '/m/02lxj', '/m/01mfj', '/m/0j24d_1', '/m/01g1rg', '/m/0508p', '/m/058v5']",test,"['/m/01g317', '/m/029zz6', '/m/02mf1n']"
test/2290715193_79e623a278_o.jpg,"['/m/02mrp', '/m/029zz6', '/m/0541p']",test,"['/m/07j7r', '/m/03q69', '/m/09j2d', '/m/02522', '/m/04hgtk', '/m/02mf1n', '/m/02mnkq', '/m/0h8ls87', '/m/01c648', '/m/014sv8', '/m/07c52']"
test/4022004472_b2d875a2dc_o.jpg,['/m/02mrp'],test,"['/m/050gv4', '/m/03bbps', '/m/0bs7_0t', '/m/04brg2']"
test/3577787407_fbf88c8a22_o.jpg,"['/m/050k8', '/m/0bs7_0t', '/m/07cx4', '/m/0bxyyx_', '/m/02mf1n', '/m/0541p', '/m/02mrp']",test,"['/m/0qjjc', '/m/09j2d', '/m/01lsc5']"
