image_id,class_list,split,class_list_neg
test/8560913618_0ef27af623_o.jpg,"['/m/02pv19', '/m/06gfj', '/m/033j3c', '/m/06zsq', '/m/07j7r', '/m/0bkqqh', '/m/04jph85']",test,"['/m/01g317', '/m/011s0', '/m/0cgh4']"
test/6151042847_153ff7651e_o.jpg,"['/m/0158vt', '/m/0b_hy9', '/m/017kvv', '/m/033j3c', '/m/01lwf0']",test,"['/m/04rky', '/m/0cgh4', '/m/0298qf']"
test/157455086_8173a0087b_o.jpg,"['/m/0cz_0', '/m/0335j', '/m/0hr8', '/m/02mgm6', '/m/0k4j', '/m/07j7r', '/m/06gfj', '/m/0kw6d', '/m/01k0mv', '/m/0cnfpz', '/m/017kvv', '/m/05s2s', '/m/01prls', '/m/033j3c']",test,"['/m/02nfxt', '/m/0d4v4']"
test/3502135505_438bbd2bb8_o.jpg,"['/m/07yv9', '/m/01mqdt', '/m/07j7r', '/m/0k4j', '/m/017kvv', '/m/0335j', '/m/0cnfpz', '/m/06gfj', '/m/033j3c', '/m/02mgm6', '/m/05s2s', '/m/0cz_0']",test,"['/m/0kw6d', '/m/02500f']"
test/6929982693_036424e7cd_o.jpg,"['/m/06gfj', '/m/0cz_0', '/m/0335j', '/m/07yv9', '/m/07j7r', '/m/017kvv', '/m/07bsy', '/m/015kr', '/m/0cnfpz', '/m/033j3c', '/m/02500f', '/m/0k4j']",test,"['/m/01j6f0', '/m/0157l1', '/m/04rky', '/m/01jnfv', '/m/05zdp', '/m/09x3lm', '/m/0jbk', '/m/08dz3q']"
test/4790424717_c2b573425d_o.jpg,"['/m/083wq', '/m/08dz3q', '/m/02pv19', '/m/07j7r', '/m/06zsq', '/m/0k4j', '/m/033j3c', '/m/01prls', '/m/0bkqqh', '/m/04jph85']",test,"['/m/01g317', '/m/011s0']"
test/4118198058_bdf1a7813c_o.jpg,"['/m/0kbfd', '/m/0hr8', '/m/06gfj', '/m/0k4j', '/m/07bsy', '/m/01prls', '/m/07yv9', '/m/01g317', '/m/08q1tg', '/m/079bkr', '/m/033j3c', '/m/012f08']",test,"['/m/0btp2', '/m/0kw6d', '/m/01jp76', '/m/017r8p', '/m/02jxn5']"
test/8858751970_8370548cc4_o.jpg,"['/m/09j2d', '/m/0k4j', '/m/07yv9', '/m/04rky', '/m/04yx4', '/m/017kvv', '/m/01prls', '/m/017r8p', '/m/05s2s', '/m/07j7r', '/m/06gfj', '/m/09j5n', '/m/0hr8']",test,"['/m/02nnq5', '/m/04zvfc2', '/m/0bpn3c2', '/m/06_fw', '/m/03bx07d', '/m/06zfw', '/m/05y5lj']"
test/20122900406_cf54e0323c_o.jpg,"['/m/0cz_0', '/m/01vk9q', '/m/0k4j', '/m/0btp2', '/m/017kvv', '/m/0j_s4', '/m/07j7r', '/m/01prls', '/m/06gfj', '/m/033j3c', '/m/07yv9', '/m/0335j', '/m/05s2s', '/m/07bsy', '/m/02mgm6']",test,"['/m/09x3lm', '/m/014mpm', '/m/02nfxt', '/m/02500f', '/m/05zdp']"
test/19267240854_37e4fdd7d6_o.jpg,"['/m/04rky', '/m/0hkvx', '/m/025s3q0', '/m/0cblv', '/m/0brn2d', '/m/0hkf', '/m/01f4td', '/m/02py09', '/m/06nmjv', '/m/07j7r', '/m/09dv7', '/m/05s2s', '/m/05sm1', '/m/04_5sg', '/m/0f45l', '/m/01c7cq', '/m/0d1n2', '/m/04gvhhy', '/m/06gfj']",test,"['/m/07yxk', '/m/0284w', '/m/02309j', '/m/01jnvt', '/m/01c7d3', '/m/02mwzg']"
test/8889507689_5f6b805988_o.jpg,"['/m/07bsy', '/m/033j3c', '/m/02jxn5', '/m/017kvv', '/m/0gm3m', '/m/0k4j', '/m/0cgh4', '/m/06gfj', '/m/0cz_0']",test,"['/m/01g317', '/m/019sc6', '/m/05zdp', '/m/01jp76']"
test/14609677522_dbfd77a29c_o.jpg,"['/m/014mpm', '/m/01g317', '/m/019sc6', '/m/07j7r', '/m/015qff', '/m/033j3c', '/m/01prls', '/m/01l7t2', '/m/08jpwt', '/m/0dx1j', '/m/0180xr', '/m/07bsy', '/m/017r8p', '/m/0cz_0', '/m/06gfj', '/m/017kvv', '/m/0k4j', '/m/01n32', '/m/039jbq', '/m/07q3ylx', '/m/01c8br', '/m/033rq4', '/m/07yv9']",test,"['/m/014xcs', '/m/05zdp', '/m/0cgh4', '/m/02nfxt', '/m/01mqdt', '/m/011s0']"
test/15879682101_b08f3ae394_o.jpg,"['/m/017kvv', '/m/0btp2', '/m/017r8p', '/m/0335j', '/m/0k4j', '/m/01l7t2', '/m/01n32', '/m/056mk', '/m/033j3c', '/m/0j_s4', '/m/0cz_0', '/m/01prls', '/m/02nfxt', '/m/01c8br', '/m/034z7h', '/m/07yv9', '/m/06gfj', '/m/0180xr']",test,"['/m/01j0ry', '/m/014mpm']"
test/2513275888_73f32958c2_o.jpg,"['/m/09j2d', '/m/035r7c', '/m/04rky', '/m/017kvv', '/m/01bfm9', '/m/04yx4', '/m/04hgtk', '/m/039jbq', '/m/06fvc', '/m/06gfj', '/m/015h_t', '/m/01g5v', '/m/01c8br', '/m/03q69', '/m/09j5n', '/m/02p0tk3']",test,"['/m/01bl7v', '/m/0jjw', '/m/07mhn', '/m/05r655', '/m/017ftj', '/m/0283dt1', '/m/02ldsk', '/m/0cgh4', '/m/03bt1vf', '/m/0fly7']"
test/4986879653_f55ceaf2c7_o.jpg,"['/m/0cz_0', '/m/07j7r', '/m/06gfj', '/m/016g8_', '/m/01k0mv', '/m/0335j', '/m/0hr8', '/m/033j3c', '/m/017kvv']",test,"['/m/02mgm6', '/m/06nmjv']"
test/14527537185_52c12b70d6_o.jpg,"['/m/033rq4', '/m/07j7r', '/m/033j3c', '/m/07q3ylx', '/m/01l7t2', '/m/01c8br', '/m/0dx1j', '/m/07yv9', '/m/0k4j', '/m/015qff', '/m/08jpwt', '/m/017kvv', '/m/06gfj']",test,"['/m/01g317', '/m/014mpm', '/m/017r8p', '/m/0cgh4', '/m/01klb9', '/m/0180xr', '/m/01mqdt', '/m/02nfxt']"
