,class_name,wl
0,apple,wl1
1,umbrella,wl1
2,fire hydrant,wl1
3,cake,wl1
4,sandwich,wl1
5,suitcase,wl1
6,toilet,wl1
7,sheep,wl1
8,motorcycle,wl1
9,bus,wl1
10,bench,wl1
11,baseball bat,wl1
12,laptop,wl1
13,truck,wl1
14,bicycle,wl1
15,couch,wl1
16,surfboard,wl1
17,cup,wl1
18,spoon,wl1
19,toaster,wl1
20,wine glass,wl1
21,chair,wl1
22,banana,wl1
23,keyboard,wl1
24,orange,wl1
25,handbag,wl1
26,toothbrush,wl1
27,scissors,wl1
28,bowl,wl1
29,backpack,wl1
30,broccoli,wl1
31,bed,wl1
32,skateboard,wl1
33,bottle,wl1
34,knife,wl1
35,boat,wl1
36,teddy bear,wl1
37,airplane,wl1
38,train,wl1
39,kite,wl1
40,hot dog,wl1
41,vase,wl1
42,fork,wl1
43,baseball glove,wl1
44,carrot,wl1
45,pizza,wl1
46,tie,wl1
47,book,wl1
48,oven,wl1
49,parking meter,wl1
50,sink,wl1
51,clock,wl1
52,car,wl1
53,refrigerator,wl1
54,snowboard,wl1
