,class_name,wl
0,apple,wl1
1,umbrella,wl1
2,fire hydrant,wl1
3,cake,wl1
4,sandwich,wl1
5,suitcase,wl1
6,toilet,wl1
7,motorcycle,wl1
8,bus,wl1
9,bench,wl1
10,baseball bat,wl1
11,laptop,wl1
12,truck,wl1
13,bicycle,wl1
14,couch,wl1
15,surfboard,wl1
16,cup,wl1
17,spoon,wl1
18,toaster,wl1
19,wine glass,wl1
20,chair,wl1
21,banana,wl1
22,keyboard,wl1
23,orange,wl1
24,handbag,wl1
25,toothbrush,wl1
26,scissors,wl1
27,bowl,wl1
28,backpack,wl1
29,broccoli,wl1
30,bed,wl1
31,skateboard,wl1
32,bottle,wl1
33,knife,wl1
34,boat,wl1
35,teddy bear,wl1
36,airplane,wl1
37,train,wl1
38,kite,wl1
39,hot dog,wl1
40,vase,wl1
41,fork,wl1
42,baseball glove,wl1
43,carrot,wl1
44,pizza,wl1
45,tie,wl1
46,oven,wl1
47,parking meter,wl1
48,sink,wl1
49,clock,wl1
50,car,wl1
51,refrigerator,wl1
52,snowboard,wl1
